Row,knn,tree,nb,logreg,svm_rbf,rf
1,True,False,True,True,True,False
2,False,False,True,True,True,False
3,True,False,True,True,True,True
4,True,True,True,True,True,True
5,False,True,False,False,False,False
6,False,False,True,True,True,False
7,True,False,False,False,False,True
8,False,False,False,False,False,False
9,True,False,False,True,True,True
10,True,False,True,True,True,False
11,True,False,False,False,True,False
12,True,True,True,True,True,False
13,True,True,False,True,True,True
14,False,False,False,False,False,False
15,True,True,False,False,True,True
16,True,True,False,False,False,True
17,True,False,True,True,True,True
18,True,True,True,True,True,True
19,True,True,False,False,False,True
20,True,True,False,False,False,True
21,False,True,False,False,False,True
22,True,True,True,True,False,True
23,True,True,False,False,True,True
24,True,True,False,False,True,True
25,True,True,True,True,True,True
26,False,False,False,False,False,False
27,False,False,True,True,True,False
28,True,False,True,True,True,False
29,True,True,False,False,True,True
30,False,False,True,True,True,False
31,False,False,False,True,False,False
32,True,True,False,False,True,True
33,True,True,False,False,True,True
34,True,True,False,False,False,True
35,True,False,False,False,False,False
36,True,False,False,False,False,True
37,True,True,True,False,True,False
38,True,True,False,False,False,False
39,False,True,True,False,True,False
40,False,False,False,False,True,False
41,False,False,True,False,True,False
42,False,False,True,True,True,False
43,True,True,False,False,False,True
44,False,True,True,True,True,False
45,False,True,True,True,True,True
46,True,False,False,False,True,False
47,False,False,True,True,False,False
48,True,True,True,True,True,True
49,True,True,True,True,True,True
50,True,True,True,True,True,True
51,False,False,False,True,False,False
52,True,False,True,False,True,False
53,False,False,True,True,False,False
54,False,False,False,True,False,False
55,True,False,False,False,False,True
56,True,True,True,True,False,True
57,False,True,False,False,True,False
58,False,False,False,False,False,False
59,True,True,False,True,True,True
60,False,False,True,True,True,False
61,False,False,True,True,False,False
62,True,True,False,False,False,True
63,True,True,True,True,True,True
64,True,True,False,False,False,True
65,False,True,False,False,False,True
66,True,True,False,True,True,True
67,False,True,False,False,False,True
68,True,True,True,True,True,True
69,False,False,True,True,True,False
70,True,True,True,True,True,True
71,True,True,True,True,True,True
72,True,True,True,True,True,True
73,False,False,True,False,False,False
74,True,True,True,True,True,True
75,False,False,False,False,False,False
76,False,True,False,False,False,True
77,False,False,False,False,False,False
78,True,True,True,True,True,False
79,True,True,True,True,True,False
80,True,True,True,True,True,True
81,False,False,False,False,False,False
82,True,True,True,True,True,True
83,True,True,True,True,True,True
84,True,True,True,True,True,True
85,True,True,False,False,True,True
86,False,False,True,True,True,False
87,False,True,True,True,True,True
88,True,True,True,True,True,True
89,False,True,True,True,True,True
90,True,True,False,False,False,True
91,False,False,False,False,False,False
92,True,True,True,True,True,True
93,True,True,True,True,True,True
94,True,True,True,True,True,True
95,True,True,True,True,True,True
96,False,False,True,True,True,False
97,False,True,False,True,True,True
98,False,True,False,False,False,False
99,True,False,False,False,False,False
100,False,False,False,False,False,False
101,True,True,False,False,False,True
102,False,False,True,False,False,False
103,False,False,True,True,True,False
104,True,True,True,True,True,True
105,True,True,True,True,True,True
106,True,True,False,True,True,True
107,True,False,True,True,True,False
108,True,True,True,True,True,True
109,True,True,True,True,True,True
110,True,False,True,True,True,True
111,False,False,False,False,False,True
112,True,True,True,True,True,True
113,True,True,True,True,True,False
114,True,False,False,False,False,True
115,True,False,False,True,True,False
116,True,True,False,False,False,True
117,False,True,False,False,False,False
118,True,False,False,True,True,False
119,True,False,True,True,True,False
120,False,False,False,False,False,False
121,False,False,False,False,False,False
122,False,False,False,False,False,False
123,True,True,False,False,False,True
124,False,False,False,False,False,False
125,True,True,True,True,True,True
126,True,False,True,True,True,False
127,False,True,False,False,False,True
128,True,True,True,True,True,True
129,False,True,False,False,False,True
130,False,False,False,False,False,False
131,False,False,True,True,True,False
132,True,True,False,True,True,True
133,True,False,True,True,True,False
134,False,True,True,True,True,True
135,True,True,True,True,True,True
136,True,True,True,True,True,True
137,False,False,True,True,True,True
138,True,True,True,True,True,True
139,True,True,True,True,True,True
140,False,False,True,True,True,False
141,True,True,True,True,True,True
142,True,True,False,True,True,True
143,True,True,True,True,True,True
144,False,True,True,True,True,False
145,False,False,False,False,False,False
146,False,False,False,False,False,False
147,True,True,True,True,True,True
148,False,False,True,True,True,False
149,True,True,False,False,False,True
150,False,False,True,True,True,False
151,False,False,False,False,False,False
152,False,False,True,True,True,False
153,True,False,False,True,True,False
154,False,False,False,False,False,False
155,True,True,True,True,True,True
156,True,True,True,True,True,True
157,True,True,True,True,True,True
158,True,True,True,True,True,True
159,True,True,True,True,True,True
160,True,True,True,True,True,True
161,True,True,True,True,True,True
162,True,True,True,True,True,True
163,True,True,True,True,True,True
164,False,False,False,False,False,False
165,False,False,False,False,False,False
