Row,knn,tree,nb,logreg,svm_rbf,rf
1,True,False,False,True,True,True
2,True,False,False,True,True,True
3,True,True,False,True,True,True
4,True,True,True,True,True,True
5,False,True,False,False,False,False
6,True,False,True,True,True,False
7,True,True,False,False,False,True
8,False,False,False,True,False,False
9,False,False,False,False,False,False
10,True,False,True,True,True,False
11,False,False,False,False,False,False
12,True,False,True,True,True,False
13,True,True,False,False,False,True
14,False,False,False,False,False,False
15,True,True,False,False,False,True
16,True,True,False,False,False,True
17,True,False,True,True,True,False
18,True,True,True,True,True,True
19,True,True,False,False,False,True
20,True,True,False,False,False,True
21,False,False,False,False,False,False
22,True,True,True,True,True,True
23,True,True,False,False,False,True
24,True,True,False,False,False,True
25,True,False,True,True,True,True
26,False,False,False,False,False,False
27,False,False,True,True,True,False
28,False,False,True,False,False,False
29,True,True,False,False,False,True
30,False,False,True,True,True,False
31,False,False,False,False,False,False
32,True,True,False,False,False,True
33,True,True,False,False,False,True
34,True,True,False,False,False,True
35,True,False,True,True,True,True
36,False,False,False,False,False,False
37,True,False,True,False,False,False
38,False,False,False,False,False,False
39,False,True,False,False,False,False
40,False,False,False,False,False,False
41,True,False,True,True,True,False
42,True,False,True,True,True,True
43,True,True,False,False,False,True
44,False,False,True,True,True,False
45,True,True,False,False,True,True
46,False,False,False,False,False,False
47,False,False,True,True,False,False
48,True,True,True,True,True,True
49,True,True,True,True,True,True
50,True,True,True,True,True,True
51,False,False,False,True,False,False
52,False,False,False,False,False,False
53,True,False,True,True,True,True
54,False,False,False,True,False,False
55,True,True,False,False,False,True
56,True,True,True,True,True,True
57,False,False,False,False,False,False
58,False,False,False,False,False,False
59,True,True,False,True,True,True
60,False,False,True,True,True,False
61,False,False,True,True,True,False
62,True,True,False,False,False,True
63,True,True,True,True,True,True
64,True,True,False,False,False,True
65,False,False,False,False,False,False
66,False,True,False,False,False,False
67,False,False,False,False,False,False
68,True,True,True,True,True,True
69,False,False,True,True,True,False
70,True,True,True,True,True,True
71,True,True,True,True,True,True
72,True,True,True,True,True,True
73,True,False,True,True,True,False
74,True,True,True,True,True,True
75,False,False,False,False,False,False
76,False,True,False,False,False,False
77,False,False,False,False,False,False
78,True,True,True,True,True,True
79,True,True,True,True,True,True
80,True,True,True,True,True,True
81,False,False,False,False,False,False
82,True,True,True,True,True,True
83,True,True,True,True,True,True
84,True,True,True,True,True,True
85,True,True,False,False,False,True
86,True,False,True,True,True,True
87,True,True,True,True,True,True
88,True,True,True,True,True,True
89,True,True,True,True,True,True
90,True,True,False,False,False,True
91,False,False,False,False,False,False
92,True,True,True,True,True,True
93,True,True,True,True,True,True
94,True,True,True,True,True,True
95,True,True,True,True,True,True
96,False,False,True,True,True,False
97,True,False,False,True,True,True
98,False,False,False,False,False,False
99,False,False,False,False,False,False
100,False,False,False,False,False,False
101,True,True,False,False,False,True
102,True,False,False,False,False,False
103,False,False,True,True,True,False
104,True,True,True,True,True,True
105,True,True,True,True,True,True
106,True,False,False,False,False,False
107,True,True,True,True,True,True
108,True,True,True,True,True,True
109,True,True,True,True,True,True
110,True,True,True,True,True,True
111,False,False,False,False,False,False
112,True,True,True,True,True,False
113,True,False,True,True,True,False
114,True,True,False,False,False,True
115,False,False,False,True,False,False
116,True,True,False,True,True,True
117,False,False,False,False,False,False
118,False,False,False,True,False,False
119,True,False,True,True,True,True
120,False,False,False,False,False,False
