Row,IsBetaEasy
1,True
2,False
3,True
4,True
5,False
6,False
7,False
8,False
9,True
10,True
11,False
12,True
13,True
14,False
15,True
16,False
17,True
18,True
19,False
20,False
21,False
22,True
23,True
24,True
25,True
26,False
27,False
28,True
29,True
30,False
31,False
32,True
33,True
34,False
35,False
36,False
37,True
38,False
39,False
40,False
41,False
42,False
43,False
44,True
45,True
46,False
47,False
48,True
49,True
50,True
51,False
52,False
53,False
54,False
55,False
56,True
57,False
58,False
59,True
60,False
61,False
62,False
63,True
64,False
65,False
66,True
67,False
68,True
69,False
70,True
71,True
72,True
73,False
74,True
75,False
76,False
77,False
78,True
79,True
80,True
81,False
82,True
83,True
84,True
85,True
86,False
87,True
88,True
89,True
90,False
91,False
92,True
93,True
94,True
95,True
96,False
97,True
98,False
99,False
100,False
101,False
102,False
103,False
104,True
105,True
106,True
107,True
108,True
109,True
110,True
111,False
112,True
113,True
114,False
115,False
116,False
117,False
118,False
119,True
120,False
121,False
122,False
123,False
124,False
125,True
126,True
127,False
128,True
129,False
130,False
131,False
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,False
141,True
142,True
143,True
144,True
145,False
146,False
147,True
148,False
149,False
150,False
151,False
152,False
153,False
154,False
155,True
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,True
164,False
165,False
166,False
167,True
168,True
169,True
170,True
171,True
172,True
173,True
174,True
175,True
176,True
177,False
178,False
179,False
180,True
181,False
182,True
183,True
184,True
185,True
186,True
187,True
188,False
189,True
190,False
191,True
192,True
193,True
194,True
195,True
196,False
197,False
198,True
199,True
200,True
201,True
202,True
203,False
204,True
205,True
206,True
207,True
208,True
209,True
210,True
211,True
212,True
213,True
214,True
215,True
216,False
217,True
218,True
219,True
220,True
221,True
222,False
223,False
224,True
225,False
226,False
227,True
228,True
229,True
230,True
231,True
232,False
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,False
242,True
243,False
244,False
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,False
254,False
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,False
263,True
264,False
265,True
266,False
267,True
268,True
269,True
270,True
271,True
272,True
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,False
283,True
284,True
285,True
286,True
287,True
288,False
289,False
290,False
291,False
292,True
293,True
294,True
295,True
296,True
297,True
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,False
307,True
308,True
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,False
319,False
320,True
321,True
322,False
323,True
324,False
325,True
326,True
327,True
328,True
329,False
330,True
331,True
332,True
333,False
334,False
335,True
336,False
337,True
338,True
339,False
340,True
341,True
342,False
343,True
344,True
345,True
346,True
347,True
348,True
349,True
350,True
351,True
352,True
353,True
354,True
355,True
356,True
357,True
358,True
359,True
360,True
361,True
362,True
363,True
364,True
365,True
366,False
367,True
368,True
369,True
370,False
371,False
372,True
373,True
374,True
375,True
376,False
377,True
378,True
379,True
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,True
397,False
398,True
399,True
400,False
401,True
402,True
403,True
404,True
405,True
406,True
407,True
408,True
409,True
410,True
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,True
430,True
431,True
432,True
433,False
434,True
435,True
436,True
437,True
438,True
439,True
440,True
441,True
442,True
443,True
444,True
445,True
446,True
447,True
448,True
449,True
450,True
451,True
452,True
453,True
454,True
455,True
456,True
457,True
458,True
459,True
460,True
461,True
462,True
463,False
464,True
465,True
466,True
467,True
468,True
469,False
470,True
471,True
472,True
473,True
474,True
475,True
476,False
477,True
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,True
488,True
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,True
499,True
500,True
501,True
502,True
503,True
504,False
505,False
506,True
507,True
508,False
509,True
510,True
511,False
512,False
513,False
514,False
515,True
516,False
517,False
518,True
519,True
520,True
521,True
522,True
523,True
524,False
525,False
526,True
527,False
528,False
529,True
530,False
531,False
532,False
533,False
534,True
535,False
536,False
537,False
538,False
539,False
540,False
541,False
542,True
543,False
544,False
545,True
546,False
547,False
548,True
549,False
550,False
551,True
552,False
553,False
554,True
555,True
556,True
557,False
558,True
559,True
560,True
561,False
562,True
563,False
564,True
565,True
566,True
567,True
568,True
569,False
570,True
571,True
572,True
573,False
574,True
575,False
576,False
577,False
578,True
579,True
580,True
581,True
582,False
583,True
