Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,1.225899022981192,0.5624608727731418
2,1,exterior,2,1.2260206686918491,0.5624919203953643
3,1,exterior,3,1.585509309840395,0.635693205778555
4,1,exterior,4,1.585762589150976,0.6357312726878154
5,1,exterior,5,1.5860153999215714,0.6356902091636168
6,1,exterior,6,1.7233215690389856,0.6060335004810496
7,1,exterior,7,1.7234946595479854,0.6059869877912354
8,1,exterior,8,1.723316162438611,0.605970784811118
9,1,exterior,9,1.6284600947101602,0.6021050785747439
10,1,exterior,10,1.627886674032043,0.6020651758506763
11,1,exterior,11,1.226024416379695,0.5624670476722236
12,2,exterior,1,0.5888054973319019,-1.5789192512407777
13,2,exterior,2,0.5889928644588368,-1.5788202786903827
14,2,exterior,3,1.2054681873729824,-1.2912831260899134
15,2,exterior,4,1.2056831699410075,-1.2911956420781538
16,2,exterior,5,1.2056968528825789,-1.2914273395834852
17,2,exterior,6,1.2090159997504066,-1.6589073241427943
18,2,exterior,7,1.2090061977383062,-1.6591450030803836
19,2,exterior,8,1.20876904734316,-1.6591263738856012
20,2,exterior,9,0.5890140430137074,-1.578956810588335
21,3,exterior,1,-0.509533305927886,2.001271423621374
22,3,exterior,2,-0.5093134246703153,2.001263463467241
23,3,exterior,3,-0.3141652047738609,1.9845573553203317
24,3,exterior,4,-0.31393748377054814,1.984526965017793
25,3,exterior,5,-0.3138484080473612,1.9843151964144148
26,3,exterior,6,-0.1808851446926554,1.6210650079596067
27,3,exterior,7,-0.18050796616888792,1.6201714170945907
28,3,exterior,8,-0.18004599157002735,1.6193185702485278
29,3,exterior,9,-0.17950356700652825,1.618514490733962
30,3,exterior,10,-0.1788857954365881,1.6177667430758542
31,3,exterior,11,-0.17819848865913548,1.6170823618469334
32,3,exterior,12,-0.17744811263826968,1.616467785488666
33,3,exterior,13,-0.1766417266735219,1.615928795740443
34,3,exterior,14,-0.17578691698820512,1.6154704632468093
35,3,exterior,15,-0.17489172536063186,1.6150970998544496
36,3,exterior,16,-0.17396457346961536,1.6148122180477011
37,3,exterior,17,-0.17301418366598728,1.614618497904217
38,3,exterior,18,-0.17204949691548838,1.6145177618816455
39,3,exterior,19,-0.17107958868499956,1.6145109576725258
40,3,exterior,20,-0.17011358356342884,1.6145981492886987
41,3,exterior,21,-0.16916056942047392,1.6147785164591026
42,3,exterior,22,-0.16822951191082727,1.6150503623466241
43,3,exterior,23,0.25837292132543677,1.7624099624828504
44,3,exterior,24,0.25859009444867,1.7624734936773947
45,3,exterior,25,0.25861885729628353,1.7622490542050806
46,3,exterior,26,0.27294646191132355,1.5823193922955983
47,3,exterior,27,0.2729533822458928,1.5820806865527655
48,3,exterior,28,0.27271460499415817,1.5820843942131317
49,3,exterior,29,-0.17726570066179595,1.6118284394731452
50,3,exterior,30,-0.17741429118967356,1.611845601123238
51,3,exterior,31,-0.17750449709176477,1.6118560195674694
52,3,exterior,32,-0.1775325042568925,1.6118848992767678
53,3,exterior,33,-0.17763171951288306,1.611987205516543
54,3,exterior,34,-0.5093989604458292,2.001097175456579
55,4,exterior,1,-1.5946305445287465,0.021132894499252305
56,4,exterior,2,-1.594418599326454,0.021179510610210464
57,4,exterior,3,-0.4519812746671751,0.21362392048720133
58,4,exterior,4,-0.45181779875550954,0.21364327423925167
59,4,exterior,5,-0.45196844900547084,0.21357691579141122
60,4,exterior,6,-1.3282610196269757,-0.12214334133632114
61,4,exterior,7,-1.3284833323814644,-0.1222165429867203
62,4,exterior,8,-1.3286944628037973,-0.12211552127026347
63,4,exterior,9,-1.5944448229834696,0.021020638817007418
