Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-2.7149257839780487,1.2108890089959652
2,1,exterior,2,-2.7147085081878632,1.2109553605309467
3,1,exterior,3,-2.2151369023235468,1.3370769170092895
4,1,exterior,4,-2.214083893573874,1.3374055078471605
5,1,exterior,5,-2.213073482558214,1.337848078683359
6,1,exterior,6,-1.6749313575829143,1.6098677127416163
7,1,exterior,7,-1.6747141323393757,1.6099642291313716
8,1,exterior,8,-1.6746018958817541,1.6097546934601783
9,1,exterior,9,-1.6052140526594534,1.4630701743081937
10,1,exterior,10,-1.605123776601593,1.4628515416706673
11,1,exterior,11,-1.6053527546344037,1.462792220027873
12,1,exterior,12,-2.2092576107611253,1.3383383623319307
13,1,exterior,13,-2.2102382168057737,1.3380838813512188
14,1,exterior,14,-2.211188042546687,1.337731489742007
15,1,exterior,15,-2.21209733945892,1.3372848042712926
16,1,exterior,16,-2.2129567749846686,1.3367484094899742
17,1,exterior,17,-2.2137575283178617,1.3361278106793686
18,1,exterior,18,-2.214491380936398,1.335429377347825
19,1,exterior,19,-2.2151508009528493,1.3346602778573502
20,1,exterior,20,-2.215729020417892,1.3338284058512158
21,1,exterior,21,-2.2162201047830763,1.332942299237644
22,1,exterior,22,-2.2972435217095306,1.1674936850840765
23,1,exterior,23,-2.2973700420797223,1.1672665411510392
24,1,exterior,24,-2.2975937905131305,1.1671341084929119
25,1,exterior,25,-2.5531988568389297,1.033538931555083
26,1,exterior,26,-2.5534201455319847,1.0334371562947346
27,1,exterior,27,-2.553592982264207,1.0336087790009483
28,1,exterior,28,-2.7147812990381555,1.210713693858744
