Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-1.1747944111536224,-0.18547499259069772
2,1,exterior,2,-1.1881823858898508,-0.11448493541965765
3,1,exterior,3,-0.8044662690826438,0.31768830398929493
4,1,exterior,4,-0.9155379017344784,-0.046070270209467856
5,2,exterior,1,-1.292297747390859,1.039159902344931
6,2,exterior,2,-0.9604317374711051,1.0223680665486696
7,2,exterior,3,-0.8044662690826438,0.31768830398929493
8,2,exterior,4,-1.1858706743759577,0.9882135668402603
9,3,exterior,1,-2.1038330785967463,0.4370258082697994
10,3,exterior,2,-2.063631274396901,0.3306943755955014
11,3,exterior,3,-2.359879439089986,-0.18825198569380797
12,3,exterior,4,-2.648716262964888,0.833214921064737
