Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-2.375078065479702,-0.2671509709549069
2,1,exterior,2,-2.374919109854091,-0.26698039879385227
3,1,exterior,3,-0.587460375111884,1.4725610480312716
4,1,exterior,4,-0.5872902903798192,1.4727119561840367
5,1,exterior,5,-0.5870665871518497,1.472750887975613
6,1,exterior,6,0.3890777070841317,1.5970110829241997
7,1,exterior,7,0.3893317040583595,1.5970301453121216
8,1,exterior,8,0.3895619198442224,1.5969211566453276
9,1,exterior,9,0.8193946500893239,1.365515204886135
10,1,exterior,10,0.8202388701066652,1.3651104811687231
11,1,exterior,11,0.8211172398173323,1.3647864821309188
12,1,exterior,12,0.8220220602341723,1.3645460476525584
13,1,exterior,13,0.8229454005272856,1.3643912851628224
14,1,exterior,14,0.8238791675384396,1.3643235511684364
15,1,exterior,15,0.8248151767183103,1.3643434393637714
16,1,exterior,16,1.30669086493228,1.3971968298626567
17,1,exterior,17,1.3069242909126728,1.3972014103328643
18,1,exterior,18,1.3070000892990596,1.3969805862543483
19,1,exterior,19,1.4935617308488525,0.7535226923676135
20,1,exterior,20,1.4936243333847905,0.7532502405915296
21,1,exterior,21,1.4936244671327648,0.7529706891116439
22,1,exterior,22,1.4628928589568835,0.20344375449636898
23,1,exterior,23,1.4628875808571498,0.20243113576982535
24,1,exterior,24,1.462984739360828,0.20142317507175866
25,1,exterior,25,1.4631833381807753,0.20043020827855795
26,1,exterior,26,1.4634813408359486,0.19946241751543115
27,1,exterior,27,1.578707511404779,-0.11682869044865152
28,1,exterior,28,1.5791021903476992,-0.11776205951500962
29,1,exterior,29,1.579589307444062,-0.11865069116898663
30,1,exterior,30,1.580163860248343,-0.11948545961419244
31,1,exterior,31,1.5808199483946446,-0.12025779220207233
32,1,exterior,32,1.5815508341904587,-0.12095975746866039
33,1,exterior,33,1.6879265776059245,-0.21323319252638162
34,1,exterior,34,1.6881003401210137,-0.21339942661418998
35,1,exterior,35,1.6881760319294097,-0.21362767633213475
36,1,exterior,36,1.7969110530707222,-0.6042762314818928
37,1,exterior,37,1.7972013454254674,-0.6051583495329087
38,1,exterior,38,1.7975722161001773,-0.6060097347863582
39,1,exterior,39,1.79802046669908,-0.6068230448795787
40,1,exterior,40,1.7985422315004622,-0.6075912658108154
41,1,exterior,41,1.7991330107947254,-0.6083077724281056
42,1,exterior,42,2.1950275227784126,-1.0454108614076787
43,1,exterior,43,2.195762663234628,-1.0461424102360217
44,1,exterior,44,2.196569617639253,-1.046793885306514
45,1,exterior,45,2.1974397064296163,-1.0473582793847056
46,1,exterior,46,2.198363570972641,-1.0478295218751046
47,1,exterior,47,2.4406386679092114,-1.155964329452046
48,1,exterior,48,2.4408451734086514,-1.156068600813077
49,1,exterior,49,2.4408350691375054,-1.1562997175405907
50,1,exterior,50,2.4259861134393197,-1.3181674213970322
51,1,exterior,51,2.42595422345895,-1.3183951460338372
52,1,exterior,52,2.42572853160946,-1.3184391763657417
53,1,exterior,53,1.645383829984331,-1.4324023141875233
54,1,exterior,54,1.6451169607251193,-1.4324266330486837
55,1,exterior,55,1.6448562872118875,-1.4323645047297413
56,1,exterior,56,1.389710392530131,-1.356749483703986
57,1,exterior,57,1.3887065671294265,-1.3565075907309587
58,1,exterior,58,1.3876831494477266,-1.3563704999060153
59,1,exterior,59,1.3866510509355738,-1.3563396728608859
60,1,exterior,60,1.385621275596584,-1.356415438266634
61,1,exterior,61,1.005746883425084,-1.4041845964033406
62,1,exterior,62,1.0054762702222626,-1.404203643576389
63,1,exterior,63,1.0052140131112939,-1.4041342497143487
64,1,exterior,64,0.4747875849341871,-1.2321758912071565
65,1,exterior,65,0.4738290894412326,-1.2319169706189463
66,1,exterior,66,0.47284964288371556,-1.2317543731958989
67,1,exterior,67,0.47185890019017174,-1.2316897017477721
68,1,exterior,68,0.47086662764119036,-1.231723593775617
69,1,exterior,69,0.4698826065979642,-1.2318557151875897
70,1,exterior,70,0.03910661144521632,-1.3116383111649275
71,1,exterior,71,0.03885796489214988,-1.3116714203207018
72,1,exterior,72,0.03861645681829007,-1.311603632601991
73,1,exterior,73,-0.5326196346039807,-1.1195105768312277
74,1,exterior,74,-0.5335501041969031,-1.1192470171538915
75,1,exterior,75,-0.5345016811683989,-1.1190745682217704
76,1,exterior,76,-0.5354654660150562,-1.1189948428417165
77,1,exterior,77,-0.5364324450608526,-1.1190085866352748
78,1,exterior,78,-0.5373935747564225,-1.1191156710653525
79,1,exterior,79,-0.8995041804710667,-1.1773040768727978
80,1,exterior,80,-0.8997631125772163,-1.1773318225849567
81,1,exterior,81,-0.9000178734601241,-1.1772778545140394
82,1,exterior,82,-1.4430974515084933,-1.0320302609155871
83,1,exterior,83,-1.443343508016466,-1.0319505164518452
84,1,exterior,84,-1.443567755638706,-1.0318216134319684
85,1,exterior,85,-1.967099876001562,-0.6934583434293714
86,1,exterior,86,-1.967334386343301,-0.6932865681707059
87,1,exterior,87,-1.967547272788344,-0.6930886257513231
88,1,exterior,88,-2.3749252898948963,-0.26732709981037495
