Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,0.6779884044511979,0.4968670892919332
2,1,exterior,2,0.678197838337427,0.49689378199287243
3,1,exterior,3,1.0700992358532233,0.5275447442388824
4,1,exterior,4,1.070313437732377,0.5275511441836618
5,1,exterior,5,1.070173408971837,0.5273889241153988
6,1,exterior,6,0.9113000338236934,0.36033088012082654
7,1,exterior,7,0.9111330335179427,0.36017131996717383
8,1,exterior,8,0.9109284194551105,0.36027847233553656
9,1,exterior,9,0.6781651191818497,0.4967515602611426
10,2,exterior,1,-0.7877443020766087,0.0044882708033946
11,2,exterior,2,-0.7875655314195837,0.004537119127712235
12,2,exterior,3,-0.38433018170159045,0.09376009409286126
13,2,exterior,4,-0.3841212848320358,0.09379557208977066
14,2,exterior,5,-0.3842637582170821,0.09363873483358458
15,2,exterior,6,-0.49779397810434056,-0.019534116964975992
16,2,exterior,7,-0.49796888633663067,-0.019692434317013115
17,2,exterior,8,-0.4982046590456153,-0.019684157640334876
18,2,exterior,9,-0.7875605957304896,0.0044638354806532145
