instances,row_original,class,ih,n_wrong,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F2,feature_F3,feature_F4,algo_knn,algo_tree,algo_nb,algo_logreg,algo_svm_rbf,algo_rf
1,0,2,0.4049140491239141,3,0.4,0.98,0.7183098591549295,1.0,0.3684210526315789,0.4579003865855029,0.4579003865855029,0.0,0.4542102028272895,0.9887640449438202,0.9200994258270958,0.0,1.0,0.1583793738489871,0.5344194553081352,0.7027027027027026,0.6,0.0,1.0,0.9709578638973432,0.5395578413591723,0.46
2,1,2,0.5430536826755781,3,0.6,1.0,0.3949579831932773,1.0,0.4736842105263157,0.5074260711613037,0.5074260711613037,0.0,0.3873266813528573,0.9887640449438202,0.9520562183429584,0.0,0.99438202247191,0.6666666666666666,0.7795803066989508,0.8190476190476191,0.2,0.0,0.7517448040509703,0.6315146356023206,0.8284184642932402,0.33
3,2,2,0.3989378078419495,2,0.3,0.9,0.3949579831932773,1.0,0.2105263157894736,0.4652785931790635,0.4652785931790635,0.0,0.3978412455821951,0.9887640449438202,0.947188968660205,0.0,0.9887640449438202,0.6842105263157894,0.8216122821385978,0.8686868686868686,0.6,0.0,0.928637021183465,0.6542317519642685,0.9235043798005694,0.5
4,3,2,0.1009735879564367,0,0.1,0.9,0.3949579831932773,1.0,0.2105263157894736,0.4581503715633186,0.4581503715633186,0.0,0.2310018610421836,0.9550561797752808,0.8396392084318374,0.0,0.9831460674157304,0.7027027027027026,0.8858269105793857,0.9504950495049505,1.0,1.0,0.9945326362106448,0.7148518419961442,0.8347739940545909,0.85
5,4,1,0.6044385279394915,5,0.5,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5420954219306185,0.5420954219306185,0.5,0.4150030248033878,0.9964912280701754,0.9460453943446482,0.0112359550561797,0.9964912280701754,0.6842105263157894,0.8493206502141899,0.9662921348314606,0.4,1.0,9.63680863233898e-07,0.2466543521742421,0.3067135165079461,0.42
6,5,1,0.6703346552869871,3,0.6,0.98,0.2542372881355932,0.6666666666666666,0.631578947368421,0.2383778573853482,0.2383778573853482,1.0,0.999999999999951,0.9982456140350876,1.0,0.0056179775280898,1.0,0.6760563380281691,0.7043218661562873,0.7428571428571428,0.0,0.0,0.7631512886298513,0.5951123925889523,0.5820299743608608,0.0376984126984126
7,6,2,0.6215855783455275,4,0.3,1.0,0.3949579831932773,1.0,0.4736842105263157,0.7151870744345831,0.7151870744345831,0.0,0.4302533172496984,0.9719101123595506,0.974205048889821,0.0,1.0,0.7027027027027026,0.7250152250152251,0.7350427350427351,0.6,0.0,0.2480145289343066,0.4775996176874393,0.4195152404479463,0.5253571428571429
8,7,1,0.7766590689835412,6,0.8,0.98,0.6050420168067228,1.0,0.4736842105263157,0.4636197652677503,0.4636197652677503,1.0,0.6807530326482127,0.9982456140350876,0.9747081989465788,0.0056179775280898,1.0,0.6842105263157894,0.7891380066736682,0.8648648648648649,0.2,0.0,0.3955220960781397,0.4573838148131287,0.1471396752074841,0.14
9,8,2,0.5019147319655348,2,0.3,0.98,0.3949579831932773,1.0,0.631578947368421,0.6514103985121382,0.6514103985121382,0.5,0.4674512257105994,0.9887640449438202,0.9682532653384672,0.0035087719298245,1.0,0.7027027027027026,0.7497550362237773,0.7741935483870969,0.6,0.0,0.4274039128565931,0.5113948465040209,0.8697128488461773,0.58
10,9,2,0.3843968454885812,2,0.4,0.98,0.7183098591549295,1.0,0.3684210526315789,0.4579003865855029,0.4579003865855029,0.5,0.6252115059221658,0.99438202247191,0.9575385795073326,0.0017543859649122,0.99438202247191,0.1560798548094374,0.5585172362956071,0.7647058823529411,0.6,0.0,1.0,0.9282273957870296,0.8153915312814827,0.35
11,10,1,0.712087336638318,4,0.6,1.0,0.2816901408450704,1.0,0.5263157894736842,0.5420878832823547,0.5420878832823547,0.6666666666666666,0.5362413599850551,0.9982456140350876,0.914870147684148,0.0224719101123595,0.9982456140350876,0.7428571428571428,0.9107363900467348,0.9885057471264368,0.6,0.0,0.0005640086431541,0.3061823646116896,0.5207296069152484,0.3
12,11,1,0.3586757836239459,1,0.5,0.98,0.2542372881355932,0.6666666666666666,0.4210526315789473,0.2342516228207576,0.2342516228207576,0.6666666666666666,0.6016260162601625,0.9982456140350876,0.990058289197266,0.0112359550561797,1.0,0.6666666666666666,0.679680751173709,0.6880000000000001,0.6,1.0,0.7813685086504357,0.5296761365690377,0.6719006530368511,0.265
13,12,2,0.3147256105957007,1,0.4,0.9,0.3949579831932773,1.0,0.5263157894736842,0.6120405338602412,0.6120405338602412,0.2,0.3983739837398374,0.9775280898876404,0.9827182718271829,0.0035087719298245,0.9775280898876404,0.7027027027027026,0.7664528935715377,0.8135593220338984,0.6,1.0,0.4408798536121995,0.5251932278853146,0.7155732549282822,0.83
14,13,1,0.7345188947617958,6,0.6,0.98,0.6050420168067228,1.0,0.4736842105263157,0.4909047230451054,0.4909047230451054,1.0,0.6602105717057746,0.9982456140350876,0.9706159281805554,0.0112359550561797,1.0,0.6842105263157894,0.8230006835269994,0.9696969696969696,0.4,0.0,0.177068032576234,0.4574615329306031,0.2933570659223886,0.265
15,14,2,0.3583157484069275,3,0.3,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7364907949658293,0.7364907949658293,0.0,0.0,0.9775280898876404,0.9859260778957144,0.0,0.9775280898876404,0.7027027027027026,0.7202263203610307,0.7328244274809159,0.8,1.0,0.2155982481838005,0.436237161649776,0.5155478775026365,0.8827222222222221
16,15,2,0.4520984253877492,3,0.4,0.96,0.3949579831932773,1.0,0.3157894736842105,0.7503423456102924,0.7503423456102924,0.5,0.3695980122459845,0.9831460674157304,0.985119739595443,0.0,0.9887640449438202,0.7027027027027026,0.7088253542798998,0.7111111111111111,0.6,1.0,0.1961120370386072,0.4259366643679265,0.4023845557907806,0.6629761904761905
17,16,2,0.4654122407770701,1,0.6,1.0,0.3949579831932773,1.0,0.5789473684210527,0.486945748398402,0.486945748398402,0.6666666666666666,0.4417418012483899,0.9887640449438202,0.9674676813108772,0.0017543859649122,0.9887640449438202,0.7027027027027026,0.8380493630146889,0.9795918367346936,0.6,0.0,0.8149458702079432,0.5274243319162747,0.6851563532133618,0.58
18,17,2,0.2085386059283586,0,0.6,0.9,0.3949579831932773,1.0,0.2105263157894736,0.4734600018594904,0.4734600018594904,0.0,0.3063945297735628,0.9887640449438202,0.9401855533858604,0.0,0.9887640449438202,0.7027027027027026,0.8488409303454726,0.9896907216494848,0.6,1.0,0.958134517489928,0.5852344858926166,0.7953993610473027,0.81
19,18,2,0.392021546812048,3,0.3,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7364907949658293,0.7364907949658293,0.0,0.0,0.9775280898876404,0.9859260778957144,0.0,0.9775280898876404,0.7027027027027026,0.7202263203610307,0.7328244274809159,0.8,1.0,0.2156106045041241,0.4428968306155219,0.3440061411509229,0.8453571428571428
