Row,Best_Algorithm
1,3
2,5
3,3
4,2
5,2
6,3
7,1
8,4
9,5
10,3
11,1
12,2
13,2
14,4
15,2
16,2
17,3
18,2
19,2
20,2
21,2
22,2
23,6
24,6
25,2
26,4
27,3
28,5
29,2
30,3
31,4
32,2
33,2
34,2
35,1
36,6
37,3
38,2
39,2
40,5
41,3
42,3
43,1
44,3
45,2
46,5
47,3
48,2
49,1
50,2
51,4
52,1
53,3
54,4
55,1
56,2
57,2
58,4
59,2
60,3
61,3
62,2
63,5
64,2
65,2
66,2
67,6
68,2
69,3
70,1
71,3
72,3
73,3
74,3
75,6
76,6
77,4
78,3
79,3
80,3
81,6
82,2
83,3
84,3
85,1
86,3
87,5
88,3
89,5
90,2
91,1
92,3
93,3
94,3
95,2
96,3
97,2
98,2
99,1
100,5
101,2
102,3
103,3
104,2
105,2
106,2
107,1
108,2
109,2
110,5
111,6
112,2
113,2
114,1
115,5
116,2
117,2
118,1
119,1
120,3
121,4
122,1
123,2
124,4
125,2
126,3
127,2
128,2
129,2
130,1
131,3
132,2
133,5
134,3
135,2
136,2
137,3
138,1
139,2
140,5
141,2
142,2
143,3
144,3
145,4
146,4
147,2
148,5
149,2
150,5
151,4
152,3
153,5
154,1
155,3
156,5
157,3
158,2
159,3
160,2
161,3
162,6
163,6
164,1
165,4
166,4
167,2
168,5
169,5
170,2
171,6
172,1
173,1
174,2
175,5
176,2
177,4
178,6
179,4
180,2
181,1
182,3
183,2
184,2
185,2
186,2
187,2
188,3
189,5
190,1
191,2
192,1
193,2
194,2
195,1
196,4
197,6
198,1
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,6
207,2
208,1
209,2
210,2
211,5
212,3
213,5
214,5
215,5
216,4
217,5
218,5
219,1
220,3
221,3
222,4
223,4
224,5
225,4
226,4
227,3
228,3
229,5
230,5
231,1
232,4
233,5
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,1
243,4
244,3
245,3
246,3
247,2
248,2
249,1
250,2
251,2
252,1
253,1
254,4
255,2
256,1
257,1
258,2
259,1
260,2
261,5
262,3
263,2
264,4
265,2
266,1
267,1
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,6
276,2
277,2
278,2
279,5
280,2
281,2
282,2
283,2
284,5
285,2
286,6
287,2
288,4
289,1
290,1
291,1
292,1
293,1
294,2
295,2
296,2
297,2
298,6
299,1
300,6
301,6
302,1
303,1
304,5
305,2
306,5
307,2
308,1
309,2
310,3
311,3
312,1
313,2
314,1
315,1
316,2
317,2
318,3
319,1
320,3
321,2
322,5
323,2
324,5
325,2
326,3
327,2
328,2
329,1
330,2
331,2
332,1
333,5
334,1
335,1
336,5
337,2
338,4
339,5
340,2
341,2
342,2
343,2
344,1
345,3
346,1
347,1
348,3
349,3
350,3
351,3
352,1
353,2
354,1
355,1
356,2
357,3
358,1
359,1
360,6
361,2
362,1
363,2
364,2
365,2
366,1
367,2
368,1
369,1
370,5
371,3
372,6
373,2
374,1
375,2
376,1
377,2
378,1
379,6
380,2
381,6
382,2
383,6
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,2
393,2
394,1
395,2
396,2
397,5
398,3
399,2
400,5
401,2
402,1
403,2
404,2
405,2
406,1
407,1
408,6
409,1
410,6
411,1
412,1
413,2
414,2
415,1
416,6
417,1
418,6
419,1
420,6
421,2
422,1
423,2
424,2
425,2
426,2
427,1
428,2
429,2
430,1
431,2
432,2
433,5
434,6
435,3
436,3
437,2
438,6
439,2
440,3
441,1
442,2
443,1
444,2
445,2
446,2
447,6
448,6
449,2
450,2
451,6
452,2
453,2
454,1
455,1
456,1
457,3
458,1
459,1
460,3
461,1
462,1
463,5
464,1
465,2
466,1
467,1
468,2
469,5
470,1
471,2
472,2
473,1
474,1
475,2
476,5
477,2
478,1
479,1
480,2
481,1
482,1
483,1
484,2
485,2
486,1
487,3
488,2
489,1
490,2
491,1
492,6
493,2
494,2
495,1
496,3
497,2
498,2
499,2
500,3
501,3
502,2
503,2
504,1
505,3
506,2
507,2
508,2
509,2
510,2
511,1
512,2
513,2
514,4
515,3
516,3
517,2
518,2
519,2
520,2
521,6
522,2
523,2
524,5
525,3
526,3
527,1
528,4
529,2
530,4
531,2
532,2
533,3
534,3
535,3
536,1
537,2
538,2
539,2
540,2
541,1
542,2
543,3
544,1
545,5
546,4
547,2
548,3
549,3
550,2
551,3
552,6
553,2
554,2
555,1
556,2
557,3
558,3
559,3
560,2
561,3
562,2
563,3
564,2
565,2
566,2
567,2
568,2
569,4
570,2
571,2
572,3
573,6
574,3
575,1
576,4
577,1
578,1
579,2
580,2
581,2
582,1
583,6
584,6
585,3
586,5
587,4
588,1
589,5
590,1
591,6
592,2
593,2
594,3
595,2
596,3
597,1
598,3
599,2
600,6
601,2
602,2
603,2
604,1
605,2
606,2
607,1
608,1
609,1
610,5
611,5
612,5
613,4
614,3
615,5
616,5
617,1
618,3
619,4
620,3
621,1
622,5
623,1
624,2
625,1
626,2
627,5
628,6
629,2
630,2
631,2
632,1
633,2
634,2
635,3
636,5
637,6
