Row,selection0,selection1
1,logreg,logreg
2,logreg,logreg
3,logreg,logreg
4,logreg,logreg
5,tree,tree
6,logreg,logreg
7,knn,knn
8,logreg,logreg
9,,knn
10,logreg,logreg
11,,knn
12,logreg,logreg
13,knn,knn
14,,knn
15,knn,knn
16,knn,knn
17,logreg,logreg
18,logreg,logreg
19,knn,knn
20,knn,knn
21,,knn
22,logreg,logreg
23,knn,knn
24,knn,knn
25,logreg,logreg
26,,knn
27,logreg,logreg
28,nb,nb
29,knn,knn
30,logreg,logreg
31,,knn
32,knn,knn
33,knn,knn
34,knn,knn
35,logreg,logreg
36,,knn
37,nb,nb
38,,knn
39,tree,tree
40,,knn
41,logreg,logreg
42,logreg,logreg
43,knn,knn
44,logreg,logreg
45,svm_rbf,svm_rbf
46,,knn
47,logreg,logreg
48,logreg,logreg
49,logreg,logreg
50,logreg,logreg
51,logreg,logreg
52,,knn
53,logreg,logreg
54,logreg,logreg
55,knn,knn
56,logreg,logreg
57,,knn
58,,knn
59,logreg,logreg
60,logreg,logreg
61,logreg,logreg
62,knn,knn
63,logreg,logreg
64,knn,knn
65,,knn
66,tree,tree
67,,knn
68,logreg,logreg
69,logreg,logreg
70,logreg,logreg
71,logreg,logreg
72,logreg,logreg
73,logreg,logreg
74,logreg,logreg
75,,knn
76,tree,tree
77,,knn
78,logreg,logreg
79,logreg,logreg
80,logreg,logreg
81,,knn
82,logreg,logreg
83,logreg,logreg
84,logreg,logreg
85,knn,knn
86,logreg,logreg
87,logreg,logreg
88,logreg,logreg
89,logreg,logreg
90,knn,knn
91,,knn
92,logreg,logreg
93,logreg,logreg
94,logreg,logreg
95,logreg,logreg
96,logreg,logreg
97,logreg,logreg
98,,knn
99,,knn
100,,knn
101,knn,knn
102,knn,knn
103,logreg,logreg
104,logreg,logreg
105,logreg,logreg
106,knn,knn
107,logreg,logreg
108,logreg,logreg
109,logreg,logreg
110,logreg,logreg
111,,knn
112,logreg,logreg
113,logreg,logreg
114,knn,knn
115,logreg,logreg
116,logreg,logreg
117,,knn
118,logreg,logreg
119,logreg,logreg
120,,knn
121,,knn
122,,knn
123,knn,knn
124,,knn
125,logreg,logreg
126,logreg,logreg
127,,knn
128,logreg,logreg
129,tree,tree
130,tree,tree
131,logreg,logreg
132,logreg,logreg
133,logreg,logreg
134,logreg,logreg
135,logreg,logreg
136,logreg,logreg
137,logreg,logreg
138,logreg,logreg
139,logreg,logreg
140,logreg,logreg
141,logreg,logreg
142,logreg,logreg
143,logreg,logreg
144,logreg,logreg
145,,knn
146,,knn
147,logreg,logreg
148,logreg,logreg
149,,knn
150,logreg,logreg
151,,knn
152,logreg,logreg
153,logreg,logreg
154,knn,knn
155,logreg,logreg
156,logreg,logreg
157,logreg,logreg
158,logreg,logreg
159,logreg,logreg
160,logreg,logreg
161,logreg,logreg
162,logreg,logreg
163,logreg,logreg
164,,knn
165,rf,rf
166,,knn
167,logreg,logreg
168,logreg,logreg
169,logreg,logreg
170,logreg,logreg
171,logreg,logreg
172,logreg,logreg
173,logreg,logreg
174,logreg,logreg
175,logreg,logreg
176,logreg,logreg
177,,knn
