feature,algorithm,rho,pval
kDN,knn,-0.7287386959125417,8.492922510525351e-125
kDN,tree,-0.5003782122279156,1.2036921053546132e-48
kDN,nb,-0.6864175129473109,2.663131576565792e-105
kDN,logreg,-0.8327886820347375,9.197125194559769e-194
kDN,svm_rbf,-0.7588380916717865,4.521115846049895e-141
kDN,rf,-0.7778265440848762,1.2562751922733106e-152
DS,knn,-0.362577858135695,1.1758968148059332e-24
DS,tree,-0.4843027120277477,3.0171512178662945e-45
DS,nb,-0.3935085526555601,4.1101610078005835e-29
DS,logreg,-0.4495420470973087,1.7361806141068298e-38
DS,svm_rbf,-0.41115825815779694,7.076609536723287e-32
DS,rf,-0.4875262499461184,6.492479369459811e-46
DCP,knn,-0.6541348260260642,1.5423457955710672e-92
DCP,tree,-0.4629582120342281,5.275951698964821e-41
DCP,nb,-0.681903749069813,2.0379832574913466e-103
DCP,logreg,-0.8576267038810343,1.2085475709978312e-217
DCP,svm_rbf,-0.7796912987239493,7.989118719989608e-154
DCP,rf,-0.7165948355651388,7.740831085003519e-119
TD_P,knn,-0.18300692284905046,4.6696359561306086e-07
TD_P,tree,-0.21970672669242994,1.2538857130735745e-09
TD_P,nb,-0.3814125676719492,2.593705033635953e-27
TD_P,logreg,-0.555619224401509,8.165855719555722e-62
TD_P,svm_rbf,-0.39373098511206406,3.802338604235133e-29
TD_P,rf,-0.31370458837805637,1.5206360214203721e-18
TD_U,knn,-0.2812959540382267,4.53083902053253e-15
TD_U,tree,-0.340038025780476,1.058780304252253e-21
TD_U,nb,-0.3313916244170624,1.2463938451113832e-20
TD_U,logreg,-0.37513075332599705,2.086555510282363e-26
TD_U,svm_rbf,-0.3690640795572516,1.4972142603223294e-25
TD_U,rf,-0.3899686648225711,1.4074546509561997e-28
CL,knn,-0.6170131305718893,1.1270237978698494e-79
CL,tree,-0.4251675212850781,3.4289680711750723e-34
CL,nb,-0.9011084714807935,5.948764223199636e-273
CL,logreg,-0.9200324584671657,9.171497615139485e-306
CL,svm_rbf,-0.8034052668285737,3.848543048735028e-170
CL,rf,-0.6500569047064305,4.895789533809043e-91
CLD,knn,-0.6170131305718893,1.1270237978698494e-79
CLD,tree,-0.4251675212850781,3.4289680711750723e-34
CLD,nb,-0.9011084714807935,5.948764223199636e-273
CLD,logreg,-0.9200324584671657,9.171497615139485e-306
CLD,svm_rbf,-0.8034052668285737,3.848543048735028e-170
CLD,rf,-0.6500569047064305,4.895789533809043e-91
N1,knn,-0.39546689954250525,2.066890495581085e-29
N1,tree,-0.31024658520014714,3.7490357885367224e-18
N1,nb,-0.2550585215745382,1.4257224106729053e-12
N1,logreg,-0.38662089584497195,4.446743876311687e-28
N1,svm_rbf,-0.3137371953170434,1.5076666079592222e-18
N1,rf,-0.4464814834556918,6.285171520857466e-38
N2,knn,-0.4128598871719289,3.753852083042488e-32
N2,tree,-0.6079756950451556,8.482950088220024e-77
N2,nb,-0.35175691106140133,3.300469331572736e-23
N2,logreg,-0.3247912340184185,7.770115852396936e-20
N2,svm_rbf,-0.36375685996121604,8.113143298641873e-25
N2,rf,-0.5498401741574801,2.55076096917388e-60
LSC,knn,-0.3463700096873499,1.6553217619100966e-22
LSC,tree,-0.38311896984573046,1.46054508890258e-27
LSC,nb,-0.2405505908254542,2.627253853087054e-11
LSC,logreg,-0.3237303704607993,1.0383855530618991e-19
LSC,svm_rbf,-0.20886033842698046,8.098077603419559e-09
LSC,rf,-0.4935546361604576,3.5110792886137784e-47
LSR,knn,-0.25061357329377054,3.55101696619245e-12
LSR,tree,-0.11906218706581898,0.001104468499747258
LSR,nb,-0.1573787687187468,1.532116883802006e-05
LSR,logreg,-0.35211475708002904,2.9619174936992717e-23
LSR,svm_rbf,-0.2510756114112415,3.2323086169545013e-12
LSR,rf,-0.33260037479745097,8.871358664297983e-21
Harmfulness,knn,-0.5949839653348646,8.037327377129193e-73
Harmfulness,tree,-0.5478599851453351,8.168350813999108e-60
Harmfulness,nb,-0.4185922863435592,4.31677568141692e-33
Harmfulness,logreg,-0.48773345123103184,5.87870452064812e-46
Harmfulness,svm_rbf,-0.5023445377020268,4.489441747383493e-49
Harmfulness,rf,-0.6893195617552713,1.5702151444971038e-106
Usefulness,knn,-0.4994389120198638,1.9237106702721875e-48
Usefulness,tree,-0.4023809644480305,1.7585835690390113e-30
Usefulness,nb,-0.4486676250964423,2.51076293889562e-38
Usefulness,logreg,-0.5521475368855338,6.507403995392285e-61
Usefulness,svm_rbf,-0.4414955496044727,4.97086441506615e-37
Usefulness,rf,-0.5959109673993725,4.240042353293632e-73
F2,knn,-0.09050717808615914,0.013276008699565517
F2,tree,-0.11273555969132873,0.0020153296229775933
F2,nb,-0.23113004860978398,1.5787782641388008e-10
F2,logreg,-0.1848562897187811,3.557502305202255e-07
F2,svm_rbf,-0.1201809835037381,0.0009900217881053655
F2,rf,-0.10039833085807909,0.005992207897492042
F3,knn,-0.014284498225227035,0.6965057251823
F3,tree,-0.11474052715770093,0.001670860970390431
F3,nb,-0.07226368190291299,0.04819328369281301
F3,logreg,0.0330758920259506,0.3663421122468652
F3,svm_rbf,0.013316727979390807,0.7161462318489301
F3,rf,-0.0012655594726447006,0.9724348571476217
F4,knn,0.07850819339203848,0.031802016018507566
F4,tree,-0.03276831194872176,0.37081842460699815
F4,nb,0.13619295910443494,0.00018696102407526452
F4,logreg,0.2500395979529427,3.989993382282391e-12
F4,svm_rbf,0.15199944996861287,2.9870852381827858e-05
F4,rf,0.11643692531909533,0.0014225666413937126
