feature,status,rho,rho_algo,pval,n_algos_sig,cluster,kept_instead
kDN,dropped_redundancy,-0.8327886820347375,logreg,9.197125194559769e-194,6,3,CLD
DS,kept,-0.4875262499461184,rf,6.492479369459811e-46,6,4,
DCP,dropped_redundancy,-0.8576267038810343,logreg,1.2085475709978312e-217,6,3,CLD
TD_P,dropped_redundancy,-0.555619224401509,logreg,8.165855719555722e-62,6,3,CLD
TD_U,dropped_redundancy,-0.3899686648225711,rf,1.4074546509561997e-28,6,4,DS
CL,dropped_redundancy,-0.9200324584671657,logreg,9.171497615139485e-306,6,3,CLD
CLD,kept,-0.9200324584671657,logreg,9.171497615139485e-306,6,3,
N1,kept,-0.4464814834556918,rf,6.285171520857466e-38,6,6,
N2,dropped_redundancy,-0.6079756950451556,tree,8.482950088220024e-77,6,5,Harmfulness
LSC,kept,-0.4935546361604576,rf,3.5110792886137784e-47,6,1,
LSR,dropped_redundancy,-0.35211475708002904,logreg,2.9619174936992717e-23,6,6,N1
Harmfulness,kept,-0.6893195617552713,rf,1.5702151444971038e-106,6,5,
Usefulness,dropped_redundancy,-0.5959109673993725,rf,4.240042353293632e-73,6,1,LSC
F2,dropped_redundancy,-0.23113004860978398,nb,1.5787782641388008e-10,5,2,F4
F3,dropped_redundancy,-0.11474052715770093,tree,0.001670860970390431,1,2,F4
F4,kept,0.2500395979529427,logreg,3.989993382282391e-12,4,2,
