Row,knn,tree,nb,logreg,svm_rbf,rf
1,True,True,True,True,True,True
2,True,True,True,True,True,True
3,True,True,True,True,True,True
4,True,True,True,True,True,True
5,True,False,True,True,True,True
6,True,True,True,True,True,True
7,False,False,False,False,False,False
8,True,False,False,False,False,False
9,True,False,True,True,True,True
10,False,True,False,False,False,False
11,True,True,True,True,True,True
12,True,False,True,True,True,True
13,False,True,False,False,True,True
14,True,False,True,False,True,True
15,False,True,True,True,True,True
16,False,False,True,False,False,False
17,False,False,True,False,False,True
18,True,False,False,False,False,False
19,True,True,True,True,True,True
20,False,False,False,False,False,False
21,False,True,False,True,True,True
22,False,True,True,True,True,True
23,True,True,True,True,True,True
24,False,True,False,False,False,True
25,False,False,True,True,True,True
26,False,False,False,False,False,False
27,False,True,True,True,True,True
28,True,True,True,True,True,True
29,True,False,False,False,True,True
30,False,False,True,True,True,False
31,False,True,True,True,True,False
32,False,True,True,True,True,True
33,True,True,True,True,True,True
34,True,True,True,True,True,True
35,False,True,True,True,False,False
36,True,True,True,True,True,True
37,False,False,False,False,False,False
38,False,True,True,False,False,True
39,False,False,False,False,False,False
40,True,False,True,True,True,True
41,False,False,False,False,False,False
42,False,False,False,False,False,False
43,True,True,True,True,True,True
44,True,False,True,True,True,True
45,False,False,False,False,False,False
46,True,True,True,True,True,True
47,True,True,True,True,False,True
48,True,True,True,True,True,True
49,False,True,False,False,False,True
50,True,True,True,True,True,True
51,True,True,True,True,True,True
52,True,True,True,True,True,True
53,True,True,True,True,True,True
54,True,True,True,True,True,True
55,False,False,False,False,False,False
56,True,True,True,True,True,True
57,True,True,True,True,True,True
58,True,True,False,True,True,True
59,False,False,False,False,False,False
60,True,True,True,True,True,True
61,True,True,True,True,True,True
62,True,False,False,True,True,True
63,True,True,True,True,True,True
64,True,True,True,True,True,True
65,True,True,False,False,False,True
66,True,False,True,True,True,True
67,False,True,False,False,False,False
68,False,True,False,False,False,True
69,True,True,True,True,True,True
70,False,True,True,True,True,True
71,False,False,False,False,False,False
72,False,True,True,True,True,False
73,False,True,True,True,True,True
74,True,False,True,True,True,True
75,True,True,True,True,True,True
76,True,True,True,True,True,True
77,True,True,True,True,True,True
78,True,True,True,True,True,True
79,True,True,True,True,True,True
80,True,True,True,True,True,True
81,True,True,True,True,True,True
82,True,True,True,True,True,True
83,True,False,True,True,True,True
84,True,True,True,True,True,True
85,True,True,True,True,True,True
86,True,True,True,True,True,True
87,True,False,False,False,True,True
88,True,True,True,True,True,True
89,True,False,True,True,True,False
90,True,True,True,True,True,True
91,True,True,True,True,True,True
92,True,True,True,True,True,True
93,True,True,True,True,True,True
94,False,False,False,False,False,False
95,True,True,True,True,True,True
96,True,False,False,False,False,False
97,True,True,True,True,True,True
98,True,True,True,True,True,True
99,True,True,True,True,True,True
100,False,False,True,False,False,True
101,True,True,True,True,True,True
102,True,False,True,True,True,True
103,True,True,True,True,True,True
104,True,True,True,True,True,True
105,True,True,True,True,True,True
106,True,True,True,True,True,True
107,True,True,True,True,True,True
108,True,True,True,True,True,True
109,True,True,True,True,True,True
110,False,False,False,False,False,False
111,False,False,True,True,False,True
112,True,True,True,True,True,True
113,True,False,True,True,True,True
114,True,True,True,True,True,True
115,False,True,True,True,True,True
116,False,True,True,True,True,True
117,True,True,False,False,True,True
118,True,False,True,True,True,True
119,True,True,True,True,True,True
120,True,True,True,True,True,True
121,True,True,True,True,True,True
122,True,True,True,True,True,True
123,True,True,True,True,True,True
124,True,False,True,True,True,True
125,False,False,False,False,False,False
126,False,False,False,True,False,False
127,True,False,True,True,True,True
128,True,True,True,True,True,True
129,True,True,False,False,False,False
130,False,False,False,False,False,False
131,True,True,True,True,True,True
132,True,False,True,True,True,True
133,True,True,True,True,True,True
134,True,True,True,True,True,True
135,True,True,True,True,True,True
136,True,True,True,True,True,True
137,True,True,True,True,True,True
138,True,True,True,True,True,True
139,False,False,True,True,True,False
140,True,True,False,True,True,True
141,False,True,True,True,True,True
142,True,False,True,True,True,True
143,True,False,True,True,True,True
144,False,False,False,False,False,False
145,False,True,False,True,True,True
146,True,True,True,True,True,True
147,True,True,True,True,True,True
148,False,False,False,True,False,False
149,True,False,False,False,False,False
150,True,True,True,True,True,True
151,True,True,True,True,True,True
152,True,True,True,True,True,True
153,True,True,True,True,True,True
154,False,True,False,False,False,True
155,True,True,True,True,True,True
156,True,True,True,True,True,True
157,True,True,True,True,True,True
158,True,True,True,True,True,True
159,True,True,True,True,True,True
160,True,False,True,True,True,True
161,True,True,True,True,False,False
162,True,True,True,True,True,True
163,True,True,False,True,True,True
164,True,True,True,True,True,True
165,True,False,False,False,False,False
166,False,False,False,False,False,False
167,True,True,True,True,True,True
168,False,False,True,True,True,False
169,True,True,True,True,True,True
170,True,True,True,True,True,True
171,False,False,False,False,False,False
172,False,True,False,True,False,False
173,True,True,True,True,True,True
174,True,True,True,True,True,True
175,True,True,True,True,True,True
176,True,True,True,True,True,True
177,True,True,True,True,True,True
178,True,True,True,True,True,True
179,False,False,False,False,False,False
180,False,False,True,True,True,True
181,True,True,True,True,True,True
182,True,True,True,True,True,True
183,True,True,True,True,True,True
184,True,True,True,True,True,True
185,False,True,True,True,True,True
186,True,True,True,True,True,True
187,True,False,True,True,True,True
188,True,True,True,False,False,True
189,False,True,False,False,False,True
190,False,False,False,False,False,False
191,True,True,True,True,True,True
192,True,True,False,True,True,True
193,False,True,True,True,True,True
194,True,False,True,True,True,True
195,True,True,True,True,True,True
196,True,True,True,True,True,True
197,True,True,True,True,True,True
198,False,False,False,False,False,False
199,False,True,False,False,False,False
200,False,False,True,False,False,False
201,True,True,True,True,True,True
202,True,True,True,True,True,True
203,True,False,True,True,True,True
204,True,True,True,True,True,True
205,True,False,True,True,True,True
206,True,True,True,True,True,True
207,True,True,True,True,True,True
208,True,False,True,True,True,True
209,True,True,True,True,True,True
210,True,True,True,True,True,True
211,True,True,True,True,True,True
212,False,True,False,False,False,False
213,False,False,False,False,False,False
214,False,False,False,True,False,False
215,False,False,False,False,False,False
216,True,True,True,True,True,True
217,False,True,False,False,False,False
218,True,True,True,True,True,False
219,False,False,False,False,False,False
220,True,True,False,False,False,False
221,False,True,True,True,False,True
222,False,True,True,True,True,True
223,False,True,True,True,True,True
224,False,True,False,False,False,False
225,True,False,True,True,True,True
226,True,True,True,True,True,True
227,True,True,True,True,True,True
228,False,True,True,True,True,True
229,False,False,False,False,False,False
230,True,True,True,True,True,True
231,True,False,False,True,False,False
232,False,False,True,True,True,True
233,True,True,True,True,True,True
234,False,True,True,True,True,True
235,True,True,True,True,True,True
236,True,True,True,True,True,True
237,True,True,True,True,True,True
238,True,True,True,True,True,True
239,True,False,True,True,True,True
240,True,True,True,True,True,True
241,True,True,True,True,True,True
242,True,True,True,True,True,True
243,False,False,False,False,False,False
244,False,False,True,False,False,False
