Row,knn,tree,nb,logreg,svm_rbf,rf
1,True,True,True,True,True,True
2,True,True,True,True,True,True
3,True,True,True,True,True,True
4,True,True,True,True,True,True
5,True,True,True,True,True,True
6,True,True,True,True,True,True
7,False,False,False,False,False,False
8,False,False,False,False,False,False
9,True,True,True,True,True,True
10,False,True,False,False,False,False
11,True,True,True,True,True,True
12,True,True,True,True,True,True
13,False,False,False,False,False,False
14,True,False,True,True,True,True
15,True,True,True,True,True,True
16,False,False,False,False,False,False
17,False,True,False,False,False,False
18,False,False,False,False,False,False
19,True,True,True,True,True,True
20,False,False,False,False,False,False
21,False,False,False,False,False,False
22,True,True,True,True,True,True
23,True,True,True,True,True,True
24,False,True,False,False,False,False
25,True,True,True,True,True,True
26,False,False,False,False,False,False
27,False,True,False,False,False,True
28,True,True,True,True,True,True
29,True,False,False,False,False,False
30,True,False,True,True,True,True
31,False,True,True,True,True,True
32,True,True,True,True,True,True
33,True,True,True,True,True,True
34,True,True,True,True,True,True
35,False,True,True,True,True,False
36,True,True,True,True,True,True
37,False,False,False,False,False,False
38,False,True,False,False,False,False
39,False,False,False,False,False,False
40,True,False,True,True,True,True
41,False,False,False,False,False,False
42,False,False,False,False,False,False
43,True,True,True,True,True,True
44,True,False,True,True,True,True
45,False,True,False,False,False,False
46,True,True,True,True,True,True
47,True,True,True,True,True,True
48,True,True,True,True,True,True
49,False,True,False,False,False,False
50,True,True,True,True,True,True
51,True,True,True,True,True,True
52,True,True,True,True,True,True
53,True,True,True,True,True,True
54,True,True,True,True,True,True
55,False,False,False,False,False,False
56,True,True,True,True,True,True
57,True,True,True,True,True,True
58,False,True,False,False,False,False
59,False,False,False,False,False,False
60,True,True,True,True,True,True
61,True,True,True,True,True,True
62,False,False,False,False,False,False
63,True,True,True,True,True,True
64,True,True,True,True,True,True
65,False,True,False,False,False,False
66,True,True,True,True,True,True
67,False,False,False,False,False,False
68,False,True,True,True,True,True
69,True,True,True,True,True,True
70,True,True,True,True,True,True
71,False,False,False,False,False,False
72,True,True,True,True,True,True
73,True,True,True,True,True,True
74,True,False,True,True,True,True
75,True,True,True,True,True,True
76,True,True,True,True,True,True
77,True,True,True,True,True,True
78,True,True,True,True,True,True
79,True,True,True,True,True,True
80,True,True,True,True,True,True
81,True,True,True,True,True,True
82,True,True,True,True,True,True
83,True,False,True,True,True,True
84,True,True,True,True,True,True
85,True,True,True,True,True,True
86,True,True,True,True,True,True
87,False,False,False,False,False,False
88,True,True,True,True,True,True
89,True,True,True,True,True,True
90,True,True,True,True,True,True
91,True,True,True,True,True,True
92,True,True,True,True,True,True
93,True,True,True,True,True,True
94,False,False,False,False,False,False
95,True,True,True,True,True,True
96,False,True,False,False,False,False
97,True,True,True,True,True,True
98,True,True,True,True,True,True
99,True,True,True,True,True,True
100,True,True,True,True,True,True
101,True,True,True,True,True,True
102,True,True,True,True,True,True
103,True,True,True,True,True,True
104,True,True,True,True,True,True
105,True,True,True,True,True,True
106,True,True,True,True,True,True
107,True,True,True,True,True,True
108,True,True,True,True,True,True
109,True,True,True,True,True,True
110,False,False,False,False,False,False
111,False,False,False,False,False,False
112,True,True,True,True,True,True
113,True,True,True,True,True,True
114,True,True,True,True,True,True
115,True,False,True,True,True,True
116,True,True,True,True,True,True
117,False,False,False,False,False,False
118,True,False,True,True,True,True
119,True,True,True,True,True,True
120,True,True,True,True,True,True
121,True,True,True,True,True,True
122,True,True,True,True,True,True
123,True,True,True,True,True,True
124,True,True,True,True,True,True
125,False,False,False,False,False,False
126,True,False,False,True,False,False
127,True,False,True,True,True,True
128,True,True,True,True,True,True
129,False,True,False,False,False,False
130,False,False,False,False,False,False
131,False,True,True,False,True,True
132,True,True,True,True,True,True
133,True,True,True,True,True,True
134,True,True,True,True,True,True
135,True,True,True,True,True,True
136,True,True,True,True,True,True
137,True,True,True,True,True,True
138,True,True,True,True,True,True
139,True,True,True,True,True,True
140,True,True,True,True,True,True
141,True,True,True,True,True,True
142,True,False,True,True,True,True
143,True,True,True,True,True,True
144,False,False,False,False,False,False
145,False,True,False,False,False,False
146,True,True,True,True,True,True
147,True,True,True,True,True,True
148,False,True,True,True,True,True
149,False,False,False,False,False,False
150,True,True,True,True,True,True
151,False,True,True,True,True,True
152,True,True,True,True,True,True
153,True,True,True,True,True,True
154,False,False,False,False,False,False
155,True,True,True,True,True,True
156,True,True,True,True,True,True
157,True,True,True,True,True,True
158,True,True,True,True,True,True
159,True,True,True,True,True,True
160,True,True,True,True,True,True
161,True,True,True,True,True,True
162,True,True,True,True,True,True
163,True,True,True,True,True,True
164,True,True,True,True,True,True
165,False,False,False,False,False,False
166,False,False,False,False,False,False
167,True,True,True,True,True,True
168,True,False,True,True,True,True
169,True,False,True,True,True,True
170,True,True,True,True,True,True
171,False,False,False,False,False,False
172,False,False,False,False,False,False
173,True,True,True,True,True,True
174,True,True,True,True,True,True
175,True,True,True,True,True,True
176,True,True,True,True,True,True
177,True,False,True,True,True,True
178,True,True,True,True,True,True
179,False,False,False,False,False,False
180,True,True,False,True,False,True
181,True,True,True,True,True,True
182,True,True,True,True,True,True
183,True,True,True,True,True,True
184,True,True,True,True,True,True
185,True,True,True,True,True,True
186,True,True,True,True,True,True
187,True,True,True,True,True,True
188,True,True,True,True,True,True
189,False,False,False,False,False,False
190,False,False,False,False,False,False
191,True,True,True,True,True,True
192,False,True,False,False,False,False
193,False,True,False,False,False,False
194,True,True,True,True,True,True
195,True,True,True,True,True,True
196,True,True,True,True,True,True
197,True,True,True,True,True,True
198,False,False,False,False,False,False
199,False,True,False,False,False,False
200,True,True,True,True,True,True
201,True,True,True,True,True,True
202,True,True,True,True,True,True
203,True,True,True,True,True,True
204,True,True,True,True,True,True
205,False,True,True,True,True,True
206,True,True,True,True,True,True
207,True,True,True,True,True,True
208,True,True,True,True,True,True
209,True,True,True,True,True,True
210,True,True,True,True,True,True
211,True,True,True,True,True,True
212,False,False,False,False,False,False
213,False,False,False,False,False,False
214,False,False,False,False,False,False
215,False,False,False,False,False,False
216,True,True,True,True,True,True
217,False,True,False,False,False,False
218,True,True,True,True,True,True
219,False,False,False,False,False,False
220,False,False,False,False,False,False
221,True,True,True,True,True,True
222,True,True,True,True,True,True
223,False,True,True,True,True,True
224,True,True,True,True,True,True
225,True,True,True,True,True,True
226,True,True,True,True,True,True
227,True,True,True,True,True,True
228,True,True,True,True,True,True
229,True,False,False,True,False,False
230,True,True,True,True,True,True
231,False,False,False,False,False,False
232,True,True,True,True,True,True
233,True,True,True,True,True,True
234,True,True,True,True,True,True
235,True,True,True,True,True,True
236,True,True,True,True,True,True
237,True,True,True,True,True,True
238,True,True,True,True,True,True
239,True,True,True,True,True,True
240,True,True,True,True,True,True
241,True,True,True,True,True,True
242,True,True,True,True,True,True
243,False,False,False,False,False,False
244,False,True,True,True,True,True
