Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-2.351037675999513,-0.04913765342771647
2,1,exterior,2,-2.3509113785623352,-0.04893255222824273
3,1,exterior,3,-2.0943183666273173,0.32506199008099623
4,1,exterior,4,-2.093798548751572,0.3259065694666237
5,1,exterior,5,-2.0933649434328427,0.32679848391887883
6,1,exterior,6,-2.0930218152876794,0.3277289612364789
7,1,exterior,7,-2.0927725390670426,0.3286888499427343
8,1,exterior,8,-2.0926195664647884,0.32966870929260605
9,1,exterior,9,-2.092564402004646,0.3306589021247901
10,1,exterior,10,-2.0926075882428505,0.3316496896456044
11,1,exterior,11,-2.1579344037941213,1.0307997136660607
12,1,exterior,12,-2.1579450166311025,1.0310490194865103
13,1,exterior,13,-2.15783341386157,1.0312722029228354
14,1,exterior,14,-2.053284826197916,1.2163036731537047
15,1,exterior,15,-2.0528172027898886,1.2172432287166546
16,1,exterior,16,-2.0524506245475975,1.218226619127368
17,1,exterior,17,-2.0521891290968988,1.2192430129668166
18,1,exterior,18,-2.0520355966436292,1.2202812153042237
19,1,exterior,19,-2.051991718249973,1.2213297910020993
20,1,exterior,20,-2.0563137897395483,1.6260986346410287
21,1,exterior,21,-2.056302753259701,1.6263601407967476
22,1,exterior,22,-2.056210717380893,1.6266051646126851
23,1,exterior,23,-1.9255318185562043,1.9254953144137583
24,1,exterior,24,-1.9254218120221491,1.925716125467115
25,1,exterior,25,-1.925219366298211,1.9258571030812215
26,1,exterior,26,-1.4260188826465117,2.237619381228613
27,1,exterior,27,-1.4251767717323245,2.2382074925230264
28,1,exterior,28,-1.4243994308686112,2.238878884262632
29,1,exterior,29,-1.4236950612011547,2.239626473092121
30,1,exterior,30,-1.4230710940108742,2.240442371757313
31,1,exterior,31,-1.4225341123119015,2.241317972317716
32,1,exterior,32,-1.4220897813990925,2.242244036962507
33,1,exterior,33,-1.2529089861934881,2.6469197908854305
34,1,exterior,34,-1.252802287330673,2.6471424553455476
35,1,exterior,35,-1.2525567725792146,2.6471686587029906
36,1,exterior,36,0.08129400795923408,2.721200343856978
37,1,exterior,37,0.08152576766296851,2.721201895076683
38,1,exterior,38,0.08152980448376035,2.720970165340484
39,1,exterior,39,0.07123506683763635,2.39252495319313
40,1,exterior,40,0.07121579214465822,2.3922851767472224
41,1,exterior,41,0.07106702307198659,2.3920961475938642
42,1,exterior,42,-0.5742990019382773,1.6497908328460626
43,1,exterior,43,-0.5748749827761409,1.6490626438448466
44,1,exterior,44,-0.5753809455247416,1.648284174292387
45,1,exterior,45,-0.5758125287186674,1.6474621346985725
46,1,exterior,46,-0.5761660120540457,1.6466036111527755
47,1,exterior,47,-0.5764383484580532,1.6457160042408316
48,1,exterior,48,-0.5766271903550828,1.6448069652510164
49,1,exterior,49,-0.5767309099031551,1.643884330218934
50,1,exterior,50,-0.5767486130261295,1.6429560523798605
51,1,exterior,51,-0.5766801471207585,1.64203013361081
52,1,exterior,52,-0.473030108435171,0.784222993765985
53,1,exterior,53,-0.4730134885858723,0.7840059433655634
54,1,exterior,54,-0.47305385949982537,0.7837920338402498
55,1,exterior,55,-0.54451570323669,0.4790822013033071
56,1,exterior,56,-0.5445792692218345,0.478859619935252
57,1,exterior,57,-0.5448083219652973,0.4788261843167539
58,1,exterior,58,-2.065750233881385,0.3306303543637864
59,1,exterior,59,-2.066709019848492,0.33048975902164524
60,1,exterior,60,-2.067649695892605,0.3302570227739649
61,1,exterior,61,-2.0685634287121557,0.32993433110157555
62,1,exterior,62,-2.069441638012578,0.3295247142005515
63,1,exterior,63,-2.0702760770785025,0.3290320185275314
64,1,exterior,64,-2.071058910213509,0.32846087068004454
65,1,exterior,65,-2.0717827863202642,0.3278166339510217
66,1,exterior,66,-2.072440907930086,0.3271053579654587
67,1,exterior,67,-2.07302709503373,0.3263337218721642
68,1,exterior,68,-2.073535843113998,0.32550897162404246
69,1,exterior,69,-2.0739623748352236,0.32463885193587244
70,1,exterior,70,-2.0743026849042505,0.32373153355852524
71,1,exterior,71,-2.0745535776816384,0.32279553655254306
72,1,exterior,72,-2.07471269718992,0.32183965028156863
73,1,exterior,73,-2.074778549237114,0.32087285087691764
74,1,exterior,74,-2.0747505154477484,0.3199042169483322
75,1,exterior,75,-2.074628859069642,0.31894284433242354
76,1,exterior,76,-2.074414722501904,0.317997760679348
77,1,exterior,77,-2.0741101165673808,0.3170778406797795
78,1,exterior,78,-2.0737179016302703,0.31619172272822865
79,1,exterior,79,-2.073241760736231,0.31534772780527204
80,1,exterior,80,-2.072686165027196,0.3145537813404176
81,1,exterior,81,-2.072056331755671,0.31381733878934304
82,1,exterior,82,-2.071358175292773,0.31314531562436493
83,1,exterior,83,-2.070598251590063,0.31254402239555523
84,1,exterior,84,-0.8783560216972788,-0.5402559065090122
85,1,exterior,85,-0.8781800883471411,-0.5403954879821837
86,1,exterior,86,-0.8783958701744113,-0.5404577273135105
87,1,exterior,87,-1.3776968880033034,-0.6579134975457996
88,1,exterior,88,-1.377928548554301,-0.6579565024017222
89,1,exterior,89,-1.3781629566125209,-0.6579326509706767
90,1,exterior,90,-2.258253983792382,-0.5259148560983223
91,1,exterior,91,-2.2584906029039313,-0.5258670365321466
92,1,exterior,92,-2.2584802196658322,-0.5256258571316448
93,1,exterior,93,-2.23973069596582,-0.32576708292344947
94,1,exterior,94,-2.239687008954912,-0.32480861643640807
95,1,exterior,95,-2.239735378325486,-0.32385037483550894
96,1,exterior,96,-2.23987535880529,-0.3229011793725102
