Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-2.301877211184251,-0.2805002289468586
2,1,exterior,2,-2.301776551591917,-0.2802934445679024
3,1,exterior,3,-2.103690771118637,0.08154610641138044
4,1,exterior,4,-2.103574622400602,0.08173516362450128
5,1,exterior,5,-2.1035113543060593,0.08152248945412863
6,1,exterior,6,-1.9634233506327134,-0.49312273089507636
7,1,exterior,7,-1.9631477691533625,-0.4940540400115184
8,1,exterior,8,-1.9627831428903566,-0.494954223054269
9,1,exterior,9,-1.9623329112969532,-0.4958147887603199
10,1,exterior,10,-1.9618013213259307,-0.49662761956979856
11,1,exterior,11,-1.961193387368854,-0.4973850481974345
12,1,exterior,12,-1.9605148439562308,-0.4980799299566675
13,1,exterior,13,-1.9597720916647272,-0.49870571015417753
14,1,exterior,14,-1.9589721367416928,-0.49925648591911487
15,1,exterior,15,-1.9581225250165017,-0.49972706188380855
16,1,exterior,16,-1.9572312707221162,-0.5001129991907238
17,1,exterior,17,-1.9563067808982846,-0.5004106573633998
18,1,exterior,18,-1.955357776089462,-0.5006172286464019
19,1,exterior,19,-1.9543932080855015,-0.5007307644903676
20,1,exterior,20,-1.9534221754810464,-0.5007501939323192
21,1,exterior,21,-1.9524538378501415,-0.5006753336978624
22,1,exterior,22,-1.9514973293456364,-0.5005068899299812
23,1,exterior,23,-1.9505616725383799,-0.5002464515281184
24,1,exterior,24,-1.9496556933089537,-0.4998964751603766
25,1,exterior,25,-1.9487879375947412,-0.4994602620902143
26,1,exterior,26,-1.9479665907776542,-0.4989419270362284
27,1,exterior,27,-1.9471994004729154,-0.4983463593587607
28,1,exterior,28,-1.9464936034472107,-0.4976791769394512
29,1,exterior,29,-1.9458558573555844,-0.4969466731887817
30,1,exterior,30,-1.9452921779409902,-0.4961557576814788
31,1,exterior,31,-1.9448078822888812,-0.4953138909797512
32,1,exterior,32,-1.9444075386721091,-0.49442901425916286
33,1,exterior,33,-1.9440949234592368,-0.49350947440096726
34,1,exterior,34,-1.9438729854927408,-0.4925639452574942
35,1,exterior,35,-1.6627025848513606,1.0354945826698467
36,1,exterior,36,-1.6626596491963883,1.0356775940923393
37,1,exterior,37,-1.6626228808909842,1.0354932445793212
38,1,exterior,38,-1.344080691978967,-1.0952930449650193
39,1,exterior,39,-1.3438889327773818,-1.0962522044134544
40,1,exterior,40,-1.3436043839313998,-1.0971880411477004
41,1,exterior,41,-1.3432297678861178,-1.098091601470829
42,1,exterior,42,-1.3427686688121634,-1.0989542404931973
43,1,exterior,43,-1.3422254983138378,-1.0997677048431618
44,1,exterior,44,-1.3416054532207211,-1.100524211631906
45,1,exterior,45,-1.3409144658665675,-1.1012165229168889
46,1,exterior,46,-1.3401591473311996,-1.1018380149514664
47,1,exterior,47,-1.3393467241884447,-1.1023827415581517
48,1,exterior,48,-1.338484969365281,-1.1028454910191656
49,1,exterior,49,-1.337582127773702,-1.1032218359399892
50,1,exterior,50,-1.3366468374268252,-1.1035081756088325
51,1,exterior,51,-1.335688046793973,-1.1037017704467509
52,1,exterior,52,-1.3347149291854357,-1.1038007682187945
53,1,exterior,53,-1.3337367949860544,-1.1038042217554254
54,1,exterior,54,-1.3327630025773256,-1.1037120980146398
55,1,exterior,55,-1.3318028688002967,-1.1035252783981027
56,1,exterior,56,-1.3308655798159053,-1.1032455503182603
57,1,exterior,57,-1.3299601032156056,-1.1028755900971225
58,1,exterior,58,-1.3290951022231838,-1.1024189373603261
59,1,exterior,59,-1.3282788528086316,-1.1018799611714667
