Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,1.0672210425075792,1.418033511995537
2,1,exterior,2,1.0674438562186264,1.4180737063700457
3,1,exterior,3,1.7726971663097493,1.509992500707921
4,1,exterior,4,1.7729214631596575,1.5100107362963158
5,1,exterior,5,1.7728576899189485,1.509794924833847
6,1,exterior,6,1.5170014826598743,0.7767410370634518
7,1,exterior,7,1.51691587618225,0.776530191437568
8,1,exterior,8,1.516776126061984,0.7767097861224883
9,1,exterior,9,1.0673417926593904,1.4178419893117367
10,2,exterior,1,-1.1314297492187937,1.0161663986690548
11,2,exterior,2,-1.131251205098214,1.0162212704710862
12,2,exterior,3,-0.593743287301655,1.1531564301629587
13,2,exterior,4,-0.5935025564684142,1.1532050693836156
14,2,exterior,5,-0.5932872479004954,1.1530869197816631
15,2,exterior,6,-0.2785779356274809,0.9592836501117238
16,2,exterior,7,-0.278408513096342,0.9591674531862981
17,2,exterior,8,-0.2786139218359556,0.9591710544674991
18,2,exterior,9,-1.131244206591697,1.016144884692598
