Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-1.9523276126495182,-0.5385810395139274
2,1,exterior,2,-1.9522991693578748,-0.538333577681143
3,1,exterior,3,-1.8521000280842235,0.06298196266791392
4,1,exterior,4,-1.8520490210693106,0.06321648177073091
5,1,exterior,5,-1.8518472122449399,0.06334638220784367
6,1,exterior,6,0.672332300863735,1.5182480312028295
7,1,exterior,7,0.6733281968828906,1.5189041326873411
8,1,exterior,8,0.6742389037274669,1.5196741268965337
9,1,exterior,9,1.016928894376495,1.846387290037952
10,1,exterior,10,1.017098179764149,1.8465337934501231
11,1,exterior,11,1.0171766168328065,1.8463241069734229
12,1,exterior,12,1.2201987624168056,1.212087692983889
13,1,exterior,13,1.220554238407104,1.2111439813570393
14,1,exterior,14,1.2210029536514364,1.2102408703761327
15,1,exterior,15,1.2215403449185238,1.2093875442717685
16,1,exterior,16,1.222160947182003,1.2085926809848475
17,1,exterior,17,1.2228584491972776,1.2078643639158329
18,1,exterior,18,1.2236257576840237,1.2072099997202217
19,1,exterior,19,1.2244550694616443,1.2066362429862043
20,1,exterior,20,1.2253379508040914,1.20614892856051
21,1,exterior,21,1.2262654232070476,1.2057530122106523
22,1,exterior,22,1.22722805469526,1.205452520227011
23,1,exterior,23,1.2282160557414648,1.2052505084772807
24,1,exterior,24,1.2292193788214565,1.2051490313296758
25,1,exterior,25,1.2302278205928705,1.2051491207609346
26,1,exterior,26,1.2312311256585624,1.2052507758615811
27,1,exterior,27,1.9244824789089356,1.3110319646931003
28,1,exterior,28,1.9247165164090474,1.3110558761957598
29,1,exterior,29,1.9247365642211511,1.3108214761175885
30,1,exterior,30,1.9592282543614772,0.3455562578982665
31,1,exterior,31,1.9592260195027587,0.3453291496572432
32,1,exterior,32,1.9592031294092935,0.3451031868475706
33,1,exterior,33,1.9044983683133097,-0.025597659544096485
34,1,exterior,34,1.9044394700226646,-0.025881311029017667
35,1,exterior,35,1.9043480167089883,-0.026156199124350576
36,1,exterior,36,1.6793191717050875,-0.5905479345809708
37,1,exterior,37,1.6790165329690334,-0.5914226360952138
38,1,exterior,38,1.678796064199073,-0.5923215723916506
39,1,exterior,39,1.6786596541356007,-0.5932370423464626
40,1,exterior,40,1.6786084713940055,-0.5941612031931457
41,1,exterior,41,1.6786429544532224,-0.5950861377109395
42,1,exterior,42,1.6787628078993162,-0.5960039220510974
43,1,exterior,43,1.6789670049562724,-0.5969066936199398
44,1,exterior,44,1.774725073732902,-0.9446076675365
45,1,exterior,45,1.774778705214599,-0.9448503463141074
46,1,exterior,46,1.7745991605239038,-0.9450221980786425
47,1,exterior,47,1.3858670300060798,-1.2806857997352128
48,1,exterior,48,1.3851997491151031,-1.281317784833978
49,1,exterior,49,1.384593308165029,-1.2820083630892087
50,1,exterior,50,1.384052829574278,-1.28275170140079
51,1,exterior,51,1.3835828785977018,-1.2835415210207914
52,1,exterior,52,1.1268179755822463,-1.7640307778405873
53,1,exterior,53,1.126698889722153,-1.7642304668340016
54,1,exterior,54,1.1265148391037978,-1.764372531981203
55,1,exterior,55,0.6402241806545181,-2.104536753146353
56,1,exterior,56,0.6400185260591251,-2.1046659008355038
57,1,exterior,57,0.6397822851223116,-2.1046096588761545
58,1,exterior,58,0.4046729523548435,-2.0361434027144694
59,1,exterior,59,0.4044396221330791,-2.0360624594597727
60,1,exterior,60,0.40433706481965836,-2.035837789033742
61,1,exterior,61,0.2903380047864146,-1.748494138287533
62,1,exterior,62,0.2899236682862567,-1.7475850900859384
63,1,exterior,63,0.28942069694054506,-1.7467219196545758
64,1,exterior,64,0.2888341106214396,-1.7459132418086916
65,1,exterior,65,0.28816976371479663,-1.7451671275038967
66,1,exterior,66,0.28743428669085985,-1.7444910232845292
67,1,exterior,67,0.286635019929291,-1.7438916769639123
68,1,exterior,68,0.2857799404589982,-1.7433750702782518
69,1,exterior,69,0.2848775823439272,-1.7429463591863132
70,1,exterior,70,-0.22406276866858252,-1.5316235954770594
71,1,exterior,71,-0.2248322939987864,-1.5313404714637475
72,1,exterior,72,-0.2256224278755671,-1.5311213438810416
73,1,exterior,73,-0.22642785800415113,-1.5309676859860013
74,1,exterior,74,-0.8345110222169965,-1.4406174650340975
75,1,exterior,75,-0.8354486221054329,-1.4405230424439688
76,1,exterior,76,-0.8363909469660596,-1.4405172949778051
77,1,exterior,77,-0.8373296288676435,-1.4406002736736327
78,1,exterior,78,-0.8382563322287622,-1.4407712416730183
79,1,exterior,79,-0.8391628278385312,-1.441028680764439
80,1,exterior,80,-0.8400410659327534,-1.4413703048651394
81,1,exterior,81,-0.840883247676562,-1.4417930803217571
82,1,exterior,82,-0.8416818944187903,-1.4422932528494417
83,1,exterior,83,-0.8424299141030813,-1.4428663808702502
84,1,exterior,84,-0.9969934828593937,-1.573296587256352
85,1,exterior,85,-0.9976796304178576,-1.5739328908244017
86,1,exterior,86,-0.99830329506185,-1.5746305462655272
87,1,exterior,87,-0.9988590154804342,-1.5753834443456602
88,1,exterior,88,-0.9993419253371432,-1.576184992081601
89,1,exterior,89,-0.9997477958835509,-1.5770281704745033
90,1,exterior,90,-1.0000730729896044,-1.577905595973891
91,1,exterior,91,-1.0003149082664553,-1.5788095851339858
92,1,exterior,92,-1.000471184009252,-1.5797322218961583
93,1,exterior,93,-1.0005405317414722,-1.5806654269083258
94,1,exterior,94,-1.0171598443387804,-2.1877444446954377
95,1,exterior,95,-1.0171769029138564,-2.1879726707878357
96,1,exterior,96,-1.0173908912546343,-2.1880538319500173
97,1,exterior,97,-1.4858163110745854,-2.340835040647059
98,1,exterior,98,-1.4860268198523843,-2.3408925729294285
99,1,exterior,99,-1.4859432196893885,-2.3406909918742835
100,1,exterior,100,-1.2078130098979583,-1.7523914784690438
101,1,exterior,101,-1.2074529296344962,-1.7515273088975136
102,1,exterior,102,-1.2071752411113685,-1.7506332530107729
103,1,exterior,103,-1.2069823781208737,-1.749717146733428
104,1,exterior,104,-1.2068760310046063,-1.7487870192500394
105,1,exterior,105,-1.2068571318385104,-1.7478510226335853
106,1,exterior,106,-1.2069258462637316,-1.7469173603968744
107,1,exterior,107,-1.2070815720348578,-1.7459942155931194
108,1,exterior,108,-1.3336015235045842,-1.1636741601116538
109,1,exterior,109,-1.3338390633507378,-1.1627817139632481
110,1,exterior,110,-1.334157921310367,-1.1619149874158896
111,1,exterior,111,-1.3345553778907862,-1.1610813726529465
112,1,exterior,112,-1.3350280432432218,-1.1602879794522438
113,1,exterior,113,-1.3355718860743353,-1.1595415745478108
114,1,exterior,114,-1.3361822680285307,-1.1588485239174038
115,1,exterior,115,-1.3368539832478075,-1.158214738488014
116,1,exterior,116,-1.3375813027717611,-1.157645623722443
117,1,exterior,117,-1.7585170431694195,-0.8585471469214155
118,1,exterior,118,-1.758715615269823,-0.8583901968267076
119,1,exterior,119,-1.7588575813276432,-0.8581806500545666
120,1,exterior,120,-1.952209571420851,-0.5388003854686628
