instances,row_original,class,ih,n_wrong,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F2,feature_F3,feature_F4,algo_knn,algo_tree,algo_nb,algo_logreg,algo_svm_rbf,algo_rf
1,0,tested_positive,0.2116708396617393,0,0.3,0.823076923076923,0.2753623188405797,0.6666666666666666,0.5384615384615384,0.390201611471157,0.390201611471157,0.4639999999999999,0.7673611111111112,0.5,0.4421586351976412,0.9888059701492538,0.8245904923280436,0.0,0.9925373134328358,0.6666666666666666,0.8582453591076836,0.9629629629629632,0.8,1.0,0.7198374575536984,0.7094459284042581,0.7406915760716077,0.76
2,1,tested_negative,0.0497800373521898,0,0.0,0.7846153846153846,0.3988439306358381,1.0,0.6153846153846154,0.1170978283792011,0.1170978283792011,0.0,0.5659722222222222,0.0,0.3668757729664966,0.908,0.8125016865956098,0.0,0.96,0.6666666666666666,0.8345047561794885,0.9836065573770492,1.0,1.0,0.9786682241457476,0.9500917202847338,0.9025598314563796,0.87
3,2,tested_positive,0.2331627714030291,0,0.3,0.9230769230769232,0.6842105263157895,0.6666666666666666,0.5384615384615384,0.3228147691970402,0.3228147691970402,0.4639999999999999,0.7673611111111112,0.0,0.4787890936308787,0.9813432835820896,0.7983464228899558,0.0,0.9925373134328358,0.6666666666666666,0.7971627287626653,0.9421487603305786,0.6,1.0,0.7929204894276907,0.7608788555272086,0.8372240266269262,0.61
4,3,tested_negative,0.0288755989721397,0,0.0,0.0,0.084870848708487,0.6666666666666666,0.4615384615384615,0.113290349987688,0.113290349987688,0.0,0.5659722222222222,0.0,0.2390354939509705,0.79,0.8081889835486733,0.0,0.908,0.6666666666666666,0.8183630661251659,0.9904926534140016,1.0,1.0,0.9874103176095071,0.9544853707383438,0.9148507178193106,0.97
5,4,tested_positive,0.3418911641055177,1,0.4,0.9538461538461538,0.2753623188405797,0.6666666666666666,0.6153846153846154,0.2453668253290164,0.2453668253290164,0.4639999999999999,0.7673611111111112,0.0,0.4701871271997664,0.9850746268656716,0.6742083429619239,0.0,0.996268656716418,0.6666666666666666,0.7939441710757731,0.9230769230769232,0.6,0.0,0.9999965227489074,0.9351015311686774,0.6435549614493089,0.77
6,5,tested_negative,0.1431184142721991,0,0.3,0.7076923076923076,0.048780487804878,1.0,0.3076923076923077,0.1388457981075597,0.1388457981075597,0.0,0.5659722222222222,0.25,0.3474173188849739,0.996,0.9185402944371972,0.003731343283582,0.99,0.6666666666666666,0.8021921547177571,0.9494614747307376,0.6,1.0,0.9404879682007232,0.8480569482262835,0.8227445979397982,0.93
7,6,tested_positive,0.956049841078756,6,1.0,0.9923076923076924,0.915129151291513,0.6666666666666666,0.5384615384615384,0.8790482166928495,0.8790482166928495,0.4639999999999999,0.7673611111111112,1.0,0.6526467172473644,0.996268656716418,0.8931816490442335,0.04,1.0,0.6999843823207871,0.8378960485876081,0.9677419354838712,0.0,0.0,0.0299603458503766,0.0671467538625036,0.0765938538145837,0.09
8,7,tested_negative,0.7217065069786202,5,0.6,0.9384615384615383,0.3988439306358381,1.0,0.6153846153846154,0.6387013471861489,0.6387013471861489,0.0,0.5659722222222222,1.0,0.5661607628346703,0.998,0.8910299964402396,0.0074626865671641,1.0,0.6666666666666666,0.7538269599687734,0.9227166276346606,0.6,0.0,0.1302995130727962,0.2892840072508249,0.2801774378046586,0.37
9,8,tested_positive,0.4213895007388172,1,0.2,0.9153846153846154,0.2753623188405797,0.6666666666666666,0.6153846153846154,0.2453240990272842,0.2453240990272842,0.4639999999999999,0.7673611111111112,0.0,0.4821839472789601,0.9888059701492538,0.7138673613724603,0.0,0.996268656716418,0.6666666666666666,0.8046376474875837,0.9687235841081996,0.6,0.0,0.999178630150096,0.5550523248785258,0.6874320405384751,0.63
10,9,tested_positive,0.6901347450716746,5,0.8,0.9923076923076924,0.951219512195122,1.0,0.3076923076923077,0.8807861037515272,0.8807861037515272,0.4639999999999999,0.7673611111111112,0.0,0.4995410479062134,0.9925373134328358,0.8221038243005105,0.002,1.0,0.6666666666666666,0.7589698675297998,0.896551724137931,0.4,1.0,0.0067148353747002,0.0350757095112073,0.2174009846840453,0.2
11,10,tested_negative,0.1664130202123744,0,0.2,0.9384615384615383,0.3988439306358381,1.0,0.6153846153846154,0.2023037858808072,0.2023037858808072,0.0,0.5659722222222222,0.3333333333333333,0.4220432459558284,0.984,0.8580852956438081,0.003731343283582,0.994,0.6666666666666666,0.7742903933761256,0.9448441247002396,0.8,1.0,0.8493833402220411,0.7829732292236514,0.7691653092800603,0.8
12,11,tested_positive,0.3195701596043102,1,0.4,0.6461538461538461,0.2753623188405797,0.6666666666666666,0.4615384615384615,0.2740596166084488,0.2740596166084488,0.4639999999999999,0.7673611111111112,1.0,0.6057510663493477,0.996268656716418,0.8752763918598423,0.004,0.996268656716418,0.6666666666666666,0.77121593506754,0.8702290076335878,0.6,0.0,0.9194850815221792,0.8923043545781396,0.9007896062738204,0.77
13,12,tested_negative,0.5438109474086097,3,0.5,0.9,0.3157894736842105,0.6666666666666666,0.4615384615384615,0.7461934415020062,0.7461934415020062,0.0,0.5659722222222222,0.0,0.496178510683276,0.996,0.8025237769129098,0.0,1.0,0.6666666666666666,0.809048179981384,0.9736618521665252,0.4,1.0,0.0127279051954362,0.1644064103529049,0.5,0.66
14,13,tested_positive,0.4379341351873976,2,0.1,1.0,0.2753623188405797,0.6666666666666666,0.3846153846153846,0.2452967656518265,0.2452967656518265,0.4639999999999999,0.7673611111111112,0.0,0.3950366276300128,0.9664179104477612,0.58925572654983,0.0,0.996268656716418,0.6108374384236452,0.7952938706624438,0.97531914893617,0.8,0.0,0.999995446016057,0.4591833392528386,0.5232164036067185,0.59
15,14,tested_positive,0.3045558632255648,1,0.3,0.9230769230769232,0.6842105263157895,0.6666666666666666,0.5384615384615384,0.3691882034792609,0.3691882034792609,0.4639999999999999,0.7673611111111112,1.0,0.5838651473418863,0.996268656716418,0.8756007280116718,0.002,1.0,0.7448015122873346,0.8494219943102259,0.9526184538653368,0.4,1.0,0.7523047173103986,0.6594406132185211,0.6609194901176915,0.7
16,15,tested_positive,0.6539688716185041,5,0.7,0.9923076923076924,0.6011560693641618,1.0,0.7692307692307693,0.6178045401919612,0.6178045401919612,0.4639999999999999,0.7673611111111112,1.0,0.7475817255965944,0.996268656716418,0.9624499088817664,0.006,1.0,0.6666666666666666,0.8090098531434236,0.9924433249370276,0.4,0.0,0.5735327052443289,0.4616209870160076,0.3910330780286392,0.25
17,16,tested_positive,0.6366807349532859,4,0.6,0.946153846153846,0.6011560693641618,1.0,0.6153846153846154,0.4373419697290448,0.4373419697290448,0.4639999999999999,0.7673611111111112,0.0,0.4856727721065969,0.9888059701492538,0.881972699267544,0.002,0.996268656716418,0.6666666666666666,0.7898142562193182,0.9099307159353348,0.4,0.0,0.5150603619032036,0.3617166867522497,0.3531385416248311,0.55
18,17,tested_positive,0.7628439527625376,5,0.6,0.9538461538461538,0.6011560693641618,1.0,0.9230769230769232,0.8338314862223,0.8338314862223,0.4639999999999999,0.7673611111111112,0.3333333333333333,0.5127089502461633,0.996268656716418,0.9117185309239269,0.002,0.9925373134328358,0.6666666666666666,0.8227257506558137,0.9836909871244636,0.6,0.0,0.1080773037102996,0.2138041062999247,0.2110548734145499,0.29
19,18,tested_negative,0.2678680914054943,0,0.1,0.9384615384615383,0.3988439306358381,1.0,0.6153846153846154,0.2525910685647232,0.2525910685647232,0.0,0.5659722222222222,0.5,0.5178126523434506,0.998,0.8013681892879578,0.003731343283582,1.0,0.6860554109903565,0.7963319833605513,0.977667493796526,0.8,1.0,0.7462526755453807,0.6256923370966359,0.5208464389250178,0.7
20,19,tested_positive,0.8157319452247249,6,0.8,0.946153846153846,0.6011560693641618,1.0,0.6153846153846154,0.8217214773793619,0.8217214773793619,0.4639999999999999,0.7673611111111112,0.5,0.5373686841676891,0.996268656716418,0.8872678392566007,0.016,0.9925373134328358,0.7027027027027026,0.8387165130785595,1.0,0.2,0.0,0.1047116382377518,0.2214336972136363,0.2394629932002623,0.34
21,20,tested_negative,0.3966259041470593,2,0.6,0.9,0.084870848708487,0.6666666666666666,0.6153846153846154,0.5524901739595721,0.5524901739595721,0.0,0.5659722222222222,0.6666666666666666,0.5257177750579877,0.998,0.8575716948368106,0.0074626865671641,0.998,0.725925925925926,0.8158242956644595,0.8775055679287306,0.4,1.0,0.4592043154743446,0.5980564792001112,0.5729837804431884,0.59
22,21,tested_negative,0.3248892469134516,1,0.2,0.9538461538461538,0.3988439306358381,1.0,0.6923076923076923,0.353390652655984,0.353390652655984,0.0,0.5659722222222222,0.0,0.3660728009550532,0.982,0.846296968052279,0.0,0.992,0.6666666666666666,0.8222949505417665,0.9974683544303796,0.4,1.0,0.6550903247291731,0.6498742762041039,0.7056999175860137,0.64
23,22,tested_positive,0.0953278085461768,0,0.1,0.6461538461538461,0.2753623188405797,0.6666666666666666,0.4615384615384615,0.2516071672840692,0.2516071672840692,0.4639999999999999,0.7673611111111112,0.5,0.2615864003629701,0.9850746268656716,0.7945461436972615,0.002,0.9925373134328358,0.6666666666666666,0.7801382257286148,0.9629629629629632,0.8,1.0,0.984947979794382,0.9363895399082384,0.9566956290203183,0.75
24,23,tested_positive,0.5636698439783718,4,0.6,0.9538461538461538,0.6011560693641618,1.0,0.9230769230769232,0.7232776032888829,0.7232776032888829,0.4639999999999999,0.7673611111111112,0.0,0.4830613901520354,0.9888059701492538,0.8067792864162782,0.0,0.996268656716418,0.6666666666666666,0.8264521407970845,0.9939288811795316,0.4,1.0,0.1893353315490274,0.2674059517907493,0.2112396527899926,0.55
25,24,tested_positive,0.4896621411654426,2,0.5,0.9846153846153848,0.2753623188405797,0.6666666666666666,0.8461538461538461,0.2689917473425665,0.2689917473425665,0.4639999999999999,0.7673611111111112,0.0,0.4596935005293424,0.9888059701492538,0.8434845742550199,0.002,0.9888059701492538,0.7012987012987012,0.8139365589034959,0.9523809523809524,0.2,0.0,0.9234395656419284,0.7015120134006573,0.6170755739647588,0.62
26,25,tested_positive,0.6694780170495478,6,0.6,0.9923076923076924,0.6011560693641618,1.0,0.9230769230769232,0.5201038577089339,0.5201038577089339,0.4639999999999999,0.7673611111111112,0.6666666666666666,0.5723391556867197,0.996268656716418,0.9232548010409488,0.006,0.996268656716418,0.6907073509015257,0.8516620138771658,0.9589958158995816,0.4,0.0,0.4623701624497731,0.4472380822540653,0.3335236529988752,0.34
27,26,tested_positive,0.3052906714152602,1,0.3,0.9923076923076924,0.2753623188405797,0.6666666666666666,0.9230769230769232,0.3996202983942748,0.3996202983942748,0.4639999999999999,0.7673611111111112,0.0,0.4687693477121942,0.9850746268656716,0.8797654230319522,0.002,0.9850746268656716,0.6666666666666666,0.8064156362511836,0.9629629629629632,0.4,1.0,0.6277627698118314,0.7241385619360635,0.7863546397605439,0.63
28,27,tested_negative,0.0222380804808044,0,0.0,0.0,0.084870848708487,0.6666666666666666,0.4615384615384615,0.1134487596058529,0.1134487596058529,0.0,0.5659722222222222,0.0,0.3592376288364421,0.936,0.8459192882791673,0.0,0.914,0.6758620689655173,0.8162169441782803,0.9924433249370276,1.0,1.0,0.987325969065497,0.9540902753255835,0.9551552727240932,0.97
29,28,tested_negative,0.5986997257390514,3,0.6,0.9,0.3157894736842105,0.6666666666666666,0.4615384615384615,0.6981555772060065,0.6981555772060065,0.0,0.5659722222222222,0.0,0.42832586384711,0.996,0.7962975743063303,0.0,0.998,0.6666666666666666,0.786068557403383,0.8988235294117648,0.6,0.0,0.153219238431107,0.4512207208070865,0.623361686327498,0.58
30,29,tested_negative,0.4968064433465357,3,0.5,0.9769230769230768,0.3988439306358381,1.0,0.7692307692307693,0.261548048607287,0.261548048607287,0.0,0.5659722222222222,0.0,0.4435439447467685,0.996,0.919820507207065,0.003731343283582,0.996,0.6666666666666666,0.8011928635486864,0.91415313225058,0.4,0.0,0.7743653128993007,0.7261434967749809,0.6586525302465049,0.46
31,30,tested_negative,0.3848868646804267,2,0.4,0.8923076923076922,0.3988439306358381,1.0,0.8461538461538461,0.3312676671049405,0.3312676671049405,0.0,0.5659722222222222,0.5,0.6502718211495093,0.998,0.8968506353079189,0.003731343283582,0.998,0.6666666666666666,0.8429429872749654,0.9493975903614458,0.2,1.0,0.7524428411511828,0.576771442068748,0.6714645286975081,0.49
32,31,tested_positive,0.3515777054757204,1,0.5,0.6461538461538461,0.2753623188405797,0.6666666666666666,0.4615384615384615,0.3317201854485649,0.3317201854485649,0.4639999999999999,0.7673611111111112,0.0,0.3877533804499796,0.9813432835820896,0.8061525361612841,0.002,0.9925373134328358,0.7368421052631579,0.8408293007095893,0.9510373443983402,0.4,1.0,0.6861329025226945,0.5224520718657103,0.5619487927572726,0.72
33,32,tested_negative,0.0298436692128208,0,0.0,0.0,0.084870848708487,0.6666666666666666,0.4615384615384615,0.1113023556831132,0.1113023556831132,0.0,0.5659722222222222,0.0,0.4097618374809401,0.97,0.8751198965666838,0.0,0.906,0.6758620689655173,0.8132131120800961,0.9913043478260868,1.0,1.0,0.9890453877180804,0.9484842620849694,0.933408334920025,0.95
34,33,tested_negative,0.0305418785315404,0,0.3,0.0,0.084870848708487,0.6666666666666666,0.4615384615384615,0.1197058116499325,0.1197058116499325,0.0,0.5659722222222222,0.0,0.3967547316013357,0.992,0.8698031021734496,0.0,0.996,0.6666666666666666,0.7901162253269634,0.968058968058968,1.0,1.0,0.976489942431403,0.9618959242905648,0.9183628620887891,0.96
35,34,tested_negative,0.4729204297680763,3,0.7,0.9538461538461538,0.3988439306358381,1.0,1.0,0.4707623782331676,0.4707623782331676,0.0,0.5659722222222222,1.0,0.5878054490328686,0.998,0.882890800733445,0.0111940298507462,0.994,0.6666666666666666,0.8638522801195712,0.98989898989899,0.4,1.0,0.5269296406918992,0.5488360876815446,0.4267116930180991,0.26
36,35,tested_negative,0.1656645592784201,0,0.3,0.7076923076923076,0.048780487804878,1.0,0.3076923076923077,0.2161309510204077,0.2161309510204077,0.0,0.5659722222222222,0.0,0.3763947410839908,0.99,0.7521653666871463,0.0,0.996,0.7967479674796748,0.8965443605687808,0.977667493796526,0.8,1.0,0.854379184917937,0.855481907725582,0.8061515516859596,0.69
37,36,tested_negative,0.7485414943772832,6,0.6,0.9769230769230768,0.7246376811594203,0.6666666666666666,0.8461538461538461,0.6213859931776468,0.6213859931776468,0.0,0.5659722222222222,0.3333333333333333,0.4779061849232257,0.996,0.8771799752362651,0.0,1.0,0.6666666666666666,0.7820005835265561,0.9264349232012934,0.2,0.0,0.3407394487462742,0.3740142746306467,0.2739973103593797,0.32
38,37,tested_positive,0.4851047074850924,3,0.5,0.9076923076923076,0.6011560693641618,1.0,0.4615384615384615,0.548244144998249,0.548244144998249,0.4639999999999999,0.7673611111111112,0.5,0.5601331692379565,0.996268656716418,0.853458667486864,0.006,0.9925373134328358,0.6666666666666666,0.8707808776224528,0.98989898989899,0.2,1.0,0.5356808987313123,0.4398091563717535,0.3938816999863797,0.52
39,38,tested_positive,0.9287782745226656,6,1.0,0.9615384615384616,0.915129151291513,0.6666666666666666,0.7692307692307693,0.8434204439784528,0.8434204439784528,0.4639999999999999,0.7673611111111112,1.0,0.6041001257303691,0.996268656716418,0.8791030648303464,0.014,1.0,0.6666666666666666,0.8071408469742488,0.9586374695863747,0.0,0.0,0.0749271256153204,0.16825980696179,0.1241434202868955,0.06
40,39,tested_positive,0.3493245969251463,1,0.4,0.946153846153846,0.6011560693641618,1.0,0.6923076923076923,0.2634728938227075,0.2634728938227075,0.4639999999999999,0.7673611111111112,1.0,0.5671423517524502,0.996268656716418,0.7842472226846826,0.0,1.0,0.7792207792207793,0.8600696331018929,0.9403341288782816,1.0,0.0,0.9835704304738152,0.6030629554314353,0.6674190325438711,0.65
41,40,tested_negative,0.8342880649958644,6,0.6,0.9923076923076924,0.7246376811594203,0.6666666666666666,0.6923076923076923,0.5763283339320413,0.5763283339320413,0.0,0.5659722222222222,0.75,0.5416252693162515,0.998,0.8770476810975232,0.0149253731343283,0.998,0.7050495516753185,0.8008411713430647,0.9421487603305786,0.2,0.0,0.3068909211590415,0.2330749709522417,0.1643057179135303,0.09
42,41,tested_negative,0.7824652602831577,6,0.7,0.9846153846153848,0.7246376811594203,0.6666666666666666,0.6153846153846154,0.5683620300561276,0.5683620300561276,0.0,0.5659722222222222,0.5,0.5827266621416016,0.998,0.8989171620407019,0.0186567164179104,0.998,0.6666666666666666,0.8067587538528631,0.9629629629629632,0.2,0.0,0.3890100273533389,0.3060083959201189,0.1701900150275962,0.24
43,42,tested_negative,0.1156129425743556,0,0.4,0.7076923076923076,0.048780487804878,1.0,0.3076923076923077,0.1799129837256505,0.1799129837256505,0.0,0.5659722222222222,0.0,0.4422362561903538,0.99,0.8083176299148289,0.0,1.0,0.6666666666666666,0.8432409381263748,0.9633251833740832,0.8,1.0,0.8804535826106712,0.8792748911637699,0.9065938707794248,0.84
44,43,tested_positive,0.2479283108145082,1,0.1,0.946153846153846,0.2753623188405797,0.6666666666666666,0.5384615384615384,0.2463565227166478,0.2463565227166478,0.4639999999999999,0.7673611111111112,0.0,0.4292273615162156,0.9664179104477612,0.6981479036123499,0.0,1.0,0.6826347305389222,0.8072549359749845,0.9090909090909092,1.0,0.0,0.9945349846752992,0.9057092022297633,0.8421859482078871,0.77
45,44,tested_negative,0.7536773797053101,6,0.8,1.0,0.3157894736842105,0.6666666666666666,0.6923076923076923,0.5036023854267355,0.5036023854267355,0.0,0.5659722222222222,1.0,0.6924417026411697,0.998,0.9417834394466256,0.0111940298507462,1.0,0.6666666666666666,0.8239269318320743,0.97865072587532,0.2,0.0,0.4807590112681445,0.3563401854962947,0.2508365250036996,0.19
46,45,tested_positive,0.1482472897736029,0,0.2,0.6461538461538461,0.2753623188405797,0.6666666666666666,0.4615384615384615,0.2456383995930215,0.2456383995930215,0.4639999999999999,0.7673611111111112,0.0,0.405700443612967,0.9925373134328358,0.7511298406201611,0.0,0.9888059701492538,0.6666666666666666,0.7648984867213188,0.9268292682926828,0.6,1.0,0.9968181677919168,0.935805826712324,0.7378922668541417,0.84
