Row,selection0,selection1
1,nb,nb
2,nb,nb
3,nb,nb
4,nb,nb
5,nb,nb
6,nb,nb
7,,logreg
8,,logreg
9,nb,nb
10,tree,tree
11,nb,nb
12,nb,nb
13,,logreg
14,nb,nb
15,nb,nb
16,,logreg
17,tree,tree
18,,logreg
19,nb,nb
20,,logreg
21,,logreg
22,nb,nb
23,nb,nb
24,tree,tree
25,nb,nb
26,,logreg
27,rf,rf
28,nb,nb
29,knn,knn
30,nb,nb
31,nb,nb
32,nb,nb
33,nb,nb
34,nb,nb
35,nb,nb
36,nb,nb
37,,logreg
38,tree,tree
39,,logreg
40,nb,nb
41,,logreg
42,,logreg
43,nb,nb
44,nb,nb
45,tree,tree
46,nb,nb
47,nb,nb
48,nb,nb
49,tree,tree
50,nb,nb
51,nb,nb
52,nb,nb
53,nb,nb
54,nb,nb
55,,logreg
56,nb,nb
57,nb,nb
58,tree,tree
59,,logreg
60,nb,nb
61,nb,nb
62,,logreg
63,nb,nb
64,nb,nb
65,tree,tree
66,nb,nb
67,,logreg
68,nb,nb
69,nb,nb
70,nb,nb
71,,logreg
72,nb,nb
73,nb,nb
74,nb,nb
75,nb,nb
76,nb,nb
77,nb,nb
78,nb,nb
79,nb,nb
80,nb,nb
81,nb,nb
82,nb,nb
83,nb,nb
84,nb,nb
85,nb,nb
86,nb,nb
87,,logreg
88,nb,nb
89,nb,nb
90,nb,nb
91,nb,nb
92,nb,nb
93,nb,nb
94,,logreg
95,nb,nb
96,tree,tree
97,nb,nb
98,nb,nb
99,nb,nb
100,nb,nb
101,nb,nb
102,nb,nb
103,nb,nb
104,nb,nb
105,nb,nb
106,nb,nb
107,nb,nb
108,nb,nb
109,nb,nb
110,,logreg
111,,logreg
112,nb,nb
113,nb,nb
114,nb,nb
115,nb,nb
116,nb,nb
117,,logreg
118,nb,nb
119,nb,nb
120,nb,nb
121,nb,nb
122,nb,nb
123,nb,nb
124,nb,nb
125,,logreg
126,logreg,logreg
127,nb,nb
128,nb,nb
129,tree,tree
130,,logreg
131,nb,nb
132,nb,nb
133,nb,nb
134,nb,nb
135,nb,nb
136,nb,nb
137,nb,nb
138,nb,nb
139,nb,nb
140,nb,nb
141,nb,nb
142,nb,nb
143,nb,nb
144,,logreg
145,tree,tree
146,nb,nb
147,nb,nb
148,nb,nb
149,,logreg
150,nb,nb
151,nb,nb
152,nb,nb
153,nb,nb
154,,logreg
155,nb,nb
156,nb,nb
157,nb,nb
158,nb,nb
159,nb,nb
160,nb,nb
161,nb,nb
162,nb,nb
163,nb,nb
164,nb,nb
165,,logreg
166,,logreg
167,nb,nb
168,nb,nb
169,nb,nb
170,nb,nb
171,,logreg
172,,logreg
173,nb,nb
174,nb,nb
175,nb,nb
176,nb,nb
177,nb,nb
178,nb,nb
179,,logreg
180,logreg,logreg
181,nb,nb
182,nb,nb
183,nb,nb
184,nb,nb
185,nb,nb
186,nb,nb
187,nb,nb
188,nb,nb
189,,logreg
190,,logreg
191,nb,nb
192,tree,tree
193,tree,tree
194,nb,nb
195,nb,nb
196,nb,nb
197,nb,nb
198,,logreg
199,tree,tree
200,nb,nb
201,nb,nb
202,nb,nb
203,nb,nb
204,nb,nb
205,nb,nb
206,nb,nb
207,nb,nb
208,nb,nb
209,nb,nb
210,nb,nb
211,nb,nb
212,,logreg
213,,logreg
214,,logreg
215,,logreg
216,nb,nb
217,tree,tree
218,nb,nb
219,,logreg
220,,logreg
221,nb,nb
222,nb,nb
223,nb,nb
224,nb,nb
225,nb,nb
226,nb,nb
227,nb,nb
228,nb,nb
229,logreg,logreg
230,nb,nb
231,,logreg
232,nb,nb
233,nb,nb
234,nb,nb
235,nb,nb
236,nb,nb
237,nb,nb
238,nb,nb
239,nb,nb
240,nb,nb
241,nb,nb
242,nb,nb
243,,logreg
244,nb,nb
245,nb,nb
246,nb,nb
247,nb,nb
248,,logreg
249,,logreg
250,nb,nb
251,nb,nb
252,nb,nb
253,nb,nb
254,nb,nb
255,nb,nb
256,,logreg
257,nb,nb
258,nb,nb
259,nb,nb
260,nb,nb
261,tree,tree
262,nb,nb
263,nb,nb
264,nb,nb
265,tree,tree
266,nb,nb
267,nb,nb
268,nb,nb
269,nb,nb
270,,logreg
271,nb,nb
272,nb,nb
273,nb,nb
274,nb,nb
275,tree,tree
