feature,algorithm,rho,pval
kDN,knn,-0.7537446495144178,8.353338258050113e-142
kDN,tree,-0.4394143628732387,1.3474865930103743e-37
kDN,nb,-0.7217780296945269,1.5203003384985884e-124
kDN,logreg,-0.7883968890293502,8.53524211570478e-164
kDN,svm_rbf,-0.8130945003640295,3.593677669706737e-182
kDN,rf,-0.8465770023294392,5.579107542966124e-212
DS,knn,-0.48587595991021615,9.542819117371555e-47
DS,tree,-0.45639804713826104,8.853532367199049e-41
DS,nb,-0.5759329232769153,4.597960402092432e-69
DS,logreg,-0.6728141942707936,2.3870129797182285e-102
DS,svm_rbf,-0.640150829508116,8.855956798844078e-90
DS,rf,-0.7377628876982122,7.370964328711969e-133
DCP,knn,-0.5346463038236042,5.399420071702298e-58
DCP,tree,-0.4449984782637887,1.2674868410863424e-38
DCP,nb,-0.6478715696229737,1.3049137190358827e-92
DCP,logreg,-0.7052030572825704,1.6156483009257243e-116
DCP,svm_rbf,-0.6911134534889922,4.005842314462632e-110
DCP,rf,-0.77898761458878,1.975059725502778e-157
TD_P,knn,-0.15611908811103384,1.3856181945278668e-05
TD_P,tree,-0.050165014291668156,0.164886356437142
TD_P,nb,-0.2019008767969164,1.658019318433973e-08
TD_P,logreg,-0.2001150059663072,2.2267890848716332e-08
TD_P,svm_rbf,-0.1883349201207134,1.4570136709370836e-07
TD_P,rf,-0.18622768374685467,2.0141801608888149e-07
TD_U,knn,-0.2619070507237582,1.6375207766628793e-13
TD_U,tree,-0.3266880638364139,1.4731487789754516e-20
TD_U,nb,-0.3037105626433746,7.494040237361339e-18
TD_U,logreg,-0.36430306257107536,1.6227579513809554e-25
TD_U,svm_rbf,-0.3486633527028924,2.258693243819472e-23
TD_U,rf,-0.42958051409756937,7.789578541806878e-36
CL,knn,-0.6371611515272988,1.0519782961637924e-88
CL,tree,-0.3998297436212127,7.600037210111235e-31
CL,nb,-0.923966913301256,5.83e-322
CL,logreg,-0.8863482521998006,2.294862445791167e-258
CL,svm_rbf,-0.8314335421801208,1.1014748771051498e-197
CL,rf,-0.839248683970143,7.0800737152157864e-205
CLD,knn,-0.6371611515272988,1.0519782961637924e-88
CLD,tree,-0.3998297436212127,7.600037210111235e-31
CLD,nb,-0.923966913301256,5.83e-322
CLD,logreg,-0.8863482521998006,2.294862445791167e-258
CLD,svm_rbf,-0.8314335421801208,1.1014748771051498e-197
CLD,rf,-0.839248683970143,7.0800737152157864e-205
MV,knn,-0.35257197932092066,6.75008011872791e-24
MV,tree,-0.19526612728718024,4.893006021053989e-08
MV,nb,-0.2910462533687991,1.8500308011914416e-16
MV,logreg,-0.3912581029129697,1.6873730899442967e-29
MV,svm_rbf,-0.3864767723053669,9.145328320789466e-29
MV,rf,-0.41818913753972864,7.266129282620175e-34
CB,knn,-0.35257197932092066,6.75008011872791e-24
CB,tree,-0.1952661272871804,4.893006021053882e-08
CB,nb,-0.2910462533687991,1.8500308011914416e-16
