feature,status,rho,rho_algo,pval,n_algos_sig,cluster,kept_instead
kDN,dropped_redundancy,-0.8465770023294392,rf,5.579107542966124e-212,6,3,CL
DS,dropped_redundancy,-0.7377628876982122,rf,7.370964328711969e-133,6,3,CL
DCP,dropped_redundancy,-0.77898761458878,rf,1.975059725502778e-157,6,3,CL
TD_P,kept,-0.2019008767969164,nb,1.658019318433973e-08,5,1,
TD_U,kept,-0.42958051409756937,rf,7.789578541806878e-36,6,6,
CL,kept,-0.923966913301256,nb,5.83e-322,6,3,
CLD,dropped_redundancy,-0.923966913301256,nb,5.83e-322,6,3,CL
MV,kept,-0.41818913753972864,rf,7.266129282620175e-34,6,2,
CB,dropped_redundancy,-0.41818913753972864,rf,7.266129282620175e-34,6,2,MV
N1,dropped_redundancy,-0.5978963536886441,rf,1.2665485462018142e-75,6,4,LSR
N2,dropped_redundancy,-0.6962048529542172,rf,2.1626978827917364e-112,6,4,LSR
LSC,dropped_redundancy,-0.6657428292864801,rf,1.7156802467218701e-99,6,4,LSR
LSR,kept,-0.250011321407436,knn,2.0778547707096565e-12,6,4,
Harmfulness,dropped_redundancy,-0.6371192036136262,rf,1.088935494708287e-88,6,4,LSR
Usefulness,dropped_redundancy,-0.7265212077977896,rf,5.977709257142021e-127,6,3,CL
F2,dropped_redundancy,-0.13398686683246777,logreg,0.00019616209158577382,1,5,F4
F3,dropped_redundancy,-0.12855947604020318,logreg,0.00035457245082038666,1,5,F4
F4,kept,0.1165649338399877,rf,0.0012116718898779082,3,5,
