k,silhouette,used,best
3,0.3267046914224465,False,True
4,0.324416485371563,False,False
5,0.31626224991760993,False,False
6,0.25529826657959226,True,False
7,0.3215835746871973,False,False
8,0.18887394211823794,False,False
9,0.2937574953095815,False,False
10,0.2047259436757487,False,False
11,0.20429129046985078,False,False
12,0.19909751280078128,False,False
13,0.1951436832805172,False,False
14,0.166400544977515,False,False
15,0.23140899183293595,False,False
16,0.2222222222222222,False,False
17,0.1111111111111111,False,False
