Row,knn,tree,nb,logreg,svm_rbf,rf
1,False,True,True,True,True,True
2,True,True,True,False,True,True
3,False,True,False,True,False,True
4,False,True,False,True,False,False
5,False,False,True,True,False,False
6,False,False,True,True,False,True
7,False,False,True,True,True,True
8,False,False,True,True,True,False
9,True,False,False,False,False,False
10,True,True,False,True,True,True
11,False,False,False,False,False,False
12,True,True,True,True,True,True
13,False,True,True,True,False,False
14,False,False,True,True,False,False
15,False,False,False,True,False,False
16,False,True,False,True,True,False
17,False,False,True,True,False,False
18,True,True,False,False,False,True
19,False,False,False,False,True,True
20,True,True,True,True,True,True
21,False,True,False,False,False,True
22,True,True,False,False,False,False
23,False,False,True,True,False,False
24,True,False,True,True,True,True
25,False,True,False,True,False,False
26,True,False,True,True,False,True
27,False,False,False,True,True,True
28,False,False,False,True,False,True
29,False,True,True,False,True,False
30,False,False,False,False,False,True
31,True,True,True,True,True,True
32,True,True,False,False,True,True
33,True,True,False,True,False,True
34,True,False,False,False,True,True
35,False,False,False,False,False,False
36,False,True,True,True,True,False
37,False,True,False,False,True,True
38,True,False,False,True,False,True
39,False,True,True,True,False,True
40,True,False,False,False,False,True
41,True,True,True,True,True,True
42,False,True,True,True,False,False
43,False,False,False,False,False,False
44,True,False,True,True,True,False
45,True,True,True,True,True,True
46,True,True,True,True,True,True
47,False,True,True,True,True,True
48,True,True,True,True,True,True
49,True,True,True,True,True,True
50,False,False,True,True,True,False
51,False,False,True,True,True,False
52,False,False,False,False,False,True
53,False,False,True,False,True,False
54,True,True,False,True,True,True
55,True,True,True,True,False,True
56,True,True,True,True,True,True
57,True,True,False,False,False,True
58,False,True,False,False,True,False
59,False,False,True,True,True,False
60,True,True,False,True,True,True
61,False,True,True,False,True,False
62,False,True,True,False,True,False
63,True,False,True,True,False,False
64,False,True,False,True,True,False
65,True,True,True,True,True,True
66,False,False,True,True,True,False
67,False,True,False,True,False,True
68,True,True,True,True,True,False
69,True,True,True,True,True,True
70,True,True,True,False,True,True
71,True,True,False,False,True,True
72,True,True,False,True,False,True
73,True,False,False,True,False,False
74,True,False,True,True,True,True
75,True,True,False,True,True,True
76,True,True,False,True,True,True
77,False,False,False,True,True,False
78,True,True,True,True,True,False
79,True,False,True,False,True,True
80,False,True,False,False,False,True
81,False,False,True,True,True,False
82,False,True,False,False,False,False
83,True,True,True,True,True,True
84,True,True,True,True,True,True
85,False,True,True,True,True,True
86,False,True,False,False,True,True
87,True,True,True,True,True,True
88,True,True,False,False,False,True
89,False,False,False,False,False,False
90,False,False,False,True,False,False
91,False,False,False,True,True,False
92,True,True,False,False,False,True
93,True,False,True,True,True,True
94,True,True,False,False,True,True
95,False,True,False,False,True,False
96,True,False,True,True,True,True
97,True,True,False,False,True,False
98,True,True,True,True,False,True
99,True,True,True,True,True,True
100,True,True,True,True,False,True
101,False,False,True,True,True,True
102,False,False,False,False,False,True
103,True,False,False,True,False,True
104,True,True,True,True,True,True
105,False,False,False,True,False,True
106,False,False,True,True,True,False
107,True,True,True,True,True,True
108,True,False,True,True,True,False
109,True,False,False,True,False,True
110,False,True,False,False,True,False
111,False,False,True,True,False,True
112,False,False,True,True,True,False
113,True,False,False,False,False,True
114,False,False,False,False,True,False
115,False,False,False,False,False,False
116,False,True,True,True,True,False
117,True,True,False,False,False,True
118,False,False,True,True,False,False
119,True,False,False,False,True,True
120,True,False,False,False,False,False
121,True,False,True,False,True,True
122,False,False,True,True,True,False
123,False,False,False,False,True,False
124,False,False,False,False,True,False
125,True,True,False,True,False,True
126,False,True,True,True,True,False
127,False,False,False,True,False,True
128,True,True,False,True,True,True
129,False,True,True,False,True,False
130,True,True,False,True,True,True
131,False,True,True,True,False,False
132,True,False,True,True,False,True
133,False,False,False,False,False,False
134,False,False,False,False,True,False
135,True,True,False,False,False,True
136,True,True,True,False,True,True
137,True,True,False,False,False,True
138,True,False,True,True,True,False
139,False,False,True,True,False,False
140,True,False,True,True,True,True
141,False,True,True,True,True,False
142,True,False,True,True,True,True
143,False,False,False,True,False,False
144,False,True,True,True,False,True
145,True,False,True,True,True,True
146,True,False,False,False,False,True
147,False,False,True,True,True,True
148,False,False,True,False,True,False
149,True,True,True,True,False,True
150,False,True,True,True,False,True
151,True,True,True,True,True,True
152,True,False,True,True,True,True
153,False,True,True,True,True,True
154,False,False,True,True,True,False
155,True,True,True,True,True,True
156,True,False,False,True,True,True
157,False,False,True,True,False,True
158,False,True,True,True,True,False
159,False,True,True,True,False,True
160,True,False,False,True,True,True
161,True,False,False,False,False,False
162,False,False,False,True,False,False
163,True,True,False,True,False,True
164,True,True,False,True,True,True
165,False,False,False,True,False,False
166,True,True,True,True,False,False
167,True,True,True,True,True,True
168,False,True,True,True,False,False
169,True,True,False,True,True,True
170,False,False,True,False,True,True
171,False,False,False,False,False,False
172,True,False,False,True,False,False
173,False,False,True,True,True,False
174,True,True,True,True,False,True
175,True,True,True,False,True,True
176,True,True,False,True,False,True
177,True,True,False,True,True,True
178,False,False,True,True,True,False
179,False,False,False,True,False,False
180,True,False,False,False,False,True
181,True,False,False,True,True,True
182,False,False,True,True,True,False
183,True,True,False,True,False,True
184,True,False,True,True,False,True
185,True,False,True,True,True,True
186,False,False,False,True,True,False
187,False,False,True,True,True,False
188,True,True,False,False,True,True
189,True,False,False,False,False,False
190,False,False,False,False,False,False
191,True,True,True,True,False,True
192,True,False,True,True,True,False
193,False,True,False,True,True,True
194,False,False,False,True,True,False
195,True,True,True,True,True,True
196,False,True,True,True,True,False
197,False,True,False,True,True,False
198,False,True,True,True,True,True
199,False,False,True,True,True,False
200,True,False,True,True,False,True
201,False,False,False,False,False,False
202,False,True,True,False,True,False
203,True,True,False,True,False,True
204,False,True,True,True,True,False
205,False,True,True,True,True,False
206,True,True,False,True,False,True
207,False,True,True,True,True,True
208,True,False,True,True,True,True
209,True,True,True,True,True,True
210,False,False,False,True,False,True
211,True,True,True,True,True,True
212,True,True,True,True,True,True
213,False,True,False,True,False,False
214,True,False,True,True,True,False
215,False,False,True,True,True,False
216,True,False,True,True,True,True
217,True,True,False,False,True,True
218,False,False,False,True,True,False
219,False,True,False,False,False,True
220,False,False,False,False,False,False
221,True,True,False,True,True,False
222,True,True,True,False,True,False
223,False,False,False,False,False,False
224,True,True,True,True,True,True
225,True,False,False,False,False,True
226,False,False,True,True,True,False
227,True,False,False,True,False,False
228,True,False,False,True,False,True
229,False,True,False,False,True,True
230,True,True,False,True,False,False
231,False,False,False,True,False,False
232,False,False,False,False,False,False
233,False,False,False,False,False,True
234,True,True,False,False,True,True
235,False,False,False,True,False,False
236,True,False,False,False,False,True
237,True,True,False,True,True,True
238,False,False,False,False,True,False
239,True,True,False,True,False,True
240,False,False,False,True,False,True
241,False,True,False,False,False,False
242,True,True,False,False,True,True
243,True,False,True,True,True,True
244,True,True,False,True,True,True
245,True,False,False,True,False,False
246,False,False,False,False,False,False
247,False,True,False,False,True,True
248,False,False,False,False,False,False
249,False,False,False,False,True,False
250,True,True,True,True,True,True
251,True,False,True,True,True,True
252,False,False,True,True,True,False
253,False,False,True,False,True,False
254,False,True,True,True,True,True
255,False,False,True,True,False,True
256,False,False,True,False,True,False
257,True,True,False,True,True,True
258,False,False,False,True,True,True
259,True,True,False,False,True,False
260,False,True,True,True,True,True
261,True,True,False,False,False,True
262,False,False,False,False,False,False
263,True,True,True,True,True,True
264,True,False,False,True,False,True
265,False,True,False,True,False,True
266,True,True,False,False,False,True
267,True,True,False,False,True,True
268,False,False,False,False,False,False
269,True,True,False,True,False,True
270,True,True,True,True,True,True
271,False,True,False,False,True,False
272,False,False,False,True,False,False
273,True,False,True,True,False,True
274,True,False,True,True,False,False
275,True,False,True,True,True,False
276,True,False,True,True,False,False
277,True,False,True,True,True,False
278,True,True,False,True,True,True
279,False,False,False,False,False,False
280,True,True,True,True,True,True
281,True,True,False,True,False,True
282,False,True,True,True,True,True
283,True,True,True,True,True,True
284,False,True,True,True,True,True
285,False,False,True,False,True,False
286,True,False,True,False,True,True
287,True,True,False,True,True,True
288,False,False,False,False,False,False
289,True,True,True,True,False,True
290,False,True,True,True,True,False
291,False,False,False,True,True,False
292,False,False,True,True,True,False
293,False,True,False,False,False,False
294,True,True,True,True,False,True
295,False,True,True,True,False,False
296,True,True,False,False,True,True
297,True,False,True,True,True,False
298,False,False,True,True,True,False
299,True,True,True,True,True,True
300,True,True,True,True,True,False
301,True,False,False,False,False,True
302,False,False,True,False,True,False
303,True,True,True,True,True,True
304,False,False,False,True,False,True
305,True,False,True,True,True,False
306,True,False,False,True,True,True
307,False,False,True,True,False,True
308,True,True,False,False,False,True
309,True,True,False,False,False,True
310,False,False,False,False,True,True
311,False,False,False,True,False,False
312,True,True,False,False,True,False
313,True,True,False,False,True,True
314,False,False,True,True,False,False
315,True,True,False,True,False,True
316,True,True,True,False,True,True
317,False,False,True,True,True,False
318,True,True,False,False,False,True
319,True,True,True,True,False,True
320,True,False,True,True,False,True
321,False,False,False,False,False,False
322,False,False,False,True,False,False
323,False,False,True,True,True,False
324,False,True,True,True,True,False
325,False,True,False,False,True,False
326,True,False,False,True,True,True
327,False,False,False,False,True,False
328,False,False,True,True,True,False
329,False,False,True,False,True,False
330,True,False,False,True,False,False
331,False,False,True,True,True,False
332,True,False,False,False,False,False
333,True,False,True,True,True,True
334,False,False,False,True,False,False
335,True,True,False,True,False,True
336,False,False,True,True,True,False
337,False,False,True,False,True,False
338,True,False,False,True,True,True
339,False,False,True,True,True,False
340,True,False,False,True,False,True
341,False,False,False,True,False,False
342,False,False,True,True,True,False
343,False,True,True,False,True,False
344,True,True,True,True,True,True
345,True,True,False,False,False,True
346,True,True,False,True,True,True
347,False,True,True,True,False,True
348,True,False,False,False,True,True
349,True,False,False,False,False,True
350,False,False,False,False,True,False
351,True,False,False,True,False,True
352,False,False,False,True,True,False
353,False,False,True,False,True,False
354,False,True,False,False,True,True
355,True,True,False,False,True,True
356,True,True,True,True,True,True
357,True,True,True,True,True,True
358,False,False,False,False,False,True
359,True,True,False,True,True,True
360,False,False,True,True,False,False
361,True,True,True,True,True,True
362,False,False,False,False,False,False
363,True,False,False,False,False,False
364,False,False,True,True,True,False
365,False,True,True,True,True,True
366,True,True,True,True,True,True
367,False,True,False,True,True,False
368,True,True,True,True,True,True
369,True,False,False,True,True,False
370,False,False,False,True,False,True
371,True,True,False,True,False,True
372,True,True,True,True,True,True
373,False,False,True,True,True,False
374,False,False,False,False,False,False
375,False,False,False,False,False,False
376,False,True,True,True,True,True
377,False,True,False,True,False,False
378,True,True,True,True,True,True
379,True,False,True,True,True,True
380,False,False,False,False,True,False
381,False,True,True,True,True,False
382,True,False,False,True,False,True
383,False,False,True,True,False,False
384,False,False,True,True,True,False
385,True,False,False,True,True,True
386,True,True,True,False,False,True
387,False,True,False,False,True,True
388,False,False,True,True,True,True
389,False,True,True,True,True,True
390,True,True,True,True,True,True
391,False,True,True,True,True,False
392,True,True,True,True,True,True
393,False,True,True,True,True,False
394,True,True,True,True,True,True
395,False,False,True,True,True,False
396,False,True,True,True,True,True
397,True,True,False,False,True,True
398,False,True,False,True,False,True
399,False,True,True,True,True,False
400,True,True,True,True,True,True
401,False,False,True,True,True,False
402,True,True,False,True,True,True
403,True,True,True,True,True,True
404,True,True,False,False,True,False
405,True,False,False,True,True,True
406,True,False,True,True,True,True
407,True,True,True,True,True,True
408,True,True,False,False,False,True
409,False,False,False,False,False,False
410,False,True,False,False,False,True
411,False,False,True,True,True,False
412,False,False,True,True,True,False
413,False,False,True,False,True,False
414,False,False,False,True,False,False
415,False,False,True,True,True,True
416,True,True,False,True,False,True
417,False,True,False,True,True,False
418,False,False,False,True,False,False
419,False,False,False,False,True,True
420,True,True,False,True,True,True
421,True,True,False,True,False,True
422,False,False,True,False,True,False
423,True,True,False,False,False,True
424,True,True,True,False,True,False
425,True,False,True,True,True,False
426,True,False,True,True,False,True
427,True,True,False,True,True,True
428,False,False,False,False,False,False
429,True,False,False,False,False,True
430,False,True,True,True,True,False
431,True,True,False,False,True,True
432,False,False,True,True,False,False
433,False,False,False,True,True,True
434,False,False,True,True,True,False
435,False,True,True,True,True,False
436,False,True,True,True,False,True
437,False,False,True,True,True,False
438,True,True,True,True,False,True
439,True,True,True,True,True,True
440,True,True,False,False,False,True
441,False,True,False,True,True,True
442,False,True,False,True,False,False
443,False,False,True,True,False,False
444,False,True,False,False,False,False
445,True,True,False,True,False,True
446,True,True,True,True,True,True
447,False,False,False,True,False,False
448,False,True,False,True,True,True
449,True,False,False,False,True,False
450,False,False,True,True,True,True
451,True,True,False,True,False,True
452,False,True,False,True,True,True
453,True,False,True,True,True,True
454,True,True,True,True,False,True
455,True,True,False,False,True,False
456,False,True,False,True,True,False
457,True,False,False,True,True,False
458,True,True,False,False,True,True
459,True,True,False,True,True,True
460,True,True,False,True,True,True
461,True,False,True,True,True,True
462,True,False,True,True,True,False
463,False,True,False,True,True,True
464,True,False,False,True,False,False
465,False,False,True,True,True,True
466,False,True,False,False,True,False
467,True,True,False,True,True,True
468,True,False,False,True,True,False
469,True,True,False,False,True,False
470,False,False,True,True,True,False
471,False,False,False,True,True,False
472,False,False,False,True,True,False
473,True,False,True,True,True,True
474,True,True,False,True,False,True
475,True,False,False,False,False,True
476,False,False,False,False,False,True
