Row,knn,tree,nb,logreg,svm_rbf,rf
1,True,True,True,True,True,True
2,True,True,True,False,True,True
3,True,True,False,True,True,True
4,False,False,False,True,False,False
5,True,True,True,True,True,True
6,True,True,True,True,True,True
7,True,True,True,True,True,True
8,False,False,True,True,True,False
9,False,False,False,False,True,False
10,True,True,False,True,True,True
11,False,False,False,False,True,False
12,True,True,True,True,True,True
13,False,False,True,True,True,False
14,False,False,True,True,True,False
15,False,False,False,True,True,False
16,False,False,False,True,True,False
17,True,True,True,True,False,True
18,True,True,False,False,False,True
19,False,True,False,False,True,True
20,True,True,True,True,True,True
21,False,False,False,False,False,False
22,False,False,False,False,True,False
23,False,True,True,True,True,True
24,True,True,True,True,True,True
25,False,False,False,True,False,False
26,True,True,True,True,True,True
27,False,False,False,True,True,False
28,False,False,False,True,True,False
29,True,True,True,False,True,True
30,False,False,False,False,True,False
31,True,True,True,True,True,True
32,True,True,False,False,True,True
33,False,False,False,True,True,False
34,False,True,False,False,True,True
35,False,False,False,False,False,False
36,True,True,True,True,True,True
37,False,False,False,False,True,False
38,True,False,False,True,True,True
39,True,True,True,True,True,True
40,True,True,False,False,True,True
41,True,True,True,True,True,True
42,True,True,True,True,True,True
43,False,False,False,False,True,False
44,False,False,True,True,True,False
45,True,True,True,True,True,True
46,True,True,True,True,True,True
47,False,True,True,True,True,True
48,False,False,True,True,True,False
49,True,True,True,True,True,True
50,True,True,True,True,True,True
51,False,False,True,True,True,False
52,False,False,False,False,True,False
53,False,True,False,False,True,True
54,False,True,False,True,True,True
55,True,True,True,True,True,True
56,True,True,True,True,True,True
57,True,True,True,False,True,True
58,True,True,False,False,True,True
59,True,True,True,True,True,True
60,True,True,False,True,True,True
61,False,False,True,False,True,False
62,False,False,True,False,True,False
63,True,True,True,True,False,True
64,False,False,False,True,True,False
65,True,True,True,True,True,True
66,False,False,True,True,True,False
67,True,True,False,False,True,True
68,True,True,True,True,True,True
69,True,True,True,True,True,True
70,True,True,True,False,True,True
71,True,True,False,False,True,True
72,True,True,False,True,True,True
73,False,False,False,True,True,False
74,True,True,True,True,True,True
75,True,True,False,True,True,True
76,True,True,False,True,True,True
77,False,False,False,True,True,False
78,True,True,True,True,True,True
79,True,True,True,True,True,True
80,True,True,False,True,True,True
81,True,True,True,True,True,True
82,False,True,False,False,True,True
83,True,True,True,True,True,True
84,True,True,True,True,True,True
85,False,False,True,True,True,False
86,False,False,False,False,True,False
87,True,True,True,True,True,True
88,True,True,False,False,True,True
89,True,True,False,False,False,True
90,False,False,False,True,True,False
91,True,True,False,True,True,True
92,True,True,False,False,True,True
93,True,True,True,True,True,True
94,True,True,False,False,True,True
95,False,False,False,False,True,False
96,True,True,True,True,True,True
97,False,True,False,False,True,True
98,True,True,True,True,True,True
99,True,True,True,True,True,True
100,True,True,True,True,False,True
101,True,True,True,True,True,True
102,True,True,False,False,False,True
103,True,True,False,True,True,True
104,True,True,True,True,True,True
105,True,True,False,True,True,True
106,False,True,True,True,True,True
107,True,True,True,True,True,True
108,True,True,True,True,True,True
109,False,False,False,True,True,False
110,False,False,False,False,True,False
111,True,True,True,True,False,True
