Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-1.3383910960478385,0.4191338542349164
2,1,exterior,2,-1.338348013995268,0.4189736802754195
3,1,exterior,3,-1.2223890281684915,-0.11511240542929674
4,1,exterior,4,-1.2221278465125098,-0.11607907584694217
5,1,exterior,5,-1.221771299753969,-0.11701477984006503
6,1,exterior,6,-1.2213229628715303,-0.11791013540832689
7,1,exterior,7,-1.2207873311936464,-0.1187561651119539
8,1,exterior,8,-1.2201697753253584,-0.11954438608561252
9,1,exterior,9,-1.2194764872989845,-0.12026689509334784
10,1,exterior,10,-1.2187144184886192,-0.12091644777176623
11,1,exterior,11,-1.2178912099109613,-0.12148653126691653
12,1,exterior,12,-1.2170151156113191,-0.12197142953656345
13,1,exterior,13,-1.2160949199029756,-0.12236628066308844
14,1,exterior,14,-1.2151398492897292,-0.12266712560236012
15,1,exterior,15,-1.2141594799547348,-0.12287094787978528
16,1,exterior,16,-1.2131636417432214,-0.12297570383552078
17,1,exterior,17,-1.212162319601824,-0.12298034311558784
18,1,exterior,18,-1.2111655534627632,-0.12288481920343047
19,1,exterior,19,0.7756029971608731,0.1685104437660751
20,1,exterior,20,0.7758311086687709,0.16853310200800473
21,1,exterior,21,0.7760260867176685,0.1684125540241531
22,1,exterior,22,1.3128260027716945,-0.1991203445347988
23,1,exterior,23,1.3130013510512641,-0.19925324875697004
24,1,exterior,24,1.3127963932644968,-0.19933326661161607
25,1,exterior,25,1.0690064911541475,-0.2812098218780427
26,1,exterior,26,1.068138289626218,-0.2815471661975012
27,1,exterior,27,1.0673052416558886,-0.2819638269253123
28,1,exterior,28,1.066514574559779,-0.28245618921682103
29,1,exterior,29,1.0657731479686046,-0.28301998145946833
30,1,exterior,30,1.0650873943147285,-0.2836503123322372
31,1,exterior,31,1.0644632630259825,-0.2843417132415353
32,1,exterior,32,1.0639061689099127,-0.2850881857653501
33,1,exterior,33,1.063420945176259,-0.2858832536940638
34,1,exterior,34,0.8020750906390747,-0.7627263335105743
35,1,exterior,35,0.8016698851251995,-0.7635540053568195
36,1,exterior,36,0.8013425922708316,-0.7644154643407656
37,1,exterior,37,0.8010959915522571,-0.7653033946753867
38,1,exterior,38,0.8009321771821678,-0.7662102557704249
39,1,exterior,39,0.800852540324932,-0.7671283462695105
40,1,exterior,40,0.7578892843456491,-1.829153338957627
41,1,exterior,41,0.757867634429564,-1.8293938160342358
42,1,exterior,42,0.7576816220111006,-1.829547755384039
43,1,exterior,43,0.39520939165025115,-2.100539008155761
44,1,exterior,44,0.3950140988111239,-2.100670574813348
45,1,exterior,45,0.3948471454683582,-2.1005045156078133
46,1,exterior,46,-0.16837562016265348,-1.4823777830181217
47,1,exterior,47,-0.1690737339813953,-1.481683573221872
48,1,exterior,48,-0.16983672827951057,-1.481061375627718
49,1,exterior,49,-0.1706572074284598,-1.480517221135623
50,1,exterior,50,-0.17152721860470935,-1.4800563841814534
51,1,exterior,51,-0.17243832887566635,-1.479683331612391
52,1,exterior,52,-0.1733817069392632,-1.4794016793902238
53,1,exterior,53,-0.1743482087248981,-1.4792141575421847
54,1,exterior,54,-0.17532846602601046,-1.479122583699067
55,1,exterior,55,-0.1763129773051837,-1.479127845477107
56,1,exterior,56,-0.1772921997916111,-1.4792298918744096
57,1,exterior,57,-0.17825664197823285,-1.4794277337653015
58,1,exterior,58,-0.1791969556219786,-1.4797194534878315
59,1,exterior,59,-1.0913294623097198,-1.8127437864635303
60,1,exterior,60,-1.091550128419432,-1.8128123339961646
61,1,exterior,61,-1.091598319003558,-1.8125863473509678
62,1,exterior,62,-1.2513514058930584,-0.8302811297561099
63,1,exterior,63,-1.2513794307931105,-0.8300272609400942
64,1,exterior,64,-1.2513813207190239,-0.8297718569484519
65,1,exterior,65,-1.2205439713748127,-0.12735531124069382
66,1,exterior,66,-1.2205505187655135,-0.1263482573151316
67,1,exterior,67,-1.2206583222044618,-0.12534696869746625
68,1,exterior,68,-1.2208662883486652,-0.12436160046163743
69,1,exterior,69,-1.2211723080044967,-0.12340214621699623
70,1,exterior,70,-1.2215732775191461,-0.12247833675307142
71,1,exterior,71,-1.222065130257882,-0.1215995413498556
72,1,exterior,72,-1.3348788693932159,0.05809066698613687
73,1,exterior,73,-1.3349906155867626,0.05828826031214707
74,1,exterior,74,-1.3350031740460764,0.058514915599656984
75,1,exterior,75,-1.3383976521360763,0.4189681171592105
