Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,0.9935344413802363,0.08240517561007182
2,1,exterior,2,0.9937074447126405,0.0822754734664643
3,1,exterior,3,1.3336403343816843,-0.1996949411670734
4,1,exterior,4,1.3338058603678837,-0.1998464897803767
5,1,exterior,5,1.3335948368627082,-0.19992287639284997
6,1,exterior,6,1.0655355813065122,-0.2823821712333924
7,1,exterior,7,1.0653089328614052,-0.2824398425259922
8,1,exterior,8,1.0652525447921457,-0.28221287142363666
9,1,exterior,9,0.9935657040017092,0.0821912236351386
10,2,exterior,1,-1.341487615730373,0.9756535015779382
11,2,exterior,2,-1.341437380784454,0.9758705956940842
12,2,exterior,3,-1.1920682154917623,1.5113205632897724
13,2,exterior,4,-1.1919927620206143,1.511546656445647
14,2,exterior,5,-1.1917620067317147,1.5114869627434029
15,2,exterior,6,-0.3566591355656416,1.2502283581646534
16,2,exterior,7,-0.35574447301806783,1.249989039790257
17,2,exterior,8,-0.3548112973420289,1.249837171367249
18,2,exterior,9,-0.35386795001628535,1.249774110418395
19,2,exterior,10,-0.3529228634420279,1.2498004206334472
20,2,exterior,11,-0.3519844855672566,1.249915866830429
21,2,exterior,12,-0.351061204372191,1.250119417057882
22,2,exterior,13,-0.3501612728907202,1.2504092518192815
23,2,exterior,14,-0.34929273543811235,1.2507827803371692
24,2,exterior,15,-0.3484633557044206,1.251236663711616
25,2,exterior,16,0.3745446064646174,1.6925539178116518
26,2,exterior,17,0.37532503334640493,1.693082316650601
27,2,exterior,18,0.37605224878483423,1.6936818407593155
28,2,exterior,19,0.3767197931327797,1.6943471647362964
29,2,exterior,20,0.3773217367843771,1.6950723786986008
30,2,exterior,21,0.37785273284601917,1.6958510407776441
31,2,exterior,22,0.3783080646312854,1.6966762343404802
32,2,exterior,23,0.3786836875579208,1.697540629428276
33,2,exterior,24,0.3789762650747053,1.6984365478662444
34,2,exterior,25,0.37918319829908576,1.6993560314666785
35,2,exterior,26,0.37930264910230777,1.7002909127192605
36,2,exterior,27,0.3793335564369886,1.7012328873407248
37,2,exterior,28,0.37927564576209793,1.7021735880394346
38,2,exterior,29,0.37646254753026864,1.7279689499279423
39,2,exterior,30,0.37645609094777316,1.7280778641222303
40,2,exterior,31,0.37648160355147003,1.7279717835103
41,2,exterior,32,0.37863866313851846,1.7165468701204738
42,2,exterior,33,0.37871574739848995,1.7159302334578754
43,2,exterior,34,0.37981267855099354,1.6982942328598916
44,2,exterior,35,0.3799175397738654,1.6973441713706912
45,2,exterior,36,0.3801126280312981,1.696408461329527
46,2,exterior,37,0.3803961609721773,1.6954956515022572
47,2,exterior,38,0.38076554820352015,1.694614081435476
48,2,exterior,39,0.38121741495663436,1.693771805265355
49,2,exterior,40,0.709116997069174,1.147020274032599
50,2,exterior,41,0.7092257398347099,1.1468183283730822
51,2,exterior,42,0.7092539210527682,1.1465911950974395
52,2,exterior,43,0.7602027336544861,0.49116124677330547
53,2,exterior,44,0.7602097766547258,0.4909277405904026
54,2,exterior,45,0.7600898800631125,0.49072724233947523
55,2,exterior,46,0.029095520113671586,-0.6096590720616454
56,2,exterior,47,0.02895139257040905,-0.6098538306506013
57,2,exterior,48,0.028737222156673035,-0.6097405403572035
58,2,exterior,49,-1.1862023077046047,0.11404517167263563
59,2,exterior,50,-1.1863964840033148,0.11417372671577164
60,2,exterior,51,-1.1864485855843339,0.11440069865093587
61,2,exterior,52,-1.3414579841346705,0.9754321967027567
