Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,1.6441618819966342,-0.21958322685091491
2,1,exterior,2,1.6442237153374406,-0.2198061977289023
3,1,exterior,3,1.7677018292553415,-0.7618049082642813
4,1,exterior,4,1.767743078369076,-0.7620396631408178
5,1,exterior,5,1.767511724090729,-0.7620969914875005
6,1,exterior,6,0.908715326817794,-0.929791988214539
7,1,exterior,7,0.907797002171971,-0.9300168452916614
8,1,exterior,8,0.9069040172967142,-0.930327423579409
9,1,exterior,9,0.9060443544129082,-0.9307209468779112
10,1,exterior,10,0.905225697882534,-0.931193897557722
11,1,exterior,11,0.9044553655196281,-0.9317420480032365
12,1,exterior,12,0.9037402431777428,-0.9323604984025367
13,1,exterior,13,0.9030867231986197,-0.9330437205458727
14,1,exterior,14,0.9025006472722701,-0.9337856072412725
15,1,exterior,15,0.9019872542192262,-0.9345795269055609
16,1,exterior,16,0.47309680132269866,-1.6720955463597582
17,1,exterior,17,0.4729686276616337,-1.672292871795532
18,1,exterior,18,0.47276048698143086,-1.6721831299519272
19,1,exterior,19,-0.07770892948883312,-1.3462881419262063
20,1,exterior,20,-0.07791815132039137,-1.3461494680285715
21,1,exterior,21,-0.0780555352454173,-1.3459393968934035
22,1,exterior,22,-0.4060233000815987,-0.7841115868454145
23,1,exterior,23,-0.9293897112299913,0.12520086936863645
24,1,exterior,24,-0.9299286185039137,0.1260378554091816
25,1,exterior,25,-0.9305480720176367,0.12681711404807533
26,1,exterior,26,-0.9312419331932289,0.12753092309183967
27,1,exterior,27,-0.932003326097621,0.12817220893067838
28,1,exterior,28,-0.9328247055808123,0.12873461663559244
29,1,exterior,29,-0.9336979320457914,0.12921257293360938
30,1,exterior,30,-0.9346143521092327,0.12960134143706142
31,1,exterior,31,-0.9355648843536406,0.12989706957960961
32,1,exterior,32,-0.9365401093211717,0.13009682679389217
33,1,exterior,33,-0.9375303628573239,0.13019863355247052
34,1,exterior,34,-0.9385258318794868,0.13020148098428752
35,1,exterior,35,-0.9395166516213218,0.13010534087224213
36,1,exterior,36,-0.9404930033893091,0.1299111659328131
37,1,exterior,37,-0.941445211862729,0.12962088037495467
38,1,exterior,38,-0.9423638409728675,0.1292373608318278
39,1,exterior,39,-0.9432397874113122,0.12876440785432364
40,1,exterior,40,-0.9440643708407064,0.1282067082488706
41,1,exterior,41,-0.9448294199139999,0.1275697886327441
42,1,exterior,42,-0.9455273532497759,0.1268599606671308
43,1,exterior,43,-0.9461512545612143,0.12608425851066896
44,1,exterior,44,-0.9466949411941907,0.12525036911328064
45,1,exterior,45,-0.9471530253953182,0.12436655604105801
46,1,exterior,46,-0.9475209677027878,0.12344157758707763
47,1,exterior,47,-0.9477951219309242,0.12248459997963368
48,1,exterior,48,-0.9479727713026692,0.12150510654796992
49,1,exterior,49,-0.948052155371938,0.12051280374564577
50,1,exterior,50,-0.9480324874690536,0.11951752496281648
51,1,exterior,51,-0.9479139624963804,0.11852913308061241
52,1,exterior,52,-0.8345804663755346,-0.5451209663679843
53,1,exterior,53,-0.8345531951605922,-0.5453457495174469
54,1,exterior,54,-0.8347771507213633,-0.5453123565504292
55,1,exterior,55,-1.267945929013143,-0.4591162512005097
56,1,exterior,56,-1.2681636339435687,-0.45906174984667514
57,1,exterior,57,-1.268014400328177,-0.4588941337306872
58,1,exterior,58,-1.0731955451777178,-0.26050803045418064
59,1,exterior,59,-1.0725085016519058,-0.25973171555281593
60,1,exterior,60,-1.07190552031938,-0.2588884438616831
61,1,exterior,61,-1.071393081382125,-0.2579872779679508
62,1,exterior,62,-1.0709766919887707,-0.25703790264409687
63,1,exterior,63,-1.0706608270496127,-0.2560505207662746
64,1,exterior,64,-0.9581981472214314,0.1705571682285285
65,1,exterior,65,-0.958005064780563,0.17145502979382315
66,1,exterior,66,-0.9578951681359164,0.17236681866571235
67,1,exterior,67,-0.9578693841955968,0.1732848444866057
68,1,exterior,68,-0.9579279304306951,0.17420136429422634
69,1,exterior,69,-0.95807031304106,0.17510864782855895
70,1,exterior,70,-0.9582953311201852,0.17599904273166211
71,1,exterior,71,-0.9586010867840911,0.17686503909042733
72,1,exterior,72,-1.104774799886025,0.5372369391281127
73,1,exterior,73,-1.1048551287968578,0.5374669917462433
74,1,exterior,74,-1.1048167735520722,0.5377076280199489
75,1,exterior,75,-1.0107094372736092,0.9847943256094358
76,1,exterior,76,-1.0106631773533419,0.98497040303526
77,1,exterior,77,-1.0106422738476528,0.9847895542488169
78,1,exterior,78,-0.9601332431080094,0.21614835397454613
79,1,exterior,79,-0.9600192096516571,0.21516311330454124
80,1,exterior,80,-0.959808139364962,0.21419401468155486
81,1,exterior,81,-0.9595021085522586,0.21325059115594425
82,1,exterior,82,-0.9591041276472421,0.2123421232114125
83,1,exterior,83,-0.958618111599246,0.21147754747263076
84,1,exterior,84,-0.9580488413617775,0.21066536879541015
85,1,exterior,85,-0.9574019168621415,0.20991357660419613
86,1,exterior,86,-0.9566837019148005,0.20922956629987677
87,1,exterior,87,-0.9559012616203513,0.2086200665110155
88,1,exterior,88,-0.9550622928659338,0.2080910729041442
89,1,exterior,89,-0.9541750486107351,0.2076477892042224
90,1,exterior,90,-0.9532482567013985,0.20729457600544926
91,1,exterior,91,-0.9522910340159509,0.2070349078759759
92,1,exterior,92,-0.9513127967808186,0.20687133917848055
93,1,exterior,93,-0.9503231679431428,0.2068054789428323
94,1,exterior,94,-0.9493318825095782,0.20683797503801737
95,1,exterior,95,-0.9483486917827604,0.2069685077990357
96,1,exterior,96,-0.9473832674374674,0.20719579317145292
97,1,exterior,97,-0.946445106380083,0.20751759534268077
98,1,exterior,98,-0.945543437327263,0.2079307487357277
99,1,exterior,99,-0.9446871300227898,0.2084311891490691
100,1,exterior,100,-0.9438846079856541,0.20901399373631185
101,1,exterior,101,-0.943143765647662,0.2096734294323716
102,1,exterior,102,-0.9424718906956877,0.21040300934979617
103,1,exterior,103,-0.9418755923824935,0.2111955565904583
104,1,exterior,104,-0.9413607365113241,0.21204327484490482
105,1,exterior,105,-0.9409323877338364,0.2129378250848714
106,1,exterior,106,-0.44720532771784105,1.3906561339507024
107,1,exterior,107,-0.44701040638879486,1.391067473495793
108,1,exterior,108,-0.3069377234400862,1.654893032296786
109,1,exterior,109,-0.30681985939354733,1.6550915592949067
110,1,exterior,110,-0.306590361551217,1.6550663473371185
111,1,exterior,111,0.48681808687435635,1.529383359591221
112,1,exterior,112,0.4870568549581855,1.5293333254825314
113,1,exterior,113,0.4872432606840791,1.5291759516751793
114,1,exterior,114,0.7053510465194239,1.3257398795318756
115,1,exterior,115,0.7055088035987196,1.3255787311260727
116,1,exterior,116,0.7056173587860955,1.3253810650539886
117,1,exterior,117,1.0157633820804168,0.6943106928756041
118,1,exterior,118,1.0162372450262103,0.6934549641800242
119,1,exterior,119,1.016792445660754,0.6926496257746084
120,1,exterior,120,1.0174236717261511,0.6919023832796993
121,1,exterior,121,1.0181248835397332,0.6912203864436889
122,1,exterior,122,1.01888937178281,0.6906101607329618
123,1,exterior,123,1.01970982169662,0.6900775448950787
124,1,exterior,124,1.2016442003448633,0.5842433251304514
125,1,exterior,125,1.2018315578691208,0.5841227228919637
126,1,exterior,126,1.2019476778618494,0.5839325548370404
127,1,exterior,127,1.6440598638482748,-0.2193755451909769
128,2,exterior,1,0.49726997252471705,-1.7083490179418195
129,2,exterior,2,0.4972089051701084,-1.7082725033928212
130,2,exterior,3,0.48393222678854747,-1.6898302329467116
131,2,exterior,4,0.483882051921745,-1.6897526782756584
132,2,exterior,5,0.483943813852213,-1.689821363850605
133,2,exterior,6,0.4912795427655054,-1.698843849798836
134,2,exterior,7,0.491637515842684,-1.6993441868366812
135,2,exterior,8,0.49722220045073484,-1.7082635689690069
