Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-1.189688960383578,-0.45389755217295347
2,1,exterior,2,-1.1895915224163933,-0.4539825723752058
3,1,exterior,3,-0.28932337774353106,-1.320591805307492
4,1,exterior,4,-0.2891606548711404,-1.320764786783125
5,1,exterior,5,-0.2893013093578278,-1.320956144143802
6,1,exterior,6,-0.5177413727421297,-1.6014620357143476
7,1,exterior,7,-0.5178829875903443,-1.6016194081394748
8,1,exterior,8,-0.5178711887679847,-1.6014080278347738
9,1,exterior,9,-0.48632456041579625,-1.3022190283869146
10,1,exterior,10,-0.48626955846141845,-1.30122088423751
11,1,exterior,11,-0.48631448693121465,-1.3002222359557922
12,1,exterior,12,-0.4864588968473672,-1.299233063203391
13,1,exterior,13,-0.486701345097095,-1.298263250951365
14,1,exterior,14,-0.4870394088539242,-1.297322490698009
15,1,exterior,15,-0.4874697097894041,-1.2964201836200686
16,1,exterior,16,-0.48798794783331606,-1.2955653466251869
17,1,exterior,17,-0.4885889441450046,-1.2947665222444167
18,1,exterior,18,-1.1896111020515012,-0.4540008027049898
