Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,0.7770314874714958,-0.592055732838546
2,1,exterior,2,0.777087535621482,-0.5918456274495275
3,1,exterior,3,0.9934436463164638,0.08219995013513523
4,1,exterior,4,0.9935238212168965,0.08241333503641067
5,1,exterior,5,0.993706160974271,0.0822765383126481
6,1,exterior,6,1.333642561563673,-0.199696788588867
7,1,exterior,7,1.3338104182963157,-0.19985029276004743
8,1,exterior,8,1.333631001657532,-0.1999901107953329
9,1,exterior,9,0.7772152870118108,-0.5919395287138712
10,2,exterior,1,-1.3383867346532299,0.4192180404359279
11,2,exterior,2,-1.338401404188465,0.41947276825698676
12,2,exterior,3,-1.3414965825317913,0.9754223743256638
13,2,exterior,4,-1.3414871977444742,0.9756528243120982
14,2,exterior,5,-1.3414356975745938,0.9758766295676975
15,2,exterior,6,-1.1920682154917623,1.5113205632897724
16,2,exterior,7,-1.1919927620206143,1.511546656445647
17,2,exterior,8,-1.1917620067317147,1.5114869627434029
18,2,exterior,9,-0.3566591355656416,1.2502283581646534
19,2,exterior,10,-0.35574447301806783,1.249989039790257
20,2,exterior,11,-0.3548112973420289,1.249837171367249
21,2,exterior,12,-0.35386795001628535,1.249774110418395
22,2,exterior,13,-0.3529228634420279,1.2498004206334472
23,2,exterior,14,-0.3519844855672566,1.249915866830429
24,2,exterior,15,-0.351061204372191,1.250119417057882
25,2,exterior,16,-0.3501612728907202,1.2504092518192815
26,2,exterior,17,-0.34929273543811235,1.2507827803371692
27,2,exterior,18,-0.3484633557044206,1.251236663711616
28,2,exterior,19,0.3745446064646174,1.6925539178116518
29,2,exterior,20,0.37532503334640493,1.693082316650601
30,2,exterior,21,0.37605224878483423,1.6936818407593155
31,2,exterior,22,0.3767197931327797,1.6943471647362964
32,2,exterior,23,0.3773217367843771,1.6950723786986008
33,2,exterior,24,0.37785273284601917,1.6958510407776441
34,2,exterior,25,0.3783080646312854,1.6966762343404802
35,2,exterior,26,0.3786836875579208,1.697540629428276
36,2,exterior,27,0.3789762650747053,1.6984365478662444
37,2,exterior,28,0.37918319829908576,1.6993560314666785
38,2,exterior,29,0.37930264910230777,1.7002909127192605
39,2,exterior,30,0.3793335564369886,1.7012328873407248
40,2,exterior,31,0.37927564576209793,1.7021735880394346
41,2,exterior,32,0.37644802334108696,1.728102132876138
42,2,exterior,33,0.3764285922416332,1.7283275251937538
43,2,exterior,34,0.37574947523116375,1.7390299003327898
44,2,exterior,35,0.3757485468710021,1.7390925804818231
45,2,exterior,36,0.3757576476144357,1.7390305575876277
46,2,exterior,37,0.37974553294096647,1.6981036168472
47,2,exterior,38,0.3798704147653304,1.6972265863135279
48,2,exterior,39,0.38007242443014194,1.6963640492868604
49,2,exterior,40,0.38034997660793907,1.695522774768258
50,2,exterior,41,0.3807008931302168,1.6947093648952898
51,2,exterior,42,0.3811224200812151,1.6939302031299088
52,2,exterior,43,0.7091133002661403,1.1470264382146524
53,2,exterior,44,0.7092249291771462,1.1468184172859477
54,2,exterior,45,0.7092510592670612,1.146583787920879
55,2,exterior,46,0.7538480897374825,0.44198485460321785
56,2,exterior,47,0.7538511075702177,0.44173419803745717
57,2,exterior,48,0.7536887857127827,0.4415431759552981
58,2,exterior,49,-0.3261241230396441,-0.7047979605571444
59,2,exterior,50,-0.32629065587331596,-0.7049583644700307
60,2,exterior,51,-0.326453531199793,-0.7047942479626802
61,2,exterior,52,-1.3382260951216505,0.4190198072424951
