Row,NumGoodAlgos
1,5
2,5
3,3
4,2
5,2
6,3
7,4
8,3
9,1
10,5
11,0
12,6
13,3
14,2
15,1
16,3
17,2
18,3
19,2
20,6
21,2
22,2
23,2
24,5
25,2
26,4
27,3
28,2
29,3
30,1
31,6
32,4
33,4
34,3
35,0
36,4
37,3
38,3
39,4
40,2
41,6
42,3
43,0
44,4
45,6
46,6
47,5
48,6
49,6
50,3
51,3
52,1
53,2
54,5
55,5
56,6
57,3
58,2
59,3
60,5
61,3
62,3
63,3
64,3
65,6
66,3
67,3
68,5
69,6
70,5
71,4
72,4
73,2
74,5
75,5
76,5
77,2
78,5
79,4
80,2
81,3
82,1
83,6
84,6
85,5
86,3
87,6
88,3
89,0
90,1
91,2
92,3
93,5
94,4
95,2
96,5
97,3
98,5
99,6
100,5
101,4
102,1
103,3
104,6
105,2
106,3
107,6
108,4
109,3
110,2
111,3
112,3
113,2
114,1
115,0
116,4
117,3
118,2
119,3
120,1
121,4
122,3
123,1
124,1
125,4
126,4
127,2
128,5
129,3
130,5
131,3
132,4
133,0
134,1
135,3
136,5
137,3
138,4
139,2
140,5
141,4
142,5
143,1
144,4
145,5
146,2
147,4
148,2
149,5
150,4
151,6
152,5
153,5
154,3
155,6
156,4
157,3
158,4
159,4
160,4
161,1
162,1
163,4
164,5
165,1
166,4
167,6
168,3
169,5
170,3
171,0
172,2
173,3
174,5
175,5
176,4
177,5
178,3
179,1
180,2
181,4
182,3
183,4
184,4
185,5
186,2
187,3
188,4
189,1
190,0
191,5
192,4
193,4
194,2
195,6
196,4
197,3
198,5
199,3
200,4
201,0
202,3
203,4
204,4
205,4
206,4
207,5
208,5
209,6
210,2
211,6
212,6
213,2
214,4
215,3
216,5
217,4
218,2
219,2
220,0
221,4
222,4
223,0
224,6
225,2
226,3
227,2
228,3
229,3
230,3
231,1
232,0
233,1
234,4
235,1
236,2
237,5
238,1
239,4
240,2
241,1
242,4
243,5
244,5
245,2
246,0
247,3
248,0
249,1
250,6
251,5
252,3
253,2
254,5
255,3
256,2
257,5
258,3
259,3
260,5
261,3
262,0
263,6
264,3
265,3
266,3
267,4
268,0
269,4
270,6
271,2
272,1
273,4
274,3
275,4
276,3
277,4
278,5
279,0
280,6
281,4
282,5
283,6
284,5
285,2
286,4
287,5
288,0
289,5
290,4
291,2
292,3
293,1
294,5
295,3
296,4
297,4
298,3
299,6
300,5
301,2
302,2
303,6
304,2
305,4
306,4
307,3
308,3
309,3
310,2
311,1
312,3
313,4
314,2
315,4
316,5
317,3
318,3
319,5
320,4
321,0
322,1
323,3
324,4
325,2
326,4
327,1
328,3
329,2
330,2
331,3
332,1
333,5
334,1
335,4
336,3
337,2
338,4
339,3
340,3
341,1
342,3
343,3
344,6
345,3
346,5
347,4
348,3
349,2
350,1
351,3
352,2
353,2
354,3
355,4
356,6
357,6
358,1
359,5
360,2
361,6
362,0
363,1
364,3
365,5
366,6
367,3
368,6
369,3
370,2
371,4
372,6
373,3
374,0
375,0
376,5
377,2
378,6
379,5
380,1
381,4
382,3
383,2
384,3
385,4
386,4
387,3
388,4
389,5
390,6
391,4
392,6
393,4
394,6
395,3
396,5
397,4
398,3
399,4
400,6
401,3
402,5
403,6
404,3
405,4
406,5
407,6
408,3
409,0
410,2
411,3
412,3
413,2
414,1
415,4
416,4
417,3
418,1
419,2
420,5
421,4
422,2
423,3
424,4
425,4
426,4
427,5
428,0
429,2
430,4
431,4
432,2
433,3
434,3
435,4
436,4
437,3
438,5
439,6
440,3
441,4
442,2
443,2
444,1
445,4
446,6
447,1
448,4
449,2
450,4
451,4
452,4
453,5
454,5
455,3
456,3
457,3
458,4
459,5
460,5
461,5
462,4
463,4
464,2
465,4
466,2
467,5
468,3
469,3
470,3
471,2
472,2
473,5
474,4
475,2
476,1
477,3
478,3
479,3
480,1
481,3
482,4
483,3
484,6
485,4
486,5
487,4
488,3
489,5
490,1
491,1
492,3
493,3
494,5
495,6
496,4
497,4
498,4
499,2
500,4
501,5
502,1
503,3
504,2
505,2
506,5
507,3
508,3
509,4
510,6
511,3
512,5
513,2
514,3
515,0
516,6
517,2
518,6
519,5
520,4
521,2
522,2
523,6
524,5
525,5
526,4
527,3
528,5
529,3
530,4
531,1
532,3
533,5
534,5
535,3
536,4
537,3
538,4
539,4
540,4
541,1
542,6
543,1
544,3
545,5
546,1
547,2
548,2
549,3
550,1
551,1
552,5
553,1
554,4
555,6
556,6
557,6
558,4
559,4
560,2
561,0
562,3
563,4
564,2
565,4
566,0
567,1
568,4
569,2
570,6
571,2
572,3
573,6
574,2
575,2
576,2
577,4
578,4
579,5
580,5
581,5
582,1
583,4
584,3
585,4
586,3
587,1
588,4
589,3
590,6
591,5
592,6
593,3
594,5
595,1
596,4
597,4
598,4
599,4
600,5
601,3
602,5
603,6
604,5
605,4
606,3
607,4
608,6
609,6
610,2
611,5
612,4
613,6
614,4
615,5
616,4
617,5
618,5
619,6
620,2
621,3
622,3
623,2
624,4
625,0
626,4
627,5
628,2
629,4
630,2
631,3
632,1
633,5
634,4
635,0
636,6
637,1
638,5
639,6
640,5
