Row,Best_Algorithm
1,3
2,5
3,3
4,3
5,3
6,3
7,3
8,3
9,4
10,3
11,4
12,3
13,3
14,3
15,3
16,3
17,3
18,5
19,5
20,3
21,-1
22,4
23,3
24,3
25,3
26,3
27,3
28,3
29,5
30,4
31,3
32,5
33,3
34,5
35,-1
36,3
37,4
38,3
39,3
40,5
41,3
42,3
43,4
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,4
53,5
54,3
55,3
56,3
57,5
58,5
59,3
60,3
61,4
62,4
63,3
64,3
65,3
66,3
67,5
68,3
69,3
70,5
71,5
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,5
83,3
84,3
85,3
86,4
87,3
88,5
89,5
90,3
91,3
92,5
93,3
94,5
95,4
96,3
97,5
98,3
99,3
100,3
101,3
102,5
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,4
111,3
112,3
113,5
114,4
115,4
116,3
117,-1
118,3
119,5
120,5
121,5
122,3
123,-1
124,5
125,3
126,3
127,3
128,3
129,4
130,3
131,3
132,3
133,4
134,4
135,5
136,4
137,5
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,5
147,3
148,4
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,5
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,5
171,4
172,3
173,3
174,3
175,5
176,3
177,3
178,3
179,3
180,5
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,5
189,3
190,5
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,4
202,4
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,4
218,3
219,5
220,-1
221,3
222,4
223,4
224,3
225,5
226,3
227,3
228,3
229,5
230,3
231,3
232,4
233,4
234,5
235,3
236,5
237,3
238,4
239,3
240,3
241,5
242,5
243,3
244,3
245,3
246,4
247,5
248,4
249,4
250,3
251,3
252,3
253,4
254,3
255,3
256,3
257,3
258,3
259,5
260,3
261,5
262,5
263,3
264,3
265,3
266,5
267,5
268,5
269,3
270,3
271,4
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,4
280,3
281,3
282,3
283,3
284,3
285,5
286,5
287,3
288,4
289,3
290,3
291,3
292,3
293,4
294,3
295,3
296,5
297,3
298,3
299,3
300,3
301,5
302,4
303,3
304,3
305,3
306,3
307,3
308,5
309,5
310,5
311,3
312,4
313,4
314,3
315,3
316,3
317,3
318,4
319,3
320,3
321,4
322,3
323,3
324,3
325,4
326,3
327,4
328,3
329,4
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,4
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,5
346,3
347,3
348,5
349,4
350,4
351,3
352,3
353,4
354,5
355,5
356,4
357,3
358,4
359,3
360,3
361,3
362,4
363,5
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,-1
375,4
376,3
377,3
378,3
379,3
380,4
381,3
382,3
383,3
384,3
385,3
386,5
387,4
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,5
398,3
399,3
400,3
401,3
402,3
403,3
404,5
405,3
406,3
407,3
408,5
409,4
410,4
411,3
412,3
413,4
414,3
415,3
416,3
417,3
418,3
419,4
420,3
421,3
422,4
423,4
424,5
425,3
426,3
427,3
428,4
429,5
430,3
431,5
432,3
433,3
434,3
435,3
436,3
437,3
438,5
439,3
440,4
441,3
442,3
443,3
444,4
445,3
446,3
447,3
448,3
449,4
450,3
451,3
452,3
453,3
454,3
455,5
456,3
457,3
458,5
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,4
467,3
468,3
469,4
470,3
471,3
472,3
473,3
474,3
475,5
476,5
477,3
478,5
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,4
491,4
492,5
493,5
494,3
495,3
496,3
497,3
498,3
499,3
500,4
501,3
502,4
503,5
504,4
505,5
506,5
507,3
508,3
509,3
510,3
511,4
512,3
513,4
514,5
515,-1
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,4
527,3
528,3
529,5
530,3
531,3
532,3
533,4
534,3
535,5
536,3
537,4
538,3
539,3
540,3
541,4
542,3
543,-1
544,5
545,3
546,4
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,5
559,5
560,3
561,4
562,3
563,3
564,3
565,3
566,4
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,5
575,3
576,5
577,3
578,3
579,3
580,3
581,3
582,3
583,5
584,4
585,3
586,5
587,4
588,5
589,3
590,3
591,3
592,3
593,3
594,3
595,4
596,3
597,3
598,3
599,3
600,3
601,5
602,3
603,3
604,3
605,3
606,3
607,4
608,3
609,3
610,4
611,3
612,3
613,3
614,3
615,3
616,5
617,3
618,3
619,3
620,4
621,3
622,5
623,3
624,3
625,5
626,5
627,3
628,5
629,3
630,3
631,5
632,3
633,3
634,5
635,5
