Row,selection0,selection1
1,logreg,logreg
2,rf,rf
3,logreg,logreg
4,logreg,logreg
5,logreg,logreg
6,logreg,logreg
7,logreg,logreg
8,logreg,logreg
9,svm_rbf,svm_rbf
10,logreg,logreg
11,svm_rbf,svm_rbf
12,logreg,logreg
13,logreg,logreg
14,logreg,logreg
15,logreg,logreg
16,logreg,logreg
17,logreg,logreg
18,rf,rf
19,rf,rf
20,logreg,logreg
21,,logreg
22,svm_rbf,svm_rbf
23,logreg,logreg
24,logreg,logreg
25,logreg,logreg
26,logreg,logreg
27,logreg,logreg
28,logreg,logreg
29,rf,rf
30,svm_rbf,svm_rbf
31,logreg,logreg
32,rf,rf
33,logreg,logreg
34,rf,rf
35,,logreg
36,logreg,logreg
37,svm_rbf,svm_rbf
38,logreg,logreg
39,logreg,logreg
40,rf,rf
41,logreg,logreg
42,logreg,logreg
43,svm_rbf,svm_rbf
44,logreg,logreg
45,logreg,logreg
46,logreg,logreg
47,logreg,logreg
48,logreg,logreg
49,logreg,logreg
50,logreg,logreg
51,logreg,logreg
52,svm_rbf,svm_rbf
53,rf,rf
54,logreg,logreg
55,logreg,logreg
56,logreg,logreg
57,rf,rf
58,rf,rf
59,logreg,logreg
60,logreg,logreg
61,svm_rbf,svm_rbf
62,svm_rbf,svm_rbf
63,logreg,logreg
64,logreg,logreg
65,logreg,logreg
66,logreg,logreg
67,rf,rf
68,logreg,logreg
69,logreg,logreg
70,rf,rf
71,rf,rf
72,logreg,logreg
73,logreg,logreg
74,logreg,logreg
75,logreg,logreg
76,logreg,logreg
77,logreg,logreg
78,logreg,logreg
79,logreg,logreg
80,logreg,logreg
81,logreg,logreg
82,rf,rf
83,logreg,logreg
84,logreg,logreg
85,logreg,logreg
86,svm_rbf,svm_rbf
87,logreg,logreg
88,rf,rf
89,rf,rf
90,logreg,logreg
91,logreg,logreg
92,rf,rf
93,logreg,logreg
94,rf,rf
95,svm_rbf,svm_rbf
96,logreg,logreg
97,rf,rf
98,logreg,logreg
99,logreg,logreg
100,logreg,logreg
101,logreg,logreg
102,rf,rf
103,logreg,logreg
104,logreg,logreg
105,logreg,logreg
106,logreg,logreg
107,logreg,logreg
108,logreg,logreg
109,logreg,logreg
110,svm_rbf,svm_rbf
111,logreg,logreg
112,logreg,logreg
113,rf,rf
114,svm_rbf,svm_rbf
115,svm_rbf,svm_rbf
116,logreg,logreg
117,,logreg
118,logreg,logreg
119,rf,rf
120,rf,rf
121,rf,rf
122,logreg,logreg
123,,logreg
124,rf,rf
125,logreg,logreg
126,logreg,logreg
127,logreg,logreg
128,logreg,logreg
129,svm_rbf,svm_rbf
130,logreg,logreg
131,logreg,logreg
132,logreg,logreg
133,svm_rbf,svm_rbf
134,svm_rbf,svm_rbf
135,rf,rf
136,svm_rbf,svm_rbf
137,rf,rf
138,logreg,logreg
139,logreg,logreg
140,logreg,logreg
141,logreg,logreg
142,logreg,logreg
143,logreg,logreg
144,logreg,logreg
145,logreg,logreg
146,rf,rf
147,logreg,logreg
148,svm_rbf,svm_rbf
149,logreg,logreg
150,logreg,logreg
151,logreg,logreg
152,logreg,logreg
153,logreg,logreg
154,logreg,logreg
155,logreg,logreg
156,logreg,logreg
157,logreg,logreg
158,logreg,logreg
159,logreg,logreg
160,logreg,logreg
161,rf,rf
162,logreg,logreg
163,logreg,logreg
164,logreg,logreg
165,logreg,logreg
166,logreg,logreg
167,logreg,logreg
168,logreg,logreg
169,logreg,logreg
170,rf,rf
171,svm_rbf,svm_rbf
172,logreg,logreg
173,logreg,logreg
174,logreg,logreg
175,rf,rf
176,logreg,logreg
177,logreg,logreg
178,logreg,logreg
179,logreg,logreg
180,rf,rf
181,logreg,logreg
182,logreg,logreg
183,logreg,logreg
184,logreg,logreg
185,logreg,logreg
186,logreg,logreg
187,logreg,logreg
188,rf,rf
189,logreg,logreg
190,rf,rf
191,logreg,logreg
192,logreg,logreg
193,logreg,logreg
194,logreg,logreg
195,logreg,logreg
196,logreg,logreg
197,logreg,logreg
198,logreg,logreg
199,logreg,logreg
200,logreg,logreg
201,svm_rbf,svm_rbf
202,svm_rbf,svm_rbf
203,logreg,logreg
204,logreg,logreg
205,logreg,logreg
206,logreg,logreg
207,logreg,logreg
208,logreg,logreg
209,logreg,logreg
210,logreg,logreg
211,logreg,logreg
212,logreg,logreg
213,logreg,logreg
214,logreg,logreg
215,logreg,logreg
216,logreg,logreg
217,svm_rbf,svm_rbf
218,logreg,logreg
219,rf,rf
220,,logreg
221,logreg,logreg
222,svm_rbf,svm_rbf
223,svm_rbf,svm_rbf
224,logreg,logreg
225,rf,rf
226,logreg,logreg
227,logreg,logreg
228,logreg,logreg
229,rf,rf
230,logreg,logreg
231,logreg,logreg
232,svm_rbf,svm_rbf
233,svm_rbf,svm_rbf
234,rf,rf
235,logreg,logreg
236,rf,rf
237,logreg,logreg
238,svm_rbf,svm_rbf
239,logreg,logreg
240,logreg,logreg
241,rf,rf
242,rf,rf
243,logreg,logreg
244,logreg,logreg
245,logreg,logreg
246,svm_rbf,svm_rbf
247,rf,rf
248,svm_rbf,svm_rbf
249,svm_rbf,svm_rbf
250,logreg,logreg
251,logreg,logreg
252,logreg,logreg
253,svm_rbf,svm_rbf
254,logreg,logreg
255,logreg,logreg
256,logreg,logreg
257,logreg,logreg
258,logreg,logreg
259,rf,rf
260,logreg,logreg
261,rf,rf
262,rf,rf
263,logreg,logreg
264,logreg,logreg
265,logreg,logreg
266,rf,rf
267,rf,rf
268,rf,rf
269,logreg,logreg
270,logreg,logreg
271,svm_rbf,svm_rbf
272,logreg,logreg
273,logreg,logreg
274,logreg,logreg
275,logreg,logreg
276,logreg,logreg
277,logreg,logreg
278,logreg,logreg
279,svm_rbf,svm_rbf
280,logreg,logreg
281,logreg,logreg
282,logreg,logreg
283,logreg,logreg
284,logreg,logreg
285,rf,rf
286,rf,rf
287,logreg,logreg
288,svm_rbf,svm_rbf
289,logreg,logreg
290,logreg,logreg
291,logreg,logreg
292,logreg,logreg
293,svm_rbf,svm_rbf
294,logreg,logreg
295,logreg,logreg
296,rf,rf
297,logreg,logreg
298,logreg,logreg
299,logreg,logreg
300,logreg,logreg
301,rf,rf
302,svm_rbf,svm_rbf
303,logreg,logreg
304,logreg,logreg
305,logreg,logreg
306,logreg,logreg
307,logreg,logreg
308,rf,rf
309,rf,rf
310,rf,rf
311,logreg,logreg
312,svm_rbf,svm_rbf
313,svm_rbf,svm_rbf
314,logreg,logreg
315,logreg,logreg
316,logreg,logreg
317,logreg,logreg
318,svm_rbf,svm_rbf
319,logreg,logreg
320,logreg,logreg
321,svm_rbf,svm_rbf
322,logreg,logreg
323,logreg,logreg
324,logreg,logreg
325,svm_rbf,svm_rbf
326,logreg,logreg
327,svm_rbf,svm_rbf
328,logreg,logreg
329,svm_rbf,svm_rbf
330,logreg,logreg
331,logreg,logreg
332,logreg,logreg
333,logreg,logreg
334,logreg,logreg
335,logreg,logreg
336,logreg,logreg
337,svm_rbf,svm_rbf
338,logreg,logreg
339,logreg,logreg
340,logreg,logreg
341,logreg,logreg
342,logreg,logreg
343,logreg,logreg
344,logreg,logreg
345,rf,rf
346,logreg,logreg
347,logreg,logreg
348,rf,rf
349,svm_rbf,svm_rbf
350,svm_rbf,svm_rbf
351,logreg,logreg
352,logreg,logreg
353,svm_rbf,svm_rbf
354,rf,rf
355,rf,rf
356,svm_rbf,svm_rbf
357,logreg,logreg
358,svm_rbf,svm_rbf
359,logreg,logreg
360,logreg,logreg
361,logreg,logreg
362,svm_rbf,svm_rbf
363,rf,rf
364,logreg,logreg
365,logreg,logreg
366,logreg,logreg
367,logreg,logreg
368,logreg,logreg
369,logreg,logreg
370,logreg,logreg
371,logreg,logreg
372,logreg,logreg
373,logreg,logreg
374,,logreg
375,svm_rbf,svm_rbf
376,logreg,logreg
377,logreg,logreg
378,logreg,logreg
379,logreg,logreg
380,svm_rbf,svm_rbf
381,logreg,logreg
382,logreg,logreg
383,logreg,logreg
384,logreg,logreg
385,logreg,logreg
386,rf,rf
387,svm_rbf,svm_rbf
388,logreg,logreg
389,logreg,logreg
390,logreg,logreg
391,logreg,logreg
392,logreg,logreg
393,logreg,logreg
394,logreg,logreg
395,logreg,logreg
396,logreg,logreg
397,rf,rf
398,logreg,logreg
399,logreg,logreg
400,logreg,logreg
401,logreg,logreg
402,logreg,logreg
403,logreg,logreg
404,rf,rf
405,logreg,logreg
406,logreg,logreg
407,logreg,logreg
408,rf,rf
409,svm_rbf,svm_rbf
410,svm_rbf,svm_rbf
411,logreg,logreg
412,logreg,logreg
413,svm_rbf,svm_rbf
414,logreg,logreg
415,logreg,logreg
416,logreg,logreg
417,logreg,logreg
418,logreg,logreg
419,svm_rbf,svm_rbf
420,logreg,logreg
421,logreg,logreg
422,svm_rbf,svm_rbf
423,svm_rbf,svm_rbf
424,rf,rf
425,logreg,logreg
426,logreg,logreg
427,logreg,logreg
428,svm_rbf,svm_rbf
429,rf,rf
430,logreg,logreg
431,rf,rf
432,logreg,logreg
433,logreg,logreg
434,logreg,logreg
435,logreg,logreg
436,logreg,logreg
437,logreg,logreg
438,rf,rf
439,logreg,logreg
440,svm_rbf,svm_rbf
441,logreg,logreg
442,logreg,logreg
443,logreg,logreg
444,svm_rbf,svm_rbf
445,logreg,logreg
446,logreg,logreg
447,logreg,logreg
448,logreg,logreg
449,svm_rbf,svm_rbf
450,logreg,logreg
451,logreg,logreg
452,logreg,logreg
453,logreg,logreg
454,logreg,logreg
455,rf,rf
456,logreg,logreg
457,logreg,logreg
458,rf,rf
459,logreg,logreg
460,logreg,logreg
461,logreg,logreg
462,logreg,logreg
463,logreg,logreg
464,logreg,logreg
465,logreg,logreg
466,svm_rbf,svm_rbf
467,logreg,logreg
468,logreg,logreg
469,svm_rbf,svm_rbf
470,logreg,logreg
471,logreg,logreg
472,logreg,logreg
473,logreg,logreg
474,logreg,logreg
475,rf,rf
476,rf,rf
477,logreg,logreg
478,rf,rf
479,logreg,logreg
480,logreg,logreg
481,logreg,logreg
482,logreg,logreg
483,logreg,logreg
484,logreg,logreg
485,logreg,logreg
486,logreg,logreg
487,logreg,logreg
488,logreg,logreg
489,logreg,logreg
490,svm_rbf,svm_rbf
491,svm_rbf,svm_rbf
492,rf,rf
493,rf,rf
494,logreg,logreg
495,logreg,logreg
496,logreg,logreg
497,logreg,logreg
498,logreg,logreg
499,logreg,logreg
500,svm_rbf,svm_rbf
501,logreg,logreg
502,svm_rbf,svm_rbf
503,rf,rf
504,svm_rbf,svm_rbf
505,rf,rf
506,rf,rf
507,logreg,logreg
508,logreg,logreg
509,logreg,logreg
510,logreg,logreg
511,svm_rbf,svm_rbf
512,logreg,logreg
513,svm_rbf,svm_rbf
514,rf,rf
515,,logreg
516,logreg,logreg
517,logreg,logreg
518,logreg,logreg
519,logreg,logreg
520,logreg,logreg
521,logreg,logreg
522,logreg,logreg
523,logreg,logreg
524,logreg,logreg
525,logreg,logreg
526,svm_rbf,svm_rbf
527,logreg,logreg
528,logreg,logreg
529,rf,rf
530,logreg,logreg
531,logreg,logreg
532,logreg,logreg
533,svm_rbf,svm_rbf
534,logreg,logreg
535,rf,rf
536,logreg,logreg
537,svm_rbf,svm_rbf
538,logreg,logreg
539,logreg,logreg
540,logreg,logreg
541,svm_rbf,svm_rbf
542,logreg,logreg
543,,logreg
544,rf,rf
545,logreg,logreg
546,svm_rbf,svm_rbf
547,logreg,logreg
548,logreg,logreg
549,logreg,logreg
550,logreg,logreg
551,logreg,logreg
552,logreg,logreg
553,logreg,logreg
554,logreg,logreg
555,logreg,logreg
