feature,algorithm,rho,pval
kDN,knn,-0.6285518142890949,3.090025219879478e-134
kDN,tree,-0.2540955876137466,2.592830242475922e-19
kDN,nb,-0.06376494042514347,0.02642772948623729
kDN,logreg,-0.059549991960322,0.03818517208354763
kDN,svm_rbf,-0.10403160212614952,0.0002857969360086297
kDN,rf,-0.659675967477671,2.81706651503772e-152
DS,knn,-0.3240920636926301,4.8893769088249e-31
DS,tree,-0.29973253074389844,1.401265609557089e-26
DS,nb,-0.06685673265296119,0.01992594841796669
DS,logreg,-0.06793999511665795,0.018003710924975477
DS,svm_rbf,-0.06962364477048258,0.0153377508691718
DS,rf,-0.4910562182588294,1.4700211984895075e-74
TD_U,knn,-0.019143532721866325,0.5055183175190886
TD_U,tree,-0.06212760396655434,0.03056002218275276
TD_U,nb,0.06463707340117633,0.024430349234532595
TD_U,logreg,-0.41197812354497243,7.461500543488956e-51
TD_U,svm_rbf,0.018619132680275145,0.5172502485292193
TD_U,rf,-0.06417593123989829,0.025469560246741484
CL,knn,-0.053530728099422595,0.06245938983033542
CL,tree,-0.003233536663414127,0.9104620096909354
CL,nb,-0.5523679686586929,9.473126593021343e-98
CL,logreg,-0.13176551608527626,4.172390742305023e-06
CL,svm_rbf,-0.2903817561623279,5.599991831416878e-25
CL,rf,-0.053433091215096526,0.06293965616523943
CLD,knn,-0.053530728099422595,0.06245938983033542
CLD,tree,-0.003233536663414127,0.9104620096909354
CLD,nb,-0.5523679686586929,9.473126593021343e-98
CLD,logreg,-0.13176551608527626,4.172390742305023e-06
CLD,svm_rbf,-0.2903817561623279,5.599991831416878e-25
CLD,rf,-0.053433091215096526,0.06293965616523943
N1,knn,-0.32017921004374983,2.7134224129521907e-30
N1,tree,-0.18659835899379593,5.867393264574953e-11
N1,nb,0.020545198324647834,0.474860189125047
N1,logreg,-0.05742540953034397,0.045631854191534024
N1,svm_rbf,0.021791096341061664,0.448488179066663
N1,rf,-0.38821519571178104,7.046183135386268e-45
N2,knn,-0.39574327764863737,1.0174002148977913e-46
N2,tree,-0.203620148556534,8.271621412988087e-13
N2,nb,0.05342547434618636,0.06297725066547788
N2,logreg,-0.028862395777504934,0.31538741280009963
N2,svm_rbf,0.01578384225598138,0.5830311313276694
N2,rf,-0.4677533672144455,6.495392409252557e-67
LSC,knn,-0.39648430714559546,6.663932907618131e-47
LSC,tree,-0.21803635809079988,1.6494752575603757e-14
LSC,nb,0.05745950051636295,0.04550335176216134
LSC,logreg,-0.05094415906372407,0.07624851325927026
LSC,svm_rbf,0.014683245586281488,0.6095754934965287
LSC,rf,-0.46136096321076714,6.435382582985709e-65
LSR,knn,-0.021562512309904226,0.45326349811485245
LSR,tree,-0.021893367114049447,0.44636092635242586
LSR,nb,0.060751087888850495,0.03445153530003789
LSR,logreg,-0.7101317392140765,1.3275705851226929e-186
LSR,svm_rbf,0.029524001685244296,0.30441777643084394
LSR,rf,-0.06887709543338115,0.016473751107945724
Harmfulness,knn,-0.2548126730064133,2.042004743540464e-19
Harmfulness,tree,-0.08460683668749823,0.003201144303768641
Harmfulness,nb,0.023049217048862015,0.4227212318889869
Harmfulness,logreg,-0.056163438565753614,0.050608134427643336
Harmfulness,svm_rbf,0.01630197510056556,0.5707239558663388
Harmfulness,rf,-0.2983229561920762,2.464789948887174e-26
Usefulness,knn,-0.19028126281731483,2.4109464169648054e-11
Usefulness,tree,-0.1336572701877908,3.022581240498575e-06
Usefulness,nb,0.008876772769067925,0.7575335291742873
Usefulness,logreg,0.05403837966943099,0.06001084896105283
Usefulness,svm_rbf,0.0039908038224761196,0.8896143568367383
Usefulness,rf,-0.2509660879517853,7.288050274778201e-19
F2,knn,0.01190397820842253,0.6788670386464347
F2,tree,0.03894130943808864,0.1754782273568568
F2,nb,-0.01937940055766687,0.5002874527845802
F2,logreg,0.48454370700705085,2.31094380912704e-72
F2,svm_rbf,0.010825580678320871,0.7065439905701658
F2,rf,0.043681599771998515,0.128541545523079
F4,knn,0.016755487538471177,0.5600541740851508
F4,tree,0.019943304595773842,0.48789884359704255
F4,nb,-0.061110625773593774,0.033396354387629154
F4,logreg,0.7007862174828042,1.0627998204572049e-179
F4,svm_rbf,-0.02600427301822084,0.3657164849361844
F4,rf,0.05953094677154678,0.038247038611037835
