feature,status,rho,rho_algo,pval,n_algos_sig,cluster,kept_instead
kDN,kept,-0.659675967477671,rf,2.81706651503772e-152,4,2,
DS,dropped_redundancy,-0.4910562182588294,rf,1.4700211984895075e-74,3,2,kDN
TD_U,kept,-0.41197812354497243,logreg,7.461500543488956e-51,1,5,
CL,kept,-0.5523679686586929,nb,9.473126593021343e-98,3,4,
CLD,dropped_redundancy,-0.5523679686586929,nb,9.473126593021343e-98,3,4,CL
N1,dropped_redundancy,-0.38821519571178104,rf,7.046183135386268e-45,3,6,Harmfulness
N2,dropped_redundancy,-0.4677533672144455,rf,6.495392409252557e-67,3,6,Harmfulness
LSC,dropped_redundancy,-0.46136096321076714,rf,6.435382582985709e-65,3,6,Harmfulness
LSR,dropped_redundancy,-0.7101317392140765,logreg,1.3275705851226929e-186,1,5,TD_U
Harmfulness,kept,-0.2983229561920762,rf,2.464789948887174e-26,2,6,
Usefulness,kept,-0.2509660879517853,rf,7.288050274778201e-19,3,1,
F2,kept,0.48454370700705085,logreg,2.31094380912704e-72,1,3,
F4,dropped_redundancy,0.7007862174828042,logreg,1.0627998204572049e-179,1,3,F2
