Row,knn,tree,nb,logreg,svm_rbf,rf
1,True,True,True,True,True,True
2,True,True,True,True,True,True
3,True,True,True,True,True,True
4,True,True,True,True,True,True
5,True,True,True,True,True,True
6,True,True,True,True,True,True
7,True,True,True,True,True,True
8,True,True,True,True,True,True
9,True,True,True,True,True,True
10,True,True,True,True,True,True
11,True,True,True,True,True,True
12,True,True,True,True,True,True
13,True,True,True,True,True,True
14,True,True,True,True,True,True
15,True,True,True,True,True,True
16,True,True,True,True,True,True
17,True,True,True,True,True,True
18,True,True,True,True,True,True
19,True,True,True,True,True,True
20,True,True,True,True,True,True
21,True,True,True,True,True,True
22,True,True,True,True,True,True
23,True,True,True,True,True,True
24,True,True,True,True,True,True
25,True,True,True,True,True,True
26,True,True,True,True,True,True
27,True,True,True,True,True,True
28,True,True,True,True,True,True
29,True,True,True,True,True,True
30,True,True,True,True,True,True
31,True,True,True,True,True,True
32,True,True,True,True,True,True
33,True,True,True,True,True,True
34,True,True,True,True,True,True
35,True,True,True,True,True,True
36,True,True,True,True,True,True
37,True,True,True,True,True,True
38,True,True,True,True,True,True
39,True,True,True,True,True,True
40,True,True,True,True,True,True
41,True,True,True,True,True,True
42,True,True,True,True,True,True
43,True,True,True,True,True,True
44,True,True,True,True,True,True
45,True,True,True,True,True,True
46,True,True,True,True,True,True
47,True,True,True,True,True,True
48,True,True,True,True,True,True
49,True,True,True,True,True,True
50,True,True,True,True,True,True
51,True,True,True,True,True,True
52,True,True,True,True,True,True
53,True,True,False,True,True,True
54,True,True,True,True,True,True
55,True,True,True,True,True,True
56,True,True,True,True,True,True
57,True,True,True,True,True,True
58,True,True,True,True,True,True
59,True,True,True,True,True,True
60,True,True,True,True,True,True
61,True,True,True,True,True,True
62,True,True,True,True,True,True
63,True,True,True,True,True,True
64,True,True,True,True,True,True
65,True,True,True,True,True,True
66,True,True,True,True,True,True
67,True,True,True,True,True,True
68,True,True,True,True,True,True
69,True,True,True,True,True,True
70,True,True,True,True,True,True
71,True,False,False,False,False,False
72,True,True,True,True,True,True
73,True,True,True,True,True,True
74,True,True,True,True,True,True
75,True,True,True,True,True,True
76,True,True,True,True,True,True
77,True,True,True,True,True,True
78,True,False,False,False,False,False
79,True,True,True,True,True,True
80,True,True,True,True,True,True
81,True,True,True,True,True,True
82,True,True,True,True,True,True
83,True,True,True,True,True,True
84,False,False,False,False,False,False
85,True,True,True,True,True,True
86,True,True,True,True,True,True
87,True,True,True,True,True,True
88,True,True,True,True,True,True
89,True,True,True,True,True,True
90,True,True,True,True,True,True
91,True,True,True,True,True,True
92,True,True,True,True,True,True
93,True,True,True,True,True,True
94,True,True,True,True,True,True
95,True,True,True,True,True,True
96,True,True,True,True,True,True
97,True,True,True,True,True,True
98,True,True,True,True,True,True
99,True,True,True,True,True,True
100,True,True,True,True,True,True
101,True,True,True,True,True,True
102,True,True,True,True,True,True
103,True,True,True,True,True,True
104,True,True,True,True,True,True
105,True,True,True,True,True,True
106,True,True,True,True,True,True
107,False,False,False,False,False,False
108,True,True,True,True,True,True
109,True,True,True,True,True,True
110,True,True,True,True,True,True
111,True,True,True,True,True,True
112,True,True,True,True,True,True
113,True,True,True,True,True,True
114,True,True,True,True,True,True
115,True,True,True,True,True,True
116,True,True,True,True,True,True
117,True,True,True,True,True,True
118,True,True,True,True,True,True
119,True,True,True,True,True,True
120,False,False,False,False,False,False
121,True,True,True,True,True,True
122,True,True,True,True,True,True
123,True,True,True,True,True,True
124,True,True,True,True,True,True
125,True,True,True,True,True,True
126,True,True,True,True,True,True
127,True,True,True,True,True,True
128,True,True,True,True,True,True
129,True,True,True,True,True,True
130,True,False,True,True,True,False
131,True,True,True,True,True,True
132,True,True,True,True,True,True
133,True,True,True,True,True,True
134,False,True,False,False,False,True
135,True,False,False,False,True,False
136,True,True,True,True,True,True
137,True,True,True,True,True,True
138,True,True,True,True,True,True
139,True,True,True,True,True,False
140,True,True,True,True,True,True
141,True,True,True,True,True,True
142,True,True,True,True,True,True
143,True,True,True,True,True,True
144,True,True,True,True,True,True
145,True,True,True,True,True,True
146,True,True,True,True,True,True
147,True,True,True,True,True,True
148,True,True,True,True,True,True
149,True,True,True,True,True,True
150,True,True,True,True,True,True
