Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-1.1036965059021997,-0.40474848072663694
2,1,exterior,2,-1.103480614467283,-0.4047513663358696
3,1,exterior,3,-0.19000105718506127,-0.4617758415257925
4,1,exterior,4,-0.18976787046781843,-0.46180148211324196
5,1,exterior,5,-0.1895436321478769,-0.46187040715000666
6,1,exterior,6,0.0697573068284462,-0.5551675706131296
7,1,exterior,7,0.07068438329318837,-0.5554511902130854
8,1,exterior,8,0.07163456722374494,-0.5556437034517729
9,1,exterior,9,0.07259892773826752,-0.5557433008763762
10,1,exterior,10,0.07356840070765709,-0.5557490463598962
11,1,exterior,11,0.8024752343541457,-0.5247027882428713
12,1,exterior,12,0.803248267402753,-0.5246397576029662
13,1,exterior,13,0.8040140903804798,-0.5245170053215541
14,1,exterior,14,1.277043842025856,-0.4297485965649227
15,1,exterior,15,1.2779342326809449,-0.42952728762081677
16,1,exterior,16,1.2788005924807846,-0.4292253044016926
17,1,exterior,17,1.2796356286410469,-0.42884518892125884
18,1,exterior,18,1.2804323120513963,-0.42839014088963495
19,1,exterior,19,1.2811839364446556,-0.42786399077904996
20,1,exterior,20,1.2818841748483623,-0.42727116757995515
21,1,exterior,21,1.5994125266927632,-0.13240557346931242
22,1,exterior,22,1.5995886054168524,-0.13225677360371277
23,1,exterior,23,1.599816873444063,-0.13222454279806609
24,1,exterior,24,2.1361906522884073,-0.0819323142840928
25,1,exterior,25,2.1363789905110004,-0.08192380589522397
26,1,exterior,26,2.1362117161738303,-0.08201077126128378
27,1,exterior,27,0.9172327040415705,-0.6426739824334002
28,1,exterior,28,0.917001943852868,-0.6427664712181788
29,1,exterior,29,0.9167631172404996,-0.6428355095352423
30,1,exterior,30,0.050817348345196994,-0.8469661700658214
31,1,exterior,31,0.050586042623906764,-0.8470092369286271
32,1,exterior,32,0.050351947851562384,-0.8469856418245869
33,1,exterior,33,-0.4935644708419906,-0.7659617992889077
34,1,exterior,34,-0.49382776487890057,-0.7659079198407166
35,1,exterior,35,-0.4940837216403224,-0.7658259876669837
36,1,exterior,36,-0.8732359765703884,-0.6214786015719418
37,1,exterior,37,-0.8734581091996663,-0.6213813504520447
38,1,exterior,38,-0.8736426236834974,-0.6212240129467667
39,1,exterior,39,-1.1035466916254137,-0.40490395780173777
40,2,exterior,1,-0.7961042797404835,1.08091301675708
41,2,exterior,2,-0.7958919192509473,1.080971906291029
42,2,exterior,3,0.09857767218700131,1.282074767142265
43,2,exterior,4,0.09878787812481035,1.2821126539053467
44,2,exterior,5,0.09900055473655288,1.282132417557014
45,2,exterior,6,0.16565573134064643,1.2854567397173768
46,2,exterior,7,0.16582875595475632,1.2854569987478135
47,2,exterior,8,0.16566561616060727,1.2853993533512136
48,2,exterior,9,-0.024658230671000626,1.228330417132035
49,2,exterior,10,-0.025544119734771508,1.2280187450724802
50,2,exterior,11,-0.026396864961185568,1.227625343897032
51,2,exterior,12,-0.027208945658321874,1.2271536831637135
52,2,exterior,13,-0.027973199770564134,1.226607922632036
53,2,exterior,14,-0.028682887043555698,1.2259928755764624
54,2,exterior,15,-0.422097156078279,0.8512835473038407
55,2,exterior,16,-0.4222815455789582,0.851124872607533
56,2,exterior,17,-0.4224949488407835,0.8512416467273144
57,2,exterior,18,-0.7959224614978485,1.0807884893248774
