Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,1.1448275692728838,-0.26709014662466535
2,1,exterior,2,1.1446486494099521,-0.2669692949756923
3,1,exterior,3,0.412188815416974,0.2818469620085454
4,1,exterior,4,0.41200791876817117,0.2819963269551532
5,1,exterior,5,0.4118582497622162,0.2821769721141796
6,1,exterior,6,0.24624468442914788,0.5024347407443395
7,1,exterior,7,0.24562516760415581,0.5031804684107899
8,1,exterior,8,0.24493634967250494,0.5038627005604238
9,1,exterior,9,0.24418470490866473,0.504475024819252
10,1,exterior,10,0.24337729810331601,0.5050116858851349
11,1,exterior,11,-0.38308063513508434,0.878936143713572
12,1,exterior,12,-0.383761532978373,0.8793075344549897
13,1,exterior,13,-0.38446916618163146,0.8796250375344272
14,1,exterior,14,-0.8319511696234438,1.0598972035380905
15,1,exterior,15,-0.8328170202499632,1.060200643581536
16,1,exterior,16,-0.833707037395065,1.0604234498849388
17,1,exterior,17,-0.8346137291332358,1.0605637469246205
18,1,exterior,18,-0.8355294631767128,1.0606203537177472
19,1,exterior,19,-0.8364465311220333,1.0605927937635233
20,1,exterior,20,-0.8373572133373062,1.060481299054248
21,1,exterior,21,-1.2646015553485435,0.9881470399882355
22,1,exterior,22,-1.2648304038800633,0.9881192287189285
23,1,exterior,23,-1.2650389366160273,0.9882175100249364
24,1,exterior,24,-1.7410818958746963,1.2404262327545685
25,1,exterior,25,-1.7412440297957068,1.2405224422677597
26,1,exterior,26,-1.741056465146219,1.2405033849586082
27,1,exterior,27,-0.4143077339410361,1.0405262046949426
28,1,exterior,28,-0.4140640597468952,1.040476936783381
29,1,exterior,29,-0.4138265063973532,1.0404036370827017
30,1,exterior,30,0.4221621070697697,0.7360117196643103
31,1,exterior,31,0.42237912427803387,0.7359208316965107
32,1,exterior,32,0.4225619022969663,0.7357726787783188
33,1,exterior,33,0.8328705201086666,0.3696350383572347
34,1,exterior,34,0.8330610969724821,0.36944554639490385
35,1,exterior,35,0.8332301494176042,0.3692366253198341
36,1,exterior,36,1.071042841861817,0.04054570119283735
37,1,exterior,37,1.0711752105172268,0.04034252830001894
38,1,exterior,38,1.07124316365211,0.04010975575702869
39,1,exterior,39,1.1447876077124794,-0.2668779662483323
40,2,exterior,1,0.07261448211189381,-1.3404783142608563
41,2,exterior,2,0.0724046242781955,-1.3404110487841223
42,2,exterior,3,-0.7857711760369225,-1.0178393414022924
43,2,exterior,4,-0.7859677102713265,-1.017755697886021
44,2,exterior,5,-0.7861563677684467,-1.0176555465410981
45,2,exterior,6,-0.8437092931760528,-0.9838676128520532
46,2,exterior,7,-0.843854098029827,-0.9837729073162695
47,2,exterior,8,-0.8436860752682751,-0.9838142102917634
48,2,exterior,9,-0.6532514680836161,-1.0405124513614354
49,2,exterior,10,-0.6523398075315466,-1.0407378708455448
50,2,exterior,11,-0.6514110209697088,-1.040876775231961
51,2,exterior,12,-0.6504732997281458,-1.0409279394688582
52,2,exterior,13,-0.6495349139353166,-1.040890912318925
53,2,exterior,14,-0.6486041395806166,-1.0407660203390023
54,2,exterior,15,-0.11411031240388508,-0.9433072265612457
55,2,exterior,16,-0.11386909800450251,-0.9432757184553114
56,2,exterior,17,-0.11375473822359483,-0.9434904252035033
57,2,exterior,18,0.07253078349709208,-1.3402744527966064
