Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,1.1335999886900292,-0.17911394243931922
2,1,exterior,2,1.1334328752675338,-0.17898411803145992
3,1,exterior,3,0.715708101837062,0.17981382350012193
4,1,exterior,4,0.714559725071825,0.18066547354391205
5,1,exterior,5,-0.38297139680900105,0.8788404577084812
6,1,exterior,6,-0.38376745373035853,0.8792969532964114
7,1,exterior,7,-0.38460200540543316,0.8796785530153198
8,1,exterior,8,-0.8319511696234438,1.0598972035380905
9,1,exterior,9,-0.8328170202499632,1.060200643581536
10,1,exterior,10,-0.833707037395065,1.0604234498849388
11,1,exterior,11,-0.8346137291332358,1.0605637469246205
12,1,exterior,12,-0.8355294631767128,1.0606203537177472
13,1,exterior,13,-0.8364465311220333,1.0605927937635233
14,1,exterior,14,-0.8373572133373062,1.060481299054248
15,1,exterior,15,-1.2646015553485435,0.9881470399882355
16,1,exterior,16,-1.2648304038800633,0.9881192287189285
17,1,exterior,17,-1.2650389366160273,0.9882175100249364
18,1,exterior,18,-1.7410818958746963,1.2404262327545685
19,1,exterior,19,-1.7412440297957068,1.2405224422677597
20,1,exterior,20,-1.741056465146219,1.2405033849586082
21,1,exterior,21,-0.4143077339410361,1.0405262046949426
22,1,exterior,22,-0.4140640597468952,1.040476936783381
23,1,exterior,23,-0.4138265063973532,1.0404036370827017
24,1,exterior,24,0.4221686006212231,0.7360093552964877
25,1,exterior,25,0.42237760646650774,0.7359221616877589
26,1,exterior,26,0.42249228468470806,0.7357268796480407
27,1,exterior,27,0.7134327644364321,0.18356723470939335
28,1,exterior,28,0.7139513122675945,0.1826937828942195
29,1,exterior,29,0.7145557939065573,0.1818774423557244
30,1,exterior,30,0.7152399722517653,0.1811266361766195
31,1,exterior,31,0.7159967878831368,0.18044911124959057
32,1,exterior,32,0.7168184319018607,0.17985185834409
33,1,exterior,33,0.7176964265033905,0.17934103997488393
34,1,exterior,34,0.718621712452272,0.178921926816613
35,1,exterior,35,1.0709485088788657,0.040440993403996484
36,1,exterior,36,1.0711756692397238,0.0403380302947573
37,1,exterior,37,1.0712560603462273,0.040101936030944585
38,1,exterior,38,1.1335521693609438,-0.17890780029267966
