Row,Best_Algorithm
1,3
2,3
3,3
4,3
5,2
6,3
7,2
8,6
9,6
10,2
11,6
12,2
13,3
14,6
15,1
16,1
17,1
18,6
19,3
20,6
21,6
22,6
23,2
24,6
25,1
26,2
27,1
28,6
29,3
30,2
31,2
32,6
33,2
34,2
35,1
36,2
37,2
38,3
39,6
40,3
41,2
42,2
43,3
44,1
45,6
46,6
47,1
48,1
49,2
50,2
51,2
52,1
53,2
54,1
55,2
56,1
57,2
58,1
59,2
60,1
61,1
62,1
63,1
64,2
65,1
66,2
67,1
68,1
69,2
70,2
71,1
72,6
73,2
74,1
75,2
76,1
77,2
78,1
79,2
80,2
81,6
82,2
83,6
84,3
85,1
86,1
87,1
88,2
89,1
90,1
91,1
92,2
93,2
94,1
95,6
96,2
97,1
98,2
99,1
100,2
101,2
102,2
103,1
104,2
105,1
106,6
107,5
108,1
109,2
110,1
111,2
112,1
113,6
114,2
115,1
116,6
117,2
118,2
119,6
120,4
121,1
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,1
130,3
131,6
132,2
133,6
134,2
135,1
136,6
137,1
138,2
139,2
140,2
141,6
142,2
143,2
144,6
145,2
146,2
147,2
148,2
149,2
150,2
