Row,selection0,selection1
1,logreg,logreg
2,logreg,logreg
3,logreg,logreg
4,logreg,logreg
5,logreg,logreg
6,logreg,logreg
7,logreg,logreg
8,logreg,logreg
9,logreg,logreg
10,logreg,logreg
11,logreg,logreg
12,logreg,logreg
13,logreg,logreg
14,logreg,logreg
15,logreg,logreg
16,logreg,logreg
17,logreg,logreg
18,logreg,logreg
19,logreg,logreg
20,logreg,logreg
21,logreg,logreg
22,logreg,logreg
23,logreg,logreg
24,logreg,logreg
25,logreg,logreg
26,logreg,logreg
27,logreg,logreg
28,logreg,logreg
29,logreg,logreg
30,logreg,logreg
31,logreg,logreg
32,logreg,logreg
33,logreg,logreg
34,logreg,logreg
35,logreg,logreg
36,logreg,logreg
37,logreg,logreg
38,logreg,logreg
39,logreg,logreg
40,logreg,logreg
41,logreg,logreg
42,logreg,logreg
43,logreg,logreg
44,logreg,logreg
45,logreg,logreg
46,logreg,logreg
47,logreg,logreg
48,logreg,logreg
49,logreg,logreg
50,logreg,logreg
51,logreg,logreg
52,logreg,logreg
53,logreg,logreg
54,logreg,logreg
55,logreg,logreg
56,logreg,logreg
57,logreg,logreg
58,logreg,logreg
59,logreg,logreg
60,logreg,logreg
61,logreg,logreg
62,logreg,logreg
63,logreg,logreg
64,logreg,logreg
65,logreg,logreg
66,logreg,logreg
67,logreg,logreg
68,logreg,logreg
69,logreg,logreg
70,logreg,logreg
71,knn,knn
72,logreg,logreg
73,logreg,logreg
74,logreg,logreg
75,logreg,logreg
76,logreg,logreg
77,logreg,logreg
78,knn,knn
79,logreg,logreg
80,logreg,logreg
81,logreg,logreg
82,logreg,logreg
83,logreg,logreg
84,knn,knn
85,logreg,logreg
86,logreg,logreg
87,logreg,logreg
88,logreg,logreg
89,logreg,logreg
90,logreg,logreg
91,logreg,logreg
92,logreg,logreg
93,logreg,logreg
94,logreg,logreg
95,logreg,logreg
96,logreg,logreg
97,logreg,logreg
98,logreg,logreg
99,logreg,logreg
100,logreg,logreg
101,logreg,logreg
102,logreg,logreg
103,logreg,logreg
104,logreg,logreg
105,logreg,logreg
106,logreg,logreg
107,,knn
108,logreg,logreg
109,logreg,logreg
110,logreg,logreg
111,logreg,logreg
112,logreg,logreg
113,logreg,logreg
114,logreg,logreg
115,logreg,logreg
116,logreg,logreg
117,logreg,logreg
118,logreg,logreg
119,logreg,logreg
120,,knn
121,logreg,logreg
122,logreg,logreg
123,logreg,logreg
124,logreg,logreg
125,logreg,logreg
126,logreg,logreg
127,logreg,logreg
128,logreg,logreg
129,logreg,logreg
130,logreg,logreg
131,logreg,logreg
132,logreg,logreg
133,logreg,logreg
134,,knn
135,knn,knn
136,logreg,logreg
137,logreg,logreg
138,logreg,logreg
139,logreg,logreg
140,logreg,logreg
141,logreg,logreg
142,logreg,logreg
143,logreg,logreg
144,logreg,logreg
145,logreg,logreg
146,logreg,logreg
147,logreg,logreg
148,logreg,logreg
149,logreg,logreg
150,logreg,logreg
