feature,algorithm,rho,pval
DS,knn,-0.5353551577564302,1.6862348280813049e-12
DS,tree,-0.4842203226562312,3.4298262263455704e-10
DS,nb,-0.492209162405072,1.582602829553857e-10
DS,logreg,-0.5760672172586743,1.2315806435996849e-14
DS,svm_rbf,-0.3942208659665879,5.992425312288531e-07
DS,rf,-0.5522803110000215,2.3648227871994947e-13
DCP,knn,-0.3760037429268724,2.118852035836888e-06
DCP,tree,-0.37591730683670055,2.131204388660569e-06
DCP,nb,-0.2845321328409794,0.00041734020144098004
DCP,logreg,-0.26521772625319867,0.00103803417997574
DCP,svm_rbf,-0.21532782734820768,0.008138430247183087
DCP,rf,-0.3690713216727414,3.359544236730069e-06
TD_P,knn,-0.22921238695345938,0.00478075468820713
TD_P,tree,-0.14274573886654274,0.0814067972022345
TD_P,nb,-0.30332480142845897,0.00016118809028521357
TD_P,logreg,-0.595787817068313,8.813072624546106e-16
TD_P,svm_rbf,-0.24880278282632468,0.0021396185079395505
TD_P,rf,-0.2867251931181237,0.00037473727606897924
TD_U,knn,-0.3702512354421554,3.1083883073817978e-06
TD_U,tree,-0.31482646213738863,8.715589179064239e-05
TD_U,nb,-0.4192323959628011,9.313090351323741e-08
TD_U,logreg,-0.6763780085825771,2.132336314194288e-21
TD_U,svm_rbf,-0.356725011020188,7.438574339006799e-06
TD_U,rf,-0.4391290392366221,1.893832617827813e-08
CL,knn,-0.39916501833871315,4.197346954799632e-07
CL,tree,-0.3610025095178049,5.669004739089811e-06
CL,nb,-0.6211343828039259,2.2537569662731116e-17
CL,logreg,-0.12715666911018095,0.12099323057225105
CL,svm_rbf,-0.4811029401522244,4.6133544206399863e-10
CL,rf,-0.45243938247863663,6.1538048880568e-09
CLD,knn,-0.4551694507899618,4.857324525874629e-09
CLD,tree,-0.3541508313039668,8.74328216360317e-06
CLD,nb,-0.6614945856950651,3.138195741165355e-20
CLD,logreg,-0.2078636156848569,0.01069699131295895
CLD,svm_rbf,-0.5311872826979879,2.690274584353557e-12
CLD,rf,-0.5116136019560622,2.2204294943956968e-11
N2,knn,-0.5904377723290193,1.834658001754853e-15
N2,tree,-0.4064317836506322,2.4610319921808983e-07
N2,nb,-0.5267396161722095,4.398019463095757e-12
N2,logreg,-0.6818932718601662,7.560730504966184e-22
N2,svm_rbf,-0.5760766069125313,1.2300865868141556e-14
N2,rf,-0.6023708142739465,3.5084977993019706e-16
LSC,knn,-0.5704858526059212,2.51693867220569e-14
LSC,tree,-0.3148517707908671,8.703561986124196e-05
LSC,nb,-0.5125615157919916,2.0108530815301944e-11
LSC,logreg,-0.8074953639254212,9.544745472118335e-36
LSC,svm_rbf,-0.521134547068812,8.088719049905152e-12
LSC,rf,-0.5888499293974869,2.274761677451501e-15
LSR,knn,-0.5288499777666769,3.4862661978242602e-12
LSR,tree,-0.2810088143236908,0.0004952548212840076
LSR,nb,-0.5053226157423639,4.254570749174079e-11
LSR,logreg,-0.7788781995718926,8.635821411783315e-32
LSR,svm_rbf,-0.4692177778017112,1.3905019705371297e-09
LSR,rf,-0.5489582634362731,3.507834971478689e-13
Usefulness,knn,-0.4744830369792781,8.573561101797342e-10
Usefulness,tree,-0.3071203854616633,0.00013195300729372623
Usefulness,nb,-0.5205586941021938,8.605837665321108e-12
Usefulness,logreg,-0.6442471334303819,5.88274679368395e-19
Usefulness,svm_rbf,-0.4488588059659088,8.366379618559368e-09
Usefulness,rf,-0.5633085767620323,6.187851138334688e-14
F1,knn,-0.4250881533403621,5.8899095397212836e-08
F1,tree,-0.20954144217561807,0.010067122936171175
F1,nb,-0.5139344330090092,1.740937822382568e-11
F1,logreg,-0.7331376975449267,1.4700594825251196e-26
F1,svm_rbf,-0.41952505834254994,9.10412582212092e-08
F1,rf,-0.500493037378008,6.946932309263314e-11
F2,knn,-0.5403788390962205,9.520429334849226e-13
F2,tree,-0.21522034764855125,0.0081710361971654
F2,nb,-0.5273527248556749,4.111650250248757e-12
F2,logreg,-0.5791961799742081,8.200800585726572e-15
F2,svm_rbf,-0.5610183102830698,8.207891082380334e-14
F2,rf,-0.48347131875041327,3.6840318418264744e-10
F3,knn,-0.4365702767870209,2.337841255718604e-08
F3,tree,-0.1865446518220557,0.022272677094584296
F3,nb,-0.3963482844270794,5.144877521622366e-07
F3,logreg,-0.608398737710865,1.4814564256111643e-16
F3,svm_rbf,-0.37048739924137025,3.0603076279542093e-06
F3,rf,-0.45031685102944785,7.385907882172061e-09
F4,knn,0.03279691565347237,0.6903165381297105
F4,tree,0.04377880973696093,0.5947616704553889
F4,nb,0.06094877038181172,0.458747052118077
F4,logreg,-0.14302706371326038,0.08080205295414335
F4,svm_rbf,0.11118250687602514,0.1755723630716512
F4,rf,0.03409817247560963,0.6786964662527911
