feature,status,rho,rho_algo,pval,n_algos_sig,cluster,kept_instead
DS,kept,-0.5760672172586743,logreg,1.2315806435996849e-14,6,1,
DCP,dropped_redundancy,-0.3760037429268724,knn,2.118852035836888e-06,6,1,DS
TD_P,kept,-0.595787817068313,logreg,8.813072624546106e-16,5,6,
TD_U,dropped_redundancy,-0.6763780085825771,logreg,2.132336314194288e-21,6,6,TD_P
CL,kept,-0.6211343828039259,nb,2.2537569662731116e-17,5,2,
CLD,dropped_redundancy,-0.6614945856950651,nb,3.138195741165355e-20,6,2,CL
N2,dropped_redundancy,-0.6818932718601662,logreg,7.560730504966184e-22,6,4,LSR
LSC,dropped_redundancy,-0.8074953639254212,logreg,9.544745472118335e-36,6,4,LSR
LSR,kept,-0.7788781995718926,logreg,8.635821411783315e-32,6,4,
Usefulness,dropped_redundancy,-0.6442471334303819,logreg,5.88274679368395e-19,6,4,LSR
F1,dropped_redundancy,-0.7331376975449267,logreg,1.4700594825251196e-26,6,5,F3
F2,kept,-0.5791961799742081,logreg,8.200800585726572e-15,6,3,
F3,kept,-0.608398737710865,logreg,1.4814564256111643e-16,6,5,
F4,dropped_correlation,-0.14302706371326038,logreg,0.08080205295414335,0,,
