Row,IsBetaEasy
1,1
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,1
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,1
507,1
508,0
509,1
510,1
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,1
622,1
623,0
624,1
625,0
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,0
636,1
637,1
638,1
639,1
640,0
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
