Row,NumGoodAlgos
1,4
2,3
3,5
4,6
5,1
6,3
7,2
8,0
9,4
10,4
11,2
12,5
13,5
14,0
15,4
16,3
17,5
18,6
19,3
20,3
21,2
22,5
23,4
24,4
25,6
26,0
27,3
28,4
29,4
30,3
31,1
32,4
33,4
34,3
35,1
36,2
37,4
38,2
39,3
40,1
41,2
42,3
43,3
44,4
45,5
46,2
47,2
48,6
49,6
50,6
51,1
52,3
53,2
54,1
55,2
56,5
57,2
58,0
59,5
60,3
61,2
62,3
63,6
64,3
65,2
66,5
67,2
68,6
69,3
70,6
71,6
72,6
73,1
74,6
75,0
76,2
77,0
78,5
79,5
80,6
81,0
82,6
83,6
84,6
85,4
86,3
87,5
88,6
89,5
90,3
91,0
92,6
93,6
94,6
95,6
96,3
97,4
98,1
99,1
100,0
101,3
102,1
103,3
104,6
105,6
106,5
107,4
108,6
109,6
110,5
111,1
112,6
113,5
114,2
115,3
116,3
117,1
118,3
119,4
120,0
121,0
122,0
123,3
124,0
125,6
126,4
127,2
128,6
129,2
130,0
131,3
132,5
133,4
134,5
135,6
136,6
137,4
138,6
139,6
140,3
141,6
142,5
143,6
144,4
145,0
146,0
147,6
148,3
149,3
150,3
151,0
152,3
153,3
154,0
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,0
165,0
166,0
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,0
178,0
179,0
180,6
181,0
182,4
183,6
184,5
185,6
186,6
187,6
188,3
189,4
190,0
191,6
192,6
193,6
194,6
195,6
196,0
197,0
198,6
199,6
200,6
201,6
202,6
203,1
204,6
205,6
206,6
207,6
208,5
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,0
217,6
218,6
219,6
220,6
221,6
222,0
223,0
224,6
225,0
226,0
227,6
228,4
229,6
230,6
231,6
232,0
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,1
242,5
243,0
244,1
245,5
246,5
247,6
248,6
249,6
250,6
251,6
252,5
253,0
254,0
255,5
256,6
257,6
258,6
259,5
260,6
261,4
262,1
263,6
264,0
265,6
266,0
267,6
268,6
269,6
270,5
271,6
272,6
273,6
274,6
275,6
276,6
277,6
278,6
279,4
280,6
281,5
282,2
283,6
284,4
285,6
286,6
287,6
288,0
289,0
290,0
291,0
292,6
293,6
294,6
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,5
305,6
306,0
307,6
308,6
309,6
310,4
311,5
312,6
313,6
314,6
315,6
316,6
317,6
318,3
319,0
320,5
321,5
322,0
323,6
324,0
325,6
326,6
327,6
328,5
329,0
330,6
331,6
332,6
333,0
334,0
335,6
336,0
337,6
338,5
339,0
340,6
341,6
342,2
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,6
351,6
352,6
353,6
354,6
355,6
356,6
357,6
358,6
359,6
360,5
361,6
362,6
363,6
364,6
365,6
366,0
367,6
368,6
369,6
370,0
371,0
372,6
373,6
374,6
375,6
376,0
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,0
398,4
399,6
400,0
401,6
402,6
403,6
404,6
405,6
406,5
407,6
408,6
409,6
410,6
411,6
412,6
413,6
414,6
415,6
416,6
417,6
418,6
419,6
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,0
434,6
435,4
436,4
437,6
438,6
439,6
440,5
441,6
442,6
443,6
444,6
445,6
446,6
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,6
458,6
459,6
460,6
461,6
462,6
463,0
464,6
465,6
466,6
467,6
468,6
469,0
470,6
471,6
472,6
473,6
474,6
475,6
476,0
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,6
487,5
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,5
497,6
498,6
499,6
500,6
501,4
502,5
503,5
504,0
505,2
506,6
507,6
508,3
509,6
510,5
511,1
512,3
513,3
514,0
515,4
516,3
517,3
518,5
519,4
520,4
521,4
522,5
523,4
524,2
525,2
526,4
527,1
528,1
529,4
530,0
531,3
532,2
533,2
534,4
535,3
536,3
537,3
538,3
539,3
540,0
541,3
542,6
543,1
544,0
545,4
546,0
547,3
548,5
549,2
550,2
551,6
552,2
553,1
554,6
555,6
556,6
557,3
558,4
559,5
560,5
561,1
562,6
563,1
564,6
565,5
566,6
567,6
568,6
569,0
570,6
571,6
572,4
573,0
574,5
575,0
576,0
577,0
578,5
579,6
580,6
581,6
582,0
583,6
584,6
585,6
586,6
587,0
588,6
589,6
590,6
591,6
592,6
593,6
594,0
595,5
596,5
597,0
598,4
599,6
600,6
601,6
602,6
603,6
604,6
605,6
606,6
607,5
608,5
609,6
610,6
611,6
612,6
613,0
614,6
615,6
616,6
617,6
618,6
619,0
620,6
621,6
622,6
623,1
624,6
625,0
626,6
627,5
628,6
629,6
630,6
631,6
632,6
633,6
634,5
635,3
636,4
637,6
638,6
639,6
640,0
641,0
642,6
643,5
644,6
645,0
646,6
647,6
648,6
649,6
650,6
651,6
652,6
653,3
654,6
655,4
656,5
657,6
658,4
659,6
660,6
661,6
662,6
663,4
664,6
665,6
666,6
667,6
668,0
669,6
670,0
671,6
672,6
673,6
674,6
675,6
676,6
677,6
678,5
679,5
680,5
681,0
682,4
683,6
684,5
685,6
686,6
687,6
688,6
689,6
690,6
691,6
692,6
693,6
694,6
695,6
696,0
697,6
698,6
699,6
700,4
701,6
702,6
703,6
704,6
705,6
706,6
707,6
708,6
709,0
710,6
711,6
712,6
713,0
714,6
715,6
716,6
717,6
718,6
719,6
720,6
721,6
722,6
723,6
724,6
725,6
726,6
727,5
728,6
729,6
730,6
731,6
732,6
733,0
734,6
735,6
736,6
737,6
738,6
739,6
740,6
741,6
742,6
743,6
744,6
745,6
746,6
747,6
748,6
