Row,knn,tree,nb,logreg,svm_rbf,rf
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,0,1,1,1,1
6,1,1,1,1,1,1
7,0,0,0,0,0,0
8,1,0,0,0,0,0
9,1,0,1,1,1,1
10,0,1,0,0,0,0
11,1,1,1,1,1,1
12,1,0,1,1,1,1
13,0,1,0,0,1,1
14,1,0,1,0,1,1
15,0,1,1,1,1,1
16,0,0,1,0,0,0
17,0,0,1,0,0,1
18,1,0,0,0,0,0
19,1,1,1,1,1,1
20,0,0,0,0,0,0
21,0,1,0,1,1,1
22,0,1,1,1,1,1
23,1,1,1,1,1,1
24,0,1,0,0,0,1
25,0,0,1,1,1,1
26,0,0,0,0,0,0
27,0,1,1,1,1,1
28,1,1,1,1,1,1
29,1,0,0,0,1,1
30,0,0,1,1,1,0
31,0,1,1,1,1,0
32,0,1,1,1,1,1
33,1,1,1,1,1,1
34,1,1,1,1,1,1
35,0,1,1,1,0,0
36,1,1,1,1,1,1
37,0,0,0,0,0,0
38,0,1,1,0,0,1
39,0,0,0,0,0,0
40,1,0,1,1,1,1
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,1,1,1,1,1,1
44,1,0,1,1,1,1
45,0,0,0,0,0,0
46,1,1,1,1,1,1
47,1,1,1,1,0,1
48,1,1,1,1,1,1
49,0,1,0,0,0,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,0,0,0,0,0,0
56,1,1,1,1,1,1
57,1,1,1,1,1,1
58,1,1,0,1,1,1
59,0,0,0,0,0,0
60,1,1,1,1,1,1
61,1,1,1,1,1,1
62,1,0,0,1,1,1
63,1,1,1,1,1,1
64,1,1,1,1,1,1
65,1,1,0,0,0,1
66,1,0,1,1,1,1
67,0,1,0,0,0,0
68,0,1,0,0,0,1
69,1,1,1,1,1,1
70,0,1,1,1,1,1
71,0,0,0,0,0,0
72,0,1,1,1,1,0
73,0,1,1,1,1,1
74,1,0,1,1,1,1
75,1,1,1,1,1,1
76,1,1,1,1,1,1
77,1,1,1,1,1,1
78,1,1,1,1,1,1
79,1,1,1,1,1,1
80,1,1,1,1,1,1
81,1,1,1,1,1,1
82,1,1,1,1,1,1
83,1,0,1,1,1,1
84,1,1,1,1,1,1
85,1,1,1,1,1,1
86,1,1,1,1,1,1
87,1,0,0,0,1,1
88,1,1,1,1,1,1
89,1,0,1,1,1,0
90,1,1,1,1,1,1
91,1,1,1,1,1,1
92,1,1,1,1,1,1
93,1,1,1,1,1,1
94,0,0,0,0,0,0
95,1,1,1,1,1,1
96,1,0,0,0,0,0
97,1,1,1,1,1,1
98,1,1,1,1,1,1
99,1,1,1,1,1,1
100,0,0,1,0,0,1
101,1,1,1,1,1,1
102,1,0,1,1,1,1
103,1,1,1,1,1,1
