Row,NumGoodAlgos
1,6
2,6
3,6
4,6
5,5
6,6
7,0
8,1
9,5
10,1
11,6
12,5
13,3
14,4
15,5
16,1
17,2
18,1
19,6
20,0
21,4
22,5
23,6
24,2
25,4
26,0
27,5
28,6
29,3
30,3
31,4
32,5
33,6
34,6
35,3
36,6
37,0
38,3
39,0
40,5
41,0
42,0
43,6
44,5
45,0
46,6
47,5
48,6
49,2
50,6
51,6
52,6
53,6
54,6
55,0
56,6
57,6
58,5
59,0
60,6
61,6
62,4
63,6
64,6
65,3
66,5
67,1
68,2
69,6
70,5
71,0
72,4
73,5
74,5
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,5
84,6
85,6
86,6
87,3
88,6
89,4
90,6
91,6
92,6
93,6
94,0
95,6
96,1
97,6
98,6
99,6
100,2
101,6
102,5
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,0
111,3
112,6
113,5
114,6
115,5
116,5
117,4
118,5
119,6
120,6
121,6
122,6
123,6
124,5
125,0
126,1
127,5
128,6
129,2
130,0
131,6
132,5
133,6
134,6
135,6
136,6
137,6
138,6
139,3
140,5
141,5
142,5
143,5
144,0
145,4
146,6
147,6
148,1
149,1
150,6
151,6
152,6
153,6
154,2
155,6
156,6
157,6
158,6
159,6
160,5
161,4
162,6
163,5
164,6
165,1
166,0
167,6
168,3
169,6
170,6
171,0
172,2
173,6
174,6
175,6
176,6
177,6
178,6
179,0
180,4
181,6
182,6
183,6
184,6
185,5
186,6
187,5
188,4
189,2
190,0
191,6
192,5
193,5
194,5
195,6
196,6
197,6
198,0
199,1
200,1
201,6
202,6
203,5
204,6
205,5
206,6
207,6
208,5
209,6
210,6
211,6
212,1
213,0
214,1
215,0
216,6
217,1
218,5
219,0
220,2
221,4
222,5
223,5
224,1
225,5
226,6
227,6
228,5
229,0
230,6
231,2
232,4
233,6
234,5
235,6
236,6
237,6
238,6
239,5
240,6
241,6
242,6
243,0
244,1
245,4
246,6
247,3
248,1
249,2
250,6
251,3
252,6
253,6
254,6
255,2
256,1
257,5
258,6
259,2
260,5
261,1
262,6
263,5
264,5
265,2
266,2
267,6
268,1
269,6
270,2
271,6
272,6
273,6
274,6
275,5
276,6
277,0
278,6
279,5
280,6
281,1
282,0
283,4
284,6
285,0
286,4
287,1
288,2
289,6
290,6
291,5
292,0
293,6
294,1
295,3
296,0
297,2
298,6
299,6
300,6
301,6
302,1
303,5
304,2
305,5
306,6
307,5
308,6
309,2
310,1
311,6
312,6
313,1
314,6
315,6
316,6
317,6
318,6
319,6
320,5
321,5
322,0
323,1
324,4
325,6
326,6
327,0
328,0
329,0
330,5
331,2
332,6
333,6
334,6
335,6
336,1
337,4
338,3
339,6
340,6
341,6
342,6
343,6
344,5
345,5
346,2
347,5
348,5
349,6
350,1
351,5
352,6
353,6
354,6
355,5
356,5
357,2
358,5
359,4
360,6
361,6
362,3
363,5
364,6
365,4
366,6
367,0
368,6
369,6
370,1
371,4
372,4
373,6
374,6
375,3
376,6
377,6
378,5
379,6
380,5
381,6
382,6
383,6
384,6
385,6
386,6
387,0
388,1
389,5
390,5
391,4
392,6
393,5
394,6
395,5
396,4
397,6
398,0
399,6
400,5
401,0
402,3
403,1
404,6
405,6
406,5
407,2
408,6
409,6
410,4
411,5
412,5
413,2
414,6
415,0
416,6
417,6
418,6
419,6
420,0
421,6
422,6
423,6
424,6
425,5
426,6
427,6
428,5
429,5
430,1
431,6
432,6
433,6
434,6
435,6
436,6
437,0
438,2
439,6
440,5
441,5
442,6
443,6
444,1
445,1
446,6
447,6
448,6
449,0
450,6
451,6
452,0
453,6
454,5
455,6
456,6
457,4
458,6
459,6
460,3
461,6
462,6
463,5
464,6
465,4
466,6
467,6
468,5
469,2
470,0
471,1
472,4
473,6
474,4
475,6
476,5
477,0
478,6
479,5
480,6
481,6
482,5
483,6
484,6
485,6
486,0
487,4
488,0
489,6
490,0
491,6
492,6
493,6
494,4
495,6
496,4
497,6
498,6
499,5
500,1
501,6
502,6
503,1
504,5
505,6
506,6
507,6
508,6
509,6
510,6
511,0
512,6
513,6
514,6
515,6
516,2
517,6
518,2
519,5
520,3
521,6
522,6
523,6
