Row,Best_Algorithm
1,2
2,1
3,2
4,2
5,3
6,2
7,6
8,1
9,3
10,2
11,2
12,3
13,2
14,3
15,2
16,3
17,6
18,1
19,2
20,6
21,2
22,2
23,2
24,2
25,3
26,3
27,2
28,1
29,5
30,3
31,2
32,2
33,1
34,1
35,2
36,2
37,4
38,2
39,4
40,1
41,3
42,3
43,2
44,1
45,3
46,2
47,2
48,2
49,2
50,2
51,1
52,1
53,2
54,2
55,1
56,1
57,2
58,2
59,5
60,2
61,2
62,1
63,1
64,2
65,1
66,1
67,2
68,2
69,6
70,2
71,4
72,2
73,2
74,5
75,1
76,2
77,2
78,2
79,2
80,1
81,2
82,2
83,3
84,2
85,2
86,2
87,1
88,1
89,3
90,2
91,1
92,2
93,2
94,4
95,2
96,1
97,2
98,2
99,2
100,3
101,2
102,3
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,4
111,6
112,2
113,1
114,2
115,2
116,2
117,2
118,1
119,2
120,1
121,2
122,2
123,1
124,6
125,6
126,4
127,1
128,2
129,2
130,1
131,2
132,3
133,2
134,2
135,2
136,2
137,2
138,2
139,3
140,2
141,2
142,1
143,1
144,6
145,2
146,2
147,2
148,4
149,1
150,1
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,1
159,1
160,3
161,2
162,1
163,2
164,1
165,1
166,6
167,2
168,3
169,2
170,2
171,1
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,3
180,5
181,2
182,2
183,2
184,2
185,2
186,2
187,3
188,2
189,2
190,1
191,2
192,2
193,2
194,4
195,2
196,2
197,1
198,4
199,2
200,3
201,2
202,2
203,1
204,2
205,1
206,1
207,2
208,3
209,2
210,2
211,1
212,2
213,1
214,4
215,3
216,2
217,2
218,2
219,5
220,2
221,2
222,2
223,2
224,2
225,3
226,2
227,1
228,2
229,5
230,2
231,4
232,3
233,2
234,2
235,2
236,2
237,1
238,2
239,1
240,1
241,1
242,1
243,4
244,3
245,2
246,2
247,3
248,2
249,2
250,1
251,3
252,1
253,1
254,1
255,3
256,2
257,3
258,2
259,2
260,3
261,2
262,2
263,1
264,2
265,2
266,4
267,2
268,1
269,2
270,1
271,2
272,1
273,2
274,2
275,2
276,2
277,4
278,2
279,2
280,2
281,6
282,4
283,1
284,2
285,5
286,2
287,1
288,3
289,1
290,2
291,3
292,1
293,2
294,2
295,3
296,6
297,1
298,2
299,2
300,2
301,2
302,2
303,1
304,1
305,1
306,1
307,3
308,2
309,2
310,2
311,2
312,2
313,1
314,2
315,2
316,1
317,2
318,2
319,1
320,2
321,1
322,4
323,2
324,3
325,2
326,2
327,6
328,1
329,4
330,3
331,2
332,2
333,2
334,2
335,1
336,1
337,2
338,2
339,2
340,2
341,2
342,1
343,1
344,3
345,6
346,2
347,1
348,2
349,2
350,2
351,1
352,2
353,2
354,1
355,3
356,3
357,1
358,3
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,6
368,2
369,2
370,1
371,3
372,4
373,2
374,2
375,3
376,2
377,2
378,3
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,1
387,6
388,3
389,2
390,3
391,4
392,2
393,2
394,2
395,2
396,2
397,1
398,4
399,2
400,4
401,1
402,3
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,1
413,2
414,2
415,6
416,2
417,2
418,2
419,2
420,1
421,2
422,2
423,2
424,2
425,3
426,2
427,1
428,5
429,2
430,1
431,2
432,2
433,1
434,2
435,2
436,2
437,6
438,3
439,2
440,3
441,2
442,1
443,2
444,6
445,2
446,2
447,1
448,2
449,1
450,2
451,2
452,1
453,2
454,1
455,2
456,2
457,6
458,2
459,1
460,1
461,2
462,2
463,4
464,1
465,2
466,1
467,2
468,3
469,2
470,1
471,3
472,3
473,2
474,2
475,2
476,2
477,6
478,2
479,2
480,2
481,2
482,3
483,1
484,2
485,2
486,3
487,2
488,5
489,2
490,1
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,1
499,2
500,1
501,1
502,1
503,2
504,3
505,1
506,2
507,2
508,1
509,2
510,1
511,3
512,1
513,1
514,1
515,2
516,6
517,2
518,2
519,2
520,2
521,1
522,2
523,2
524,2
525,3
526,2
527,6
528,1
529,2
530,1
531,1
532,2
533,2
534,2
535,2
536,1
537,3
538,2
539,1
540,2
541,3
542,4
543,2
544,2
545,2
546,1
547,2
548,5
549,1
550,6
551,1
552,1
553,2
554,1
555,1
556,2
557,2
558,1
559,1
560,4
561,2
562,2
563,1
564,2
565,2
566,2
567,2
568,5
569,3
570,6
571,2
572,2
573,1
574,2
575,2
576,3
577,2
578,1
579,2
580,2
581,4
582,1
583,1
584,5
585,2
586,2
587,2
588,2
589,2
590,2
591,1
592,2
593,2
594,1
595,4
596,2
597,4
598,1
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,3
607,2
608,1
609,1
610,1
611,2
612,2
613,2
614,2
615,2
616,2
617,3
618,1
619,2
620,2
621,1
622,2
623,1
624,1
625,1
626,1
627,1
628,3
629,3
630,2
631,2
632,1
633,1
634,1
635,2
636,2
637,3
638,2
639,4
640,1
641,1
642,1
643,5
644,2
645,2
646,1
647,1
648,6
649,2
650,1
651,6
652,2
653,2
654,2
655,2
656,2
657,1
658,4
659,2
660,1
661,5
662,2
663,2
664,2
665,4
666,1
667,2
668,2
669,2
670,1
671,1
672,2
673,2
674,6
675,1
676,5
677,1
678,2
679,4
680,1
681,6
682,2
683,2
684,4
685,4
686,1
687,2
688,2
689,2
690,3
691,2
692,3
693,2
694,3
695,1
696,3
697,6
698,2
699,2
700,2
701,1
702,2
703,5
704,4
705,1
706,2
707,2
708,5
709,2
710,4
711,1
712,3
713,4
714,2
715,2
716,2
717,2
718,1
719,1
720,4
721,2
722,1
723,1
724,2
725,4
726,1
727,2
728,1
729,2
730,2
731,1
732,1
733,2
734,2
735,2
736,1
737,1
738,1
739,1
740,2
741,2
742,1
743,6
744,2
745,2
746,2
747,2
748,2
749,2
750,2
751,1
752,1
753,1
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,1
764,2
765,2
766,2
767,2
768,1
