Row,knn,tree,nb,logreg,svm_rbf,rf
1,0,1,1,1,1,1
2,1,1,1,0,1,1
3,0,1,0,1,0,1
4,0,1,0,1,0,0
5,0,0,1,1,0,0
6,0,0,1,1,0,1
7,0,0,1,1,1,1
8,0,0,1,1,1,0
9,1,0,0,0,0,0
10,1,1,0,1,1,1
11,0,0,0,0,0,0
12,1,1,1,1,1,1
13,0,1,1,1,0,0
14,0,0,1,1,0,0
15,0,0,0,1,0,0
16,0,1,0,1,1,0
17,0,0,1,1,0,0
18,1,1,0,0,0,1
19,0,0,0,0,1,1
20,1,1,1,1,1,1
21,0,1,0,0,0,1
22,1,1,0,0,0,0
23,0,0,1,1,0,0
24,1,0,1,1,1,1
25,0,1,0,1,0,0
26,1,0,1,1,0,1
27,0,0,0,1,1,1
28,0,0,0,1,0,1
29,0,1,1,0,1,0
30,0,0,0,0,0,1
31,1,1,1,1,1,1
32,1,1,0,0,1,1
33,1,1,0,1,0,1
34,1,0,0,0,1,1
35,0,0,0,0,0,0
36,0,1,1,1,1,0
37,0,1,0,0,1,1
38,1,0,0,1,0,1
39,0,1,1,1,0,1
40,1,0,0,0,0,1
41,1,1,1,1,1,1
42,0,1,1,1,0,0
43,0,0,0,0,0,0
44,1,0,1,1,1,0
45,1,1,1,1,1,1
46,1,1,1,1,1,1
47,0,1,1,1,1,1
48,1,1,1,1,1,1
49,1,1,1,1,1,1
50,0,0,1,1,1,0
51,0,0,1,1,1,0
52,0,0,0,0,0,1
53,0,0,1,0,1,0
54,1,1,0,1,1,1
55,1,1,1,1,0,1
56,1,1,1,1,1,1
57,1,1,0,0,0,1
58,0,1,0,0,1,0
59,0,0,1,1,1,0
60,1,1,0,1,1,1
61,0,1,1,0,1,0
62,0,1,1,0,1,0
63,1,0,1,1,0,0
64,0,1,0,1,1,0
65,1,1,1,1,1,1
66,0,0,1,1,1,0
67,0,1,0,1,0,1
68,1,1,1,1,1,0
69,1,1,1,1,1,1
70,1,1,1,0,1,1
71,1,1,0,0,1,1
72,1,1,0,1,0,1
73,1,0,0,1,0,0
74,1,0,1,1,1,1
75,1,1,0,1,1,1
76,1,1,0,1,1,1
77,0,0,0,1,1,0
78,1,1,1,1,1,0
79,1,0,1,0,1,1
80,0,1,0,0,0,1
81,0,0,1,1,1,0
82,0,1,0,0,0,0
83,1,1,1,1,1,1
84,1,1,1,1,1,1
85,0,1,1,1,1,1
86,0,1,0,0,1,1
87,1,1,1,1,1,1
88,1,1,0,0,0,1
89,0,0,0,0,0,0
90,0,0,0,1,0,0
91,0,0,0,1,1,0
92,1,1,0,0,0,1
93,1,0,1,1,1,1
94,1,1,0,0,1,1
95,0,1,0,0,1,0
96,1,0,1,1,1,1
97,1,1,0,0,1,0
98,1,1,1,1,0,1
99,1,1,1,1,1,1
100,1,1,1,1,0,1
101,0,0,1,1,1,1
102,0,0,0,0,0,1
103,1,0,0,1,0,1
104,1,1,1,1,1,1
105,0,0,0,1,0,1
106,0,0,1,1,1,0
107,1,1,1,1,1,1
108,1,0,1,1,1,0
109,1,0,0,1,0,1
110,0,1,0,0,1,0
111,0,0,1,1,0,1
112,0,0,1,1,1,0
113,1,0,0,0,0,1
114,0,0,0,0,1,0
115,0,0,0,0,0,0
116,0,1,1,1,1,0
117,1,1,0,0,0,1
118,0,0,1,1,0,0
119,1,0,0,0,1,1
120,1,0,0,0,0,0
121,1,0,1,0,1,1
122,0,0,1,1,1,0
123,0,0,0,0,1,0
124,0,0,0,0,1,0
125,1,1,0,1,0,1
126,0,1,1,1,1,0
127,0,0,0,1,0,1
128,1,1,0,1,1,1
129,0,1,1,0,1,0
130,1,1,0,1,1,1
131,0,1,1,1,0,0
132,1,0,1,1,0,1
133,0,0,0,0,0,0
134,0,0,0,0,1,0
135,1,1,0,0,0,1
136,1,1,1,0,1,1
137,1,1,0,0,0,1
138,1,0,1,1,1,0
139,0,0,1,1,0,0
140,1,0,1,1,1,1
141,0,1,1,1,1,0
142,1,0,1,1,1,1
143,0,0,0,1,0,0
144,0,1,1,1,0,1
145,1,0,1,1,1,1
146,1,0,0,0,0,1
147,0,0,1,1,1,1
148,0,0,1,0,1,0
149,1,1,1,1,0,1
150,0,1,1,1,0,1
151,1,1,1,1,1,1
152,1,0,1,1,1,1
153,0,1,1,1,1,1
154,0,0,1,1,1,0
155,1,1,1,1,1,1
156,1,0,0,1,1,1
157,0,0,1,1,0,1
158,0,1,1,1,1,0
159,0,1,1,1,0,1
160,1,0,0,1,1,1
161,1,0,0,0,0,0
162,0,0,0,1,0,0
163,1,1,0,1,0,1
164,1,1,0,1,1,1
165,0,0,0,1,0,0
166,1,1,1,1,0,0
167,1,1,1,1,1,1
168,0,1,1,1,0,0
169,1,1,0,1,1,1
170,0,0,1,0,1,1
171,0,0,0,0,0,0
172,1,0,0,1,0,0
173,0,0,1,1,1,0
174,1,1,1,1,0,1
175,1,1,1,0,1,1
176,1,1,0,1,0,1
177,1,1,0,1,1,1
178,0,0,1,1,1,0
179,0,0,0,1,0,0
180,1,0,0,0,0,1
181,1,0,0,1,1,1
182,0,0,1,1,1,0
183,1,1,0,1,0,1
184,1,0,1,1,0,1
185,1,0,1,1,1,1
186,0,0,0,1,1,0
187,0,0,1,1,1,0
188,1,1,0,0,1,1
189,1,0,0,0,0,0
190,0,0,0,0,0,0
191,1,1,1,1,0,1
192,1,0,1,1,1,0
193,0,1,0,1,1,1
194,0,0,0,1,1,0
195,1,1,1,1,1,1
196,0,1,1,1,1,0
197,0,1,0,1,1,0
198,0,1,1,1,1,1
199,0,0,1,1,1,0
200,1,0,1,1,0,1
201,0,0,0,0,0,0
202,0,1,1,0,1,0
203,1,1,0,1,0,1
204,0,1,1,1,1,0
205,0,1,1,1,1,0
206,1,1,0,1,0,1
207,0,1,1,1,1,1
208,1,0,1,1,1,1
209,1,1,1,1,1,1
210,0,0,0,1,0,1
211,1,1,1,1,1,1
212,1,1,1,1,1,1
213,0,1,0,1,0,0
214,1,0,1,1,1,0
215,0,0,1,1,1,0
216,1,0,1,1,1,1
217,1,1,0,0,1,1
218,0,0,0,1,1,0
219,0,1,0,0,0,1
220,0,0,0,0,0,0
221,1,1,0,1,1,0
222,1,1,1,0,1,0
223,0,0,0,0,0,0
224,1,1,1,1,1,1
225,1,0,0,0,0,1
226,0,0,1,1,1,0
227,1,0,0,1,0,0
228,1,0,0,1,0,1
229,0,1,0,0,1,1
230,1,1,0,1,0,0
231,0,0,0,1,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,1
234,1,1,0,0,1,1
235,0,0,0,1,0,0
236,1,0,0,0,0,1
237,1,1,0,1,1,1
238,0,0,0,0,1,0
239,1,1,0,1,0,1
240,0,0,0,1,0,1
241,0,1,0,0,0,0
242,1,1,0,0,1,1
243,1,0,1,1,1,1
244,1,1,0,1,1,1
245,1,0,0,1,0,0
246,0,0,0,0,0,0
247,0,1,0,0,1,1
248,0,0,0,0,0,0
249,0,0,0,0,1,0
250,1,1,1,1,1,1
251,1,0,1,1,1,1
252,0,0,1,1,1,0
253,0,0,1,0,1,0
254,0,1,1,1,1,1
255,0,0,1,1,0,1
256,0,0,1,0,1,0
257,1,1,0,1,1,1
258,0,0,0,1,1,1
259,1,1,0,0,1,0
260,0,1,1,1,1,1
261,1,1,0,0,0,1
262,0,0,0,0,0,0
263,1,1,1,1,1,1
264,1,0,0,1,0,1
265,0,1,0,1,0,1
266,1,1,0,0,0,1
267,1,1,0,0,1,1
268,0,0,0,0,0,0
269,1,1,0,1,0,1
270,1,1,1,1,1,1
271,0,1,0,0,1,0
272,0,0,0,1,0,0
273,1,0,1,1,0,1
274,1,0,1,1,0,0
275,1,0,1,1,1,0
276,1,0,1,1,0,0
277,1,0,1,1,1,0
278,1,1,0,1,1,1
279,0,0,0,0,0,0
280,1,1,1,1,1,1
281,1,1,0,1,0,1
282,0,1,1,1,1,1
283,1,1,1,1,1,1
284,0,1,1,1,1,1
285,0,0,1,0,1,0
286,1,0,1,0,1,1
287,1,1,0,1,1,1
288,0,0,0,0,0,0
289,1,1,1,1,0,1
290,0,1,1,1,1,0
291,0,0,0,1,1,0
292,0,0,1,1,1,0
293,0,1,0,0,0,0
294,1,1,1,1,0,1
295,0,1,1,1,0,0
296,1,1,0,0,1,1
297,1,0,1,1,1,0
298,0,0,1,1,1,0
299,1,1,1,1,1,1
300,1,1,1,1,1,0
301,1,0,0,0,0,1
302,0,0,1,0,1,0
303,1,1,1,1,1,1
304,0,0,0,1,0,1
305,1,0,1,1,1,0
306,1,0,0,1,1,1
307,0,0,1,1,0,1
308,1,1,0,0,0,1
309,1,1,0,0,0,1
310,0,0,0,0,1,1
311,0,0,0,1,0,0
312,1,1,0,0,1,0
313,1,1,0,0,1,1
314,0,0,1,1,0,0
315,1,1,0,1,0,1
316,1,1,1,0,1,1
317,0,0,1,1,1,0
318,1,1,0,0,0,1
319,1,1,1,1,0,1
320,1,0,1,1,0,1
321,0,0,0,0,0,0
322,0,0,0,1,0,0
323,0,0,1,1,1,0
324,0,1,1,1,1,0
325,0,1,0,0,1,0
326,1,0,0,1,1,1
327,0,0,0,0,1,0
328,0,0,1,1,1,0
329,0,0,1,0,1,0
330,1,0,0,1,0,0
331,0,0,1,1,1,0
332,1,0,0,0,0,0
333,1,0,1,1,1,1
334,0,0,0,1,0,0
335,1,1,0,1,0,1
336,0,0,1,1,1,0
337,0,0,1,0,1,0
338,1,0,0,1,1,1
339,0,0,1,1,1,0
340,1,0,0,1,0,1
341,0,0,0,1,0,0
342,0,0,1,1,1,0
343,0,1,1,0,1,0
344,1,1,1,1,1,1
345,1,1,0,0,0,1
346,1,1,0,1,1,1
347,0,1,1,1,0,1
348,1,0,0,0,1,1
349,1,0,0,0,0,1
350,0,0,0,0,1,0
351,1,0,0,1,0,1
352,0,0,0,1,1,0
353,0,0,1,0,1,0
354,0,1,0,0,1,1
355,1,1,0,0,1,1
356,1,1,1,1,1,1
357,1,1,1,1,1,1
358,0,0,0,0,0,1
359,1,1,0,1,1,1
360,0,0,1,1,0,0
361,1,1,1,1,1,1
362,0,0,0,0,0,0
363,1,0,0,0,0,0
364,0,0,1,1,1,0
365,0,1,1,1,1,1
366,1,1,1,1,1,1
367,0,1,0,1,1,0
368,1,1,1,1,1,1
369,1,0,0,1,1,0
370,0,0,0,1,0,1
371,1,1,0,1,0,1
372,1,1,1,1,1,1
373,0,0,1,1,1,0
374,0,0,0,0,0,0
375,0,0,0,0,0,0
376,0,1,1,1,1,1
377,0,1,0,1,0,0
378,1,1,1,1,1,1
379,1,0,1,1,1,1
380,0,0,0,0,1,0
381,0,1,1,1,1,0
382,1,0,0,1,0,1
383,0,0,1,1,0,0
384,0,0,1,1,1,0
385,1,0,0,1,1,1
386,1,1,1,0,0,1
387,0,1,0,0,1,1
388,0,0,1,1,1,1
389,0,1,1,1,1,1
390,1,1,1,1,1,1
391,0,1,1,1,1,0
392,1,1,1,1,1,1
393,0,1,1,1,1,0
394,1,1,1,1,1,1
395,0,0,1,1,1,0
396,0,1,1,1,1,1
397,1,1,0,0,1,1
398,0,1,0,1,0,1
399,0,1,1,1,1,0
400,1,1,1,1,1,1
401,0,0,1,1,1,0
402,1,1,0,1,1,1
403,1,1,1,1,1,1
404,1,1,0,0,1,0
405,1,0,0,1,1,1
406,1,0,1,1,1,1
407,1,1,1,1,1,1
408,1,1,0,0,0,1
409,0,0,0,0,0,0
410,0,1,0,0,0,1
411,0,0,1,1,1,0
412,0,0,1,1,1,0
413,0,0,1,0,1,0
414,0,0,0,1,0,0
415,0,0,1,1,1,1
416,1,1,0,1,0,1
417,0,1,0,1,1,0
418,0,0,0,1,0,0
419,0,0,0,0,1,1
420,1,1,0,1,1,1
421,1,1,0,1,0,1
422,0,0,1,0,1,0
423,1,1,0,0,0,1
424,1,1,1,0,1,0
425,1,0,1,1,1,0
426,1,0,1,1,0,1
427,1,1,0,1,1,1
428,0,0,0,0,0,0
429,1,0,0,0,0,1
430,0,1,1,1,1,0
431,1,1,0,0,1,1
432,0,0,1,1,0,0
433,0,0,0,1,1,1
434,0,0,1,1,1,0
435,0,1,1,1,1,0
436,0,1,1,1,0,1
437,0,0,1,1,1,0
438,1,1,1,1,0,1
439,1,1,1,1,1,1
440,1,1,0,0,0,1
441,0,1,0,1,1,1
442,0,1,0,1,0,0
443,0,0,1,1,0,0
444,0,1,0,0,0,0
445,1,1,0,1,0,1
446,1,1,1,1,1,1
447,0,0,0,1,0,0
448,0,1,0,1,1,1
449,1,0,0,0,1,0
450,0,0,1,1,1,1
451,1,1,0,1,0,1
452,0,1,0,1,1,1
453,1,0,1,1,1,1
454,1,1,1,1,0,1
455,1,1,0,0,1,0
456,0,1,0,1,1,0
457,1,0,0,1,1,0
458,1,1,0,0,1,1
459,1,1,0,1,1,1
460,1,1,0,1,1,1
461,1,0,1,1,1,1
462,1,0,1,1,1,0
463,0,1,0,1,1,1
464,1,0,0,1,0,0
465,0,0,1,1,1,1
466,0,1,0,0,1,0
467,1,1,0,1,1,1
468,1,0,0,1,1,0
469,1,1,0,0,1,0
470,0,0,1,1,1,0
471,0,0,0,1,1,0
472,0,0,0,1,1,0
473,1,0,1,1,1,1
474,1,1,0,1,0,1
475,1,0,0,0,0,1
476,0,0,0,0,0,1
477,0,0,1,1,1,0
478,1,0,0,0,1,1
479,0,1,0,1,0,1
480,0,0,0,1,0,0
481,1,0,0,1,1,0
482,1,1,0,1,0,1
483,0,1,0,1,1,0
484,1,1,1,1,1,1
485,0,1,1,1,0,1
486,1,0,1,1,1,1
487,0,1,1,1,1,0
488,0,0,0,1,1,1
489,0,1,1,1,1,1
490,0,1,0,0,0,0
491,0,0,0,0,1,0
492,1,1,0,0,1,0
493,1,1,0,0,0,1
494,1,1,1,1,0,1
495,1,1,1,1,1,1
496,1,0,0,1,1,1
497,0,1,0,1,1,1
498,0,1,1,1,0,1
499,0,1,0,1,0,0
500,1,1,0,0,1,1
501,1,0,1,1,1,1
502,0,0,0,0,1,0
503,1,1,0,0,1,0
504,0,0,0,0,1,1
505,1,1,0,0,0,0
506,1,1,1,0,1,1
507,0,1,0,0,1,1
508,0,1,1,1,0,0
509,1,1,0,1,0,1
510,1,1,1,1,1,1
511,1,1,0,0,0,1
512,1,1,1,1,0,1
513,0,0,1,0,1,0
514,1,1,0,0,0,1
515,0,0,0,0,0,0
516,1,1,1,1,1,1
517,0,1,0,1,0,0
518,1,1,1,1,1,1
519,1,0,1,1,1,1
520,0,1,0,1,1,1
521,0,1,0,1,0,0
522,0,0,1,1,0,0
523,1,1,1,1,1,1
524,1,1,1,1,1,0
525,1,0,1,1,1,1
526,1,1,0,0,1,1
527,0,1,0,1,1,0
528,0,1,1,1,1,1
529,0,1,0,0,1,1
530,1,0,1,1,1,0
531,0,1,0,0,0,0
532,1,1,0,0,0,1
533,1,1,1,0,1,1
534,1,1,1,1,0,1
535,1,0,0,0,1,1
536,0,0,1,1,1,1
537,0,0,1,0,1,1
538,0,0,1,1,1,1
539,0,1,1,1,1,0
540,0,0,1,1,1,1
541,0,0,0,0,1,0
542,1,1,1,1,1,1
543,0,1,0,0,0,0
544,1,0,1,0,1,0
545,1,0,1,1,1,1
546,0,0,0,0,0,1
547,0,0,1,1,0,0
548,0,0,1,1,0,0
549,0,0,1,1,1,0
550,0,0,0,1,0,0
551,0,0,0,0,1,0
552,1,1,1,1,0,1
553,0,0,0,1,0,0
554,0,0,1,1,1,1
555,1,1,1,1,1,1
556,1,1,1,1,1,1
557,1,1,1,1,1,1
558,1,1,0,0,1,1
559,0,1,1,0,1,1
560,0,0,0,1,0,1
561,0,0,0,0,0,0
562,0,0,1,1,0,1
563,0,0,1,1,1,1
564,0,0,0,1,0,1
565,0,1,1,1,1,0
566,0,0,0,0,0,0
567,0,0,0,1,0,0
568,0,1,1,1,1,0
569,0,0,0,1,0,1
570,1,1,1,1,1,1
571,0,0,1,1,0,0
572,1,0,0,1,1,0
573,1,1,1,1,1,1
574,1,0,0,0,1,0
575,0,0,1,1,0,0
576,0,1,0,0,1,0
577,1,1,0,1,0,1
578,0,1,1,1,1,0
579,1,1,1,1,0,1
580,1,0,1,1,1,1
581,1,1,1,1,0,1
582,0,0,0,1,0,0
583,1,1,0,0,1,1
584,0,1,1,0,1,0
585,1,0,1,1,0,1
586,1,1,0,0,0,1
587,0,0,0,0,1,0
588,1,0,1,0,1,1
589,0,0,1,1,1,0
590,1,1,1,1,1,1
591,1,1,1,1,0,1
592,1,1,1,1,1,1
593,0,0,1,1,1,0
594,1,1,0,1,1,1
595,0,1,0,0,0,0
596,1,0,1,1,0,1
597,0,1,1,1,1,0
598,0,1,1,1,1,0
599,1,0,1,1,1,0
600,1,1,0,1,1,1
601,0,1,1,0,1,0
602,0,1,1,1,1,1
603,1,1,1,1,1,1
604,1,1,1,1,1,0
605,0,1,1,1,1,0
606,1,0,1,1,0,0
607,1,1,1,0,1,0
608,1,1,1,1,1,1
609,1,1,1,1,1,1
610,0,0,1,0,1,0
611,1,1,0,1,1,1
612,0,1,1,1,1,0
613,1,1,1,1,1,1
614,0,0,1,1,1,1
615,1,0,1,1,1,1
616,1,0,1,0,1,1
617,1,1,1,1,1,0
618,1,1,0,1,1,1
619,1,1,1,1,1,1
620,0,0,0,0,1,1
621,1,0,0,1,0,1
622,0,0,1,0,1,1
623,0,1,0,1,0,0
624,0,1,1,1,1,0
625,0,0,0,0,0,0
626,1,0,1,0,1,1
627,1,1,1,1,1,0
628,1,0,0,0,1,0
629,0,1,1,1,1,0
630,0,0,1,1,0,0
631,1,1,0,0,1,0
632,0,0,0,1,0,0
633,1,1,0,1,1,1
634,1,1,0,0,1,1
635,0,0,0,0,0,0
636,1,1,1,1,1,1
637,1,0,0,0,0,0
638,1,0,1,1,1,1
639,1,1,1,1,1,1
640,0,1,1,1,1,1
641,0,0,0,1,0,0
642,0,1,0,1,1,1
643,1,1,1,1,1,1
644,1,1,0,0,1,1
645,0,1,0,1,0,1
646,1,0,1,1,1,1
647,1,1,0,0,1,1
648,1,0,0,1,1,0
649,1,0,1,1,1,0
650,0,0,0,1,1,1
651,0,1,0,1,0,0
652,0,0,1,1,1,1
653,1,1,0,1,0,1
654,0,0,0,1,1,1
655,1,1,0,1,1,1
656,0,1,0,1,1,0
657,1,1,1,1,1,1
658,1,1,1,1,1,1
659,0,0,1,1,1,0
660,1,1,1,1,1,1
661,0,1,0,1,1,0
662,1,1,0,1,1,1
663,1,1,1,1,1,1
664,1,1,0,0,1,1
665,1,1,1,1,1,0
666,0,0,0,1,0,0
667,1,1,1,1,1,1
