Row,IsBetaEasy
1,1
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,1
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,0
364,0
365,1
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,1
382,0
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,0
434,0
435,1
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,0
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,1
519,1
520,1
521,0
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,0
532,0
533,1
534,1
535,0
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,0
583,1
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,0
596,1
597,1
598,1
599,1
600,1
