Row,z_1,z_2
0,-1.8294436396127989,-1.0478662314870548
1,-1.8849539730184055,-1.1319090815251505
2,-2.2521445117729386,-1.05185166495818
3,,
4,-2.2521445117729386,-1.05185166495818
5,-2.33961730173736,-1.0508942832302377
6,-2.322825840944405,-0.7098526080857636
7,,
8,-3.058030403672337,-0.5894370208166603
9,-2.499529576785066,-0.33698004757778166
10,-2.9554948102237835,-0.6835636061071368
11,,
12,-1.578004163848137,0.7515870572541627
13,-0.9010197395020164,0.3514284015181599
14,-1.2197653850267212,1.0119605645173229
