instances,row_original,feature_kDN,feature_DS,feature_TD_U,feature_CL,feature_CLD,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F2,feature_F4,algo_knn,algo_tree,algo_nb,algo_logreg,algo_svm_rbf,algo_rf
1,0,0.4,0.5925925925925926,0.5818181818181818,0.4939231334068727,0.4939231334068727,0.5,0.5357768692514954,0.9983498349834984,0.9999806918459496,0.0049504950495049,0.995049504950495,0.6667894429524834,0.6668334057366696,0.4,1.0,0.9967162170097624,0.5066407043872996,0.5,0.5
2,1,0.4,0.6296296296296297,0.9454545454545454,0.5060775097953522,0.5060775097953522,0.6,0.5404951258860999,0.9983498349834984,0.9999991008486698,0.0033003300330033,0.9966996699669968,0.6666693158303091,0.6666711118810904,0.6,1.0,0.99837534967284,0.496672687229912,0.5133725103308221,0.87
3,2,0.3,0.2962962962962963,0.1818181818181818,0.4885351060445032,0.4885351060445032,0.0,0.4746870382412539,0.995049504950495,0.9423001969824144,0.0016501650165016,0.995049504950495,0.7387992321455039,0.9542502855856916,0.4,1.0,4.5860687706927317e-48,0.9889092064288274,0.4916723853184321,0.61
4,3,0.6,0.6666666666666667,0.2,0.5114648938012764,0.5114648938012764,0.0,0.4762597840138185,0.9966996699669968,0.947546955264056,0.0,1.0,0.7849207339003711,0.9739293703557728,0.2,1.0,1.134807280348503e-16,0.9415093567119792,0.4659200070453726,0.47
5,4,0.5,0.7037037037037037,0.9636363636363636,0.4939225579445725,0.4939225579445725,0.0,0.4770672177813295,0.9966996699669968,0.9999969975082172,0.0,1.0,0.6666776776074127,0.6666884036758634,0.2,0.0,0.9994195045947996,0.5070870583091223,0.4947178867723017,0.41
6,5,0.4,0.4444444444444444,0.9454545454545454,0.4939225185711566,0.4939225185711566,0.25,0.558061610564478,0.9983498349834984,0.9999988219750648,0.0033003300330033,0.9933993399339934,0.666674487189536,0.6666778181416159,0.4,0.0,0.9994196214488869,0.5070487903778178,0.4947172775575581,0.71
7,6,0.5,0.5925925925925926,0.6727272727272727,0.4939228662983704,0.4939228662983704,0.0,0.4364396370550374,0.995049504950495,0.999982654989306,0.0,1.0,0.6667114593442232,0.6667700255486189,0.4,0.0,0.9987328843039373,0.5121822612975154,0.5213835231353326,0.55
8,7,0.6,1.0,0.109090909090909,0.4939548478873844,0.4939548478873844,1.0,0.5117702259145418,0.9983498349834984,0.9990848162733882,0.0,1.0,0.6709490081026803,0.673293427418715,0.2,0.0,0.9960326269644796,0.5173184943444669,0.5,0.25
9,8,0.6,0.8148148148148149,0.6363636363636364,0.5060770730056683,0.5060770730056683,0.3333333333333333,0.4699048170475883,0.995049504950495,0.9999881928553456,0.0033003300330033,0.9966996699669968,0.6667573576977175,0.6667827933004986,0.6,0.0,0.0012681078426431,0.4882618626933553,0.4786546847328029,0.49
10,9,0.4,0.5925925925925926,0.2363636363636363,0.5055180102485658,0.5055180102485658,0.0,0.4707641361959291,0.995049504950495,0.9933602481609008,0.0,1.0,0.6928545397494963,0.7161018573948059,0.6,1.0,0.015404678776106,0.6457320320097099,0.5477654716484555,0.76
11,10,0.7,0.5925925925925926,0.4727272727272727,0.5060741536788884,0.5060741536788884,1.0,0.5137806013375243,0.9983498349834984,0.999865886989957,0.0,1.0,0.6672716211811157,0.6676008636843388,0.2,0.0,0.0013167869974849,0.4903241338690605,0.4803562255302736,0.35
12,11,0.2,0.1111111111111111,0.1818181818181818,0.5060296719891291,0.5060296719891291,0.0,0.4482628843176549,0.9933993399339934,0.9984259020170556,0.0,1.0,0.6736103087811282,0.6771283647806078,0.8,1.0,0.9991848642882578,0.5382762346193869,0.5063311146802706,0.8
13,12,0.6,0.962962962962963,0.9818181818181818,0.4939225616772005,0.4939225616772005,1.0,0.5277992486332785,0.9983498349834984,0.9999977712602252,0.0016501650165016,1.0,0.6666810518885228,0.6666898272231295,0.2,1.0,0.9994194986443766,0.5070414868382654,0.4947180661620133,0.35
14,13,0.8,0.8148148148148149,0.0727272727272727,0.4940014133860494,0.4940014133860494,1.0,0.5452721220680086,0.9983498349834984,0.9982833440997232,0.0033003300330033,1.0,0.6746569488480293,0.6800937707774869,0.2,0.0,0.9972926325352712,0.5480679527040753,0.4922176679199206,0.26
15,14,0.6,1.0,0.2909090909090909,0.4939307631500023,0.4939307631500023,0.75,0.6041977399008511,0.9983498349834984,0.9998078529996678,0.0049504950495049,1.0,0.6681175560345312,0.6685801945004627,0.4,0.0,0.001372032482473,0.5052701004368155,0.488279230411988,0.42
16,15,0.8,0.7777777777777778,0.2,0.503181658734465,0.503181658734465,0.0,0.4862319239349657,0.9966996699669968,0.9935514114683264,0.0016501650165016,1.0,0.7119778219662736,0.7298229060971997,0.4,1.0,0.0254687924758884,0.5813207454675553,0.5,0.27
17,16,0.5,0.7777777777777778,0.6545454545454545,0.493923012675827,0.493923012675827,0.0,0.4928862682583917,0.9966996699669968,0.99997833945117,0.0,1.0,0.6667479909662823,0.666810430169831,0.2,0.0,0.9994181974530169,0.5066895776309626,0.4947262066971147,0.27
18,17,0.4,0.6296296296296297,0.9818181818181818,0.5060775215745855,0.5060775215745855,0.0,0.4100608533760089,0.995049504950495,0.9999990720903836,0.0,1.0,0.666666875203832,0.6666693017026052,0.6,1.0,0.0012606931104202,0.4880142469392795,0.4783835699177421,0.61
19,18,0.5,0.5555555555555556,0.9636363636363636,0.5060774566959191,0.5060774566959191,1.0,0.5088422219864019,0.9983498349834984,0.999996132699394,0.0,1.0,0.66667841472087,0.6666899284391321,0.4,0.0,0.0005804443320021,0.4930516976534789,0.5052821957558283,0.55
20,19,0.4,0.2962962962962963,0.1818181818181818,0.4885351060445032,0.4885351060445032,0.0,0.38899606303024,0.9966996699669968,0.9449111387213548,0.0,0.995049504950495,0.8058140550106275,0.9426429594171328,0.6,1.0,1.0,0.8040296938642503,0.5663676452514683,0.76
21,20,0.7,0.8148148148148149,0.9818181818181818,0.5060774844564022,0.5060774844564022,0.0,0.4590407875185002,0.9966996699669968,0.9999984188219952,0.0,0.9983498349834984,0.6666742294290819,0.6666785119821901,0.4,1.0,2.211008528454028e-05,0.4900763615951643,0.4865600201734744,0.54
22,21,0.5,0.7037037037037037,0.109090909090909,0.5060542188674482,0.5060542188674482,0.6666666666666666,0.4870631887644159,0.9966996699669968,0.9995371316538398,0.0049504950495049,0.9966996699669968,0.6706798827424553,0.6718062059187944,0.6,1.0,2.4319769487903587e-05,0.4916928755593737,0.4869938112483397,0.32
23,22,0.6,0.8888888888888888,0.509090909090909,0.4939241539448906,0.4939241539448906,0.5,0.5082945409935229,0.9983498349834984,0.9999495127463472,0.0,0.9983498349834984,0.6669252487546319,0.6671003353497408,0.4,0.0,0.9994147994423505,0.5075838205711634,0.4947438904726086,0.46
24,23,0.4,0.4074074074074074,0.1818181818181818,0.4942266287982857,0.4942266287982857,0.0,0.3836697934188861,0.9933993399339934,0.995858699151932,0.0,0.995049504950495,0.6860463078927505,0.694411005496835,0.6,0.0,0.9901275851396436,0.5256042812866722,0.5,0.77
25,24,0.7,0.7777777777777778,0.0909090909090909,0.511461620727913,0.511461620727913,0.3333333333333333,0.4336674702969275,0.995049504950495,0.9732145824624382,0.0016501650165016,0.9983498349834984,0.7666248374809009,0.8435835820080458,0.4,1.0,0.0003543483401497,0.7757689204754935,0.4885166706542111,0.44
26,25,0.5,0.7407407407407407,0.2363636363636363,0.4949604431138287,0.4949604431138287,0.0,0.4690192739411847,0.9966996699669968,0.9913047758190612,0.0,1.0,0.6897624929994638,0.7164841233252666,0.6,0.0,0.9673082914065746,0.6049533410809985,0.4458181228570015,0.53
27,26,0.5,0.6666666666666667,0.2,0.5114648929846557,0.5114648929846557,1.0,0.5523081740465039,0.9983498349834984,0.9719645561621426,0.0049504950495049,1.0,0.8378875901455858,0.9206050251176482,0.4,0.0,1.879166777264346e-11,0.581413315785791,0.5050227423295388,0.55
28,27,0.8,0.7777777777777778,0.6545454545454545,0.4939230515613877,0.4939230515613877,0.5,0.4774563575526718,0.9966996699669968,0.9999834848195046,0.0016501650165016,0.995049504950495,0.6667756738856162,0.666811316316827,0.4,0.0,0.0016044691069269,0.5036418731967556,0.4867470852320373,0.61
29,28,0.6,0.6666666666666667,0.0727272727272727,0.4939492581249984,0.4939492581249984,0.0,0.4767071671246254,0.9966996699669968,0.9993408616940715,0.0,0.9966996699669968,0.6705578974413817,0.6725661641279879,0.2,1.0,0.9993331554200072,0.4919588676480955,0.5,0.41
30,29,0.8,0.5925925925925926,0.2727272727272727,0.506068296651678,0.506068296651678,0.0,0.4693688376603622,0.9966996699669968,0.999615292569137,0.0,1.0,0.668228891126885,0.6697094479651483,0.2,0.0,0.0014154510363436,0.4957222163143441,0.4837615729905172,0.5
31,30,0.3,0.4074074074074074,0.1454545454545454,0.4885598577085266,0.4885598577085266,0.5,0.5063807615378442,0.9983498349834984,0.9870962764263684,0.0,0.9966996699669968,0.7768672258448258,0.8263463130441148,0.6,1.0,0.9970592669837418,0.6435068844700343,0.5101186161017682,0.78
32,31,0.4,0.6296296296296297,0.6,0.5060769621557111,0.5060769621557111,0.0,0.4583115980862845,0.9966996699669968,0.9999766309773422,0.0,1.0,0.6667726140897772,0.6668468436776933,0.6,1.0,0.0005819073886899,0.4934541012082562,0.5052735162124591,0.72
33,32,0.5,0.5555555555555556,0.1454545454545454,0.5059074486978501,0.5059074486978501,0.75,0.5357019200812023,0.9983498349834984,0.9980904180401168,0.0049504950495049,0.9966996699669968,0.6833018183989664,0.6887061639245795,0.6,1.0,4.874065693809051e-05,0.5051048095025205,0.4873596867475933,0.75
34,33,0.5,0.8148148148148149,0.6363636363636364,0.5060771088366309,0.5060771088366309,0.0,0.4852160094755838,0.9966996699669968,0.9999820519113872,0.0,1.0,0.6667452479720469,0.6668133322187264,0.6,0.0,0.0032785351524175,0.4942620106325792,0.5,0.64
35,34,0.8,0.925925925925926,1.0,0.5060775157720953,0.5060775157720953,0.3333333333333333,0.4598083895570407,0.9966996699669968,0.999999320218762,0.0066006600660066,0.9966996699669968,0.6666682291865738,0.6666699505603935,0.0,0.0,2.2107861181166167e-05,0.4900400583355896,0.4865589549749931,0.07
36,35,0.5,0.2962962962962963,0.1818181818181818,0.4885351060445032,0.4885351060445032,1.0,0.5377565339971515,0.9983498349834984,0.9528093050165996,0.0016501650165016,1.0,0.798068470225794,0.9947266534674928,0.4,1.0,1.0,0.9756688790166984,0.5681829775590252,0.42
37,36,0.5,0.8148148148148149,0.8545454545454545,0.5060774386079451,0.5060774386079451,0.4,0.5700496481882251,0.9983498349834984,0.9999983682935624,0.0049504950495049,0.995049504950495,0.6666842551323955,0.6666883999416536,0.4,1.0,0.0032716970654183,0.4937600390145915,0.5,0.56
38,37,0.5,0.5555555555555556,0.1272727272727272,0.5114648939554968,0.5114648939554968,0.0,0.4399941977113936,0.995049504950495,0.8921161627551356,0.0,1.0,0.6168323984757015,0.9440222578271512,0.6,0.0,2.163669539807477e-122,0.8897696568347767,0.4770157834499506,0.54
39,38,0.4,0.4074074074074074,0.2545454545454545,0.4939313542543226,0.4939313542543226,0.6666666666666666,0.4390769548407063,0.9966996699669968,0.9997148054711068,0.0016501650165016,0.9983498349834984,0.6680519574676118,0.6687892181065378,0.4,1.0,0.9993927001562138,0.5133741618073064,0.4948442120170408,0.51
