Row,d_1,d_2,sepallength,sepalwidth,petallength,petalwidth
1,-2.2645417283949008,0.5057039027737847,5.1,3.5,1.4,0.2
2,-2.0864255006161585,-0.6554047293691369,4.9,3.0,1.4,0.2
3,-2.3679504490625263,-0.31847731084724934,4.7,3.2,1.3,0.2
4,-2.3041971611520093,-0.5753677125331956,4.6,3.1,1.5,0.2
5,-2.3887774935056427,0.6747673967025155,5.0,3.6,1.4,0.2
6,-2.0705368071805546,1.5185485598885138,5.4,3.9,1.7,0.4
7,-2.4457113396302836,0.07456267500687397,4.6,3.4,1.4,0.3
8,-2.2338418587092663,0.24761393175226523,5.0,3.4,1.5,0.2
9,-2.3419576764553898,-1.0951463625829556,4.4,2.9,1.4,0.2
10,-2.18867575528087,-0.44862904833755934,4.9,3.1,1.5,0.1
11,-2.1634865562665238,1.0705955760377268,5.4,3.7,1.5,0.2
12,-2.3273777541343748,0.15858745465947607,4.8,3.4,1.6,0.2
13,-2.2240827220450026,-0.7091181580302266,4.8,3.0,1.4,0.1
14,-2.6397162608446294,-0.9382819821078546,4.3,3.0,1.1,0.1
15,-2.192291508498431,1.8899785123164663,5.8,4.0,1.2,0.2
16,-2.251465214584067,2.72237107657447,5.7,4.4,1.5,0.4
17,-2.202750480080087,1.513750282546219,5.4,3.9,1.3,0.4
18,-2.190179163791053,0.5143043082206928,5.1,3.5,1.4,0.3
19,-1.8940742930236696,1.4311107069412374,5.7,3.8,1.7,0.3
20,-2.339949070423409,1.1580334289850014,5.1,3.8,1.5,0.3
21,-1.914556394959518,0.43046516328013823,5.4,3.4,1.7,0.2
22,-2.204645397533815,0.9524573172889984,5.1,3.7,1.5,0.4
23,-2.7741697937051573,0.4895170265034951,4.6,3.6,1.0,0.2
24,-1.8204115633372144,0.10675079283540614,5.1,3.3,1.7,0.5
25,-2.2282174994597255,0.16218616266619706,4.8,3.4,1.9,0.2
26,-1.9570240073413971,-0.6078925674838083,5.0,3.0,1.6,0.2
27,-2.052063311276687,0.2660143119816552,5.0,3.4,1.6,0.4
28,-2.1681936533450217,0.5520164953235401,5.2,3.5,1.5,0.2
29,-2.1403059632841583,0.33664040884505436,5.2,3.4,1.4,0.2
30,-2.268790194387877,-0.3148786028405283,4.7,3.2,1.6,0.2
31,-2.144554429277135,-0.4839420967692591,4.8,3.1,1.6,0.2
32,-1.831938102201588,0.44526683550280727,5.4,3.4,1.5,0.4
33,-2.608202867663349,1.828475192734102,5.2,4.1,1.5,0.1
34,-2.437950859095144,2.1853916156308935,5.5,4.2,1.4,0.2
35,-2.18867575528087,-0.44862904833755934,4.9,3.1,1.5,0.1
36,-2.2111198968124226,-0.1843378105402789,5.0,3.2,1.2,0.2
37,-2.0444165193198014,0.6849564262949368,5.5,3.5,1.3,0.2
38,-2.18867575528087,-0.44862904833755934,4.9,3.1,1.5,0.1
39,-2.4359522029660194,-0.8821694147756174,4.4,3.0,1.3,0.2
