instances,row_original,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_N2,feature_LSC,feature_LSR,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,algo_knn,algo_tree,algo_nb,algo_logreg,algo_svm_rbf,algo_rf
1,0,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0377237851662404,0.0,0.0,0.02,0.375,0.3,0.4137963822493649,0.5217391304347823,1.0,1.0,1.0,0.9819042073147723,0.9766422196289068,1.0
2,1,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0637779941577408,0.02,0.0005197505197505,0.02,0.5,0.3,0.4319676888919199,0.6159139784946236,1.0,1.0,1.0,0.934397627333806,0.96853809915158,1.0
3,2,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0404427415921669,0.0,0.0,0.02,0.25,0.3,0.3996390489994494,0.5559038662486938,1.0,1.0,1.0,0.9785314981233578,0.9737682678129584,1.0
4,3,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0546772068511198,0.0,0.0,0.02,0.25,0.3,0.409558530821011,0.5941855834328952,1.0,1.0,1.0,0.9728891069004209,0.96757032734371,1.0
5,4,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0577864838393731,0.0,0.0,0.02,0.375,0.3,0.3974032424627999,0.4799999999999998,1.0,1.0,1.0,0.9887148905730604,0.9755392181061504,1.0
6,5,0.0,0.0,0.25,0.2,0.0660819301995686,0.0503731429357581,0.0548049476688866,0.0,0.0,0.04,0.25,0.3571428571428571,0.4454026774090844,0.6315789473684209,1.0,1.0,1.0,0.9850129178391748,0.9620173566784366,1.0
7,6,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.1009122006841504,0.0,0.0,0.02,0.25,0.3259259259259259,0.3873917786708484,0.4924924924924925,1.0,1.0,1.0,0.9891507228805716,0.964453413719972,1.0
8,7,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0262105730786317,0.0,0.0,0.02,0.5,0.3,0.4132261671768194,0.4924924924924925,1.0,1.0,1.0,0.9775396239825782,0.9706484576641732,1.0
9,8,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0552351375332741,0.02,0.077139761646804,0.02,0.25,0.3,0.4034268849233459,0.6218708827404479,1.0,1.0,1.0,0.9651380074261676,0.9612686754981904,1.0
10,9,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0,0.0,0.0,0.02,0.5,0.2780748663101604,0.4242792676005713,0.5941855834328952,1.0,1.0,1.0,0.9585270204985642,0.9731908999563396,1.0
11,10,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0225664563013963,0.0,0.0,0.04,0.375,0.3,0.4331458627880695,0.6315789473684209,1.0,1.0,1.0,0.9824916391233952,0.972066645813554,1.0
12,11,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0455311973018548,0.0,0.0,0.02,0.25,0.3,0.4001672475810406,0.4924924924924925,1.0,1.0,0.9999999999999988,0.9833118010331048,0.9746894970196036,1.0
13,12,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0665013525698828,0.02,0.0004827419744147,0.02,0.25,0.2780748663101604,0.4188235702204178,0.6159139784946236,1.0,1.0,1.0,0.9515136115642112,0.9714437785562824,1.0
14,13,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0815076123282585,0.02,0.0004041220448575,0.02,0.25,0.2780748663101604,0.3839345448908093,0.6159139784946236,1.0,1.0,1.0,0.985213112700712,0.9558962193143112,1.0
15,14,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.1306748466257667,0.0,0.0,0.04,0.25,0.3,0.363980801489061,0.4444444444444444,1.0,1.0,1.0,0.9897322475307962,0.9339948625033342,0.96
16,15,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.1515513126491647,0.0,0.0,0.18,0.25,0.3138033763654418,0.3828396024307711,0.4799999999999998,1.0,1.0,0.9999999999999948,0.9964498239335052,0.8373442562985679,0.96
17,16,0.0,0.0,0.25,0.2,0.0660819301995656,0.0503731429357551,0.0519574237777377,0.0,0.0,0.04,0.25,0.3555555555555555,0.4318964882931392,0.6315789473684209,1.0,1.0,1.0,0.9897585915281228,0.9642400692901312,1.0
18,17,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.039202657807309,0.0,0.0,0.02,0.375,0.3259259259259259,0.4202778637308464,0.5217391304347823,1.0,1.0,1.0,0.9799135858514662,0.9719206653853508,1.0
19,18,0.0,0.0,0.25,0.2,0.0660819301995668,0.0503731429357563,0.1319172722191167,0.0,0.0,0.04,0.375,0.3259259259259259,0.4041475621963426,0.4799999999999998,1.0,1.0,1.0,0.9682673544731633,0.9526956441634612,0.98
20,19,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.049346016646849,0.0,0.0,0.04,0.375,0.3259259259259259,0.4072903108539005,0.5217391304347823,1.0,1.0,1.0,0.990930071925546,0.9723425369495076,1.0
21,20,0.0,0.0,0.25,0.2,0.0660819301995658,0.0503731429357552,0.0924713584288053,0.0,0.0,0.04,0.5,0.3,0.4584129379700624,0.6315789473684209,1.0,1.0,0.9999999999999052,0.9451278130613242,0.9646389057192984,1.0
22,21,0.0,0.0,0.25,0.2,0.0660819301995658,0.0503731429357552,0.0737961225766102,0.0,0.0,0.04,0.375,0.3571428571428571,0.4199716228403741,0.5217391304347823,1.0,1.0,0.9999999999999952,0.9857189863863464,0.9729721685847584,1.0
23,22,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.120443740095087,0.0,0.0,0.02,0.125,0.3,0.3575208515219275,0.4421006372225884,1.0,1.0,1.0,0.996674999939128,0.9498905816664296,1.0
24,23,0.0,0.0,0.25,0.2,0.0660819302033258,0.0503731429395298,0.1374431531076301,0.0,0.0,0.02,0.5,0.3956043956043956,0.4622993158894365,0.522273425499232,1.0,1.0,0.999999999923984,0.9357675154975506,0.9566338275262488,1.0
25,24,0.0,0.0,0.25,0.2,0.0660819301995676,0.050373142935757,0.047703180212014,0.0,0.0,0.02,0.25,0.3,0.4126825100963031,0.4924924924924925,1.0,1.0,0.9999999999999544,0.978577370592574,0.9683371149264056,1.0
26,25,0.0,0.0,0.25,0.2,0.0660819301995656,0.0503731429357551,0.0677703052250388,0.02,0.0337801608579092,0.02,0.5,0.3,0.4475743432195045,0.6159139784946236,1.0,1.0,0.9999999999999688,0.9103814832207802,0.9502261422187726,1.0
27,26,0.0,0.0,0.25,0.2,0.0660819301995691,0.0503731429357585,0.0971715328467153,0.0,0.0,0.02,0.5,0.3571428571428571,0.431004686004686,0.4924924924924925,1.0,1.0,1.0,0.9693044619212036,0.9691622669599516,1.0
28,27,0.0,0.0,0.25,0.2,0.0660819301995656,0.050373142935755,0.0399915807198486,0.0,0.0,0.04,0.375,0.3,0.4294437033943557,0.5714285714285715,1.0,1.0,1.0,0.9775896210044036,0.967323435164684,1.0
