Row,Best_Algorithm
1,3
2,6
3,1
4,3
5,3
6,6
7,1
8,1
9,3
10,2
11,3
12,6
13,3
14,3
15,1
16,2
17,6
18,6
19,3
20,2
21,1
22,2
23,6
24,2
25,2
26,2
27,6
28,6
29,1
30,1
31,6
32,2
33,2
34,1
35,6
36,1
37,1
38,3
39,3
40,3
41,2
42,3
43,6
44,6
45,2
46,2
47,3
48,2
49,3
50,6
51,1
52,2
53,2
54,1
55,2
56,1
57,2
58,1
59,6
60,1
61,1
62,1
63,6
64,2
65,2
66,1
67,2
68,2
69,2
70,2
71,1
72,1
73,2
74,2
75,1
76,2
77,2
78,1
79,2
80,6
81,6
82,1
83,6
84,3
85,1
86,2
87,1
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,1
98,1
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,5
108,6
109,2
110,6
111,2
112,2
113,6
114,2
115,2
116,1
117,6
118,2
119,1
120,4
121,1
122,2
123,2
124,2
125,1
126,1
127,2
128,2
129,2
130,3
131,1
132,1
133,1
134,2
135,1
136,1
137,6
138,1
139,2
140,1
141,1
142,1
143,2
144,1
145,2
146,1
147,2
148,6
149,1
150,2
