,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,algo_knn,proba_knn,algo_tree,proba_tree,algo_nb,proba_nb,algo_logreg,proba_logreg,algo_svm_rbf,proba_svm_rbf,algo_rf,proba_rf,class,n_wrong,ih
0,0.3,0.823076923076923,0.2753623188405797,0.6666666666666666,0.5384615384615384,0.39020161147115706,0.39020161147115706,0.46399999999999997,0.7673611111111112,0.5,0.4421586351976412,0.9888059701492538,0.8245904923280436,0.0,0.9925373134328358,1.0,0.6666666666666666,0.8582453591076836,0.9629629629629631,1,0.8,1,1.0,1,0.7198374575536984,1,0.7094459284042581,1,0.7406915760716077,1,0.76,tested_positive,0,0.21167083966173939
1,0.0,0.7846153846153846,0.3988439306358381,1.0,0.6153846153846154,0.11709782837920113,0.11709782837920113,0.0,0.5659722222222222,0.0,0.36687577296649665,0.908,0.8125016865956098,0.0,0.96,1.0,0.6666666666666666,0.8345047561794885,0.9836065573770493,1,1.0,1,1.0,1,0.9786682241457477,1,0.9500917202847338,1,0.9025598314563795,1,0.87,tested_negative,0,0.04978003735218983
2,0.3,0.9230769230769231,0.6842105263157895,0.6666666666666666,0.5384615384615384,0.3228147691970402,0.3228147691970402,0.46399999999999997,0.7673611111111112,0.0,0.47878909363087874,0.9813432835820896,0.7983464228899558,0.0,0.9925373134328358,1.0,0.6666666666666666,0.7971627287626653,0.9421487603305786,1,0.6,1,1.0,1,0.7929204894276907,1,0.7608788555272086,1,0.8372240266269262,1,0.61,tested_positive,0,0.2331627714030291
3,0.0,0.0,0.08487084870848705,0.6666666666666666,0.46153846153846156,0.11329034998768805,0.11329034998768805,0.0,0.5659722222222222,0.0,0.23903549395097057,0.79,0.8081889835486733,0.0,0.908,1.0,0.6666666666666666,0.8183630661251659,0.9904926534140017,1,1.0,1,1.0,1,0.9874103176095071,1,0.9544853707383438,1,0.9148507178193106,1,0.97,tested_negative,0,0.02887559897213976
4,0.4,0.9538461538461538,0.2753623188405797,0.6666666666666666,0.6153846153846154,0.24536682532901644,0.24536682532901644,0.46399999999999997,0.7673611111111112,0.0,0.4701871271997664,0.9850746268656716,0.6742083429619239,0.0,0.996268656716418,1.0,0.6666666666666666,0.7939441710757731,0.9230769230769231,1,0.6,0,0.0,1,0.9999965227489074,1,0.9351015311686774,1,0.6435549614493089,1,0.77,tested_positive,1,0.3418911641055177
5,0.3,0.7076923076923076,0.04878048780487809,1.0,0.3076923076923077,0.1388457981075597,0.1388457981075597,0.0,0.5659722222222222,0.25,0.34741731888497396,0.996,0.9185402944371973,0.0037313432835820895,0.99,1.0,0.6666666666666666,0.8021921547177571,0.9494614747307375,1,0.6,1,1.0,1,0.9404879682007232,1,0.8480569482262835,1,0.8227445979397982,1,0.93,tested_negative,0,0.14311841427219918
6,1.0,0.9923076923076923,0.915129151291513,0.6666666666666666,0.5384615384615384,0.8790482166928495,0.8790482166928495,0.46399999999999997,0.7673611111111112,1.0,0.6526467172473644,0.996268656716418,0.8931816490442335,0.04,1.0,1.0,0.6999843823207871,0.8378960485876081,0.9677419354838711,0,0.0,0,0.0,0,0.029960345850376664,0,0.0671467538625036,0,0.0765938538145837,0,0.09,tested_positive,6,0.956049841078756
7,0.6,0.9384615384615385,0.3988439306358381,1.0,0.6153846153846154,0.6387013471861489,0.6387013471861489,0.0,0.5659722222222222,1.0,0.5661607628346703,0.998,0.8910299964402396,0.007462686567164179,1.0,1.0,0.6666666666666666,0.7538269599687734,0.9227166276346606,1,0.6,0,0.0,0,0.13029951307279622,0,0.2892840072508249,0,0.2801774378046586,0,0.37,tested_negative,5,0.7217065069786202
8,0.2,0.9153846153846154,0.2753623188405797,0.6666666666666666,0.6153846153846154,0.24532409902728425,0.24532409902728425,0.46399999999999997,0.7673611111111112,0.0,0.4821839472789601,0.9888059701492538,0.7138673613724603,0.0,0.996268656716418,1.0,0.6666666666666666,0.8046376474875837,0.9687235841081995,1,0.6,0,0.0,1,0.999178630150096,1,0.5550523248785258,1,0.6874320405384751,1,0.63,tested_positive,1,0.4213895007388172
9,0.8,0.9923076923076923,0.9512195121951219,1.0,0.3076923076923077,0.8807861037515272,0.8807861037515272,0.46399999999999997,0.7673611111111112,0.0,0.49954104790621345,0.9925373134328358,0.8221038243005105,0.002,1.0,1.0,0.6666666666666666,0.7589698675297998,0.896551724137931,0,0.4,1,1.0,0,0.006714835374700264,0,0.0350757095112073,0,0.21740098468404537,0,0.2,tested_positive,5,0.6901347450716746
10,0.2,0.9384615384615385,0.3988439306358381,1.0,0.6153846153846154,0.20230378588080722,0.20230378588080722,0.0,0.5659722222222222,0.3333333333333333,0.4220432459558284,0.984,0.8580852956438081,0.0037313432835820895,0.994,1.0,0.6666666666666666,0.7742903933761256,0.9448441247002397,1,0.8,1,1.0,1,0.8493833402220411,1,0.7829732292236514,1,0.7691653092800603,1,0.8,tested_negative,0,0.16641302021237447
11,0.4,0.6461538461538461,0.2753623188405797,0.6666666666666666,0.46153846153846156,0.2740596166084488,0.2740596166084488,0.46399999999999997,0.7673611111111112,1.0,0.6057510663493477,0.996268656716418,0.8752763918598423,0.004,0.996268656716418,1.0,0.6666666666666666,0.77121593506754,0.8702290076335878,1,0.6,0,0.0,1,0.9194850815221791,1,0.8923043545781396,1,0.9007896062738203,1,0.77,tested_positive,1,0.31957015960431023
12,0.5,0.9,0.3157894736842105,0.6666666666666666,0.46153846153846156,0.7461934415020062,0.7461934415020062,0.0,0.5659722222222222,0.0,0.496178510683276,0.996,0.8025237769129098,0.0,1.0,1.0,0.6666666666666666,0.809048179981384,0.9736618521665252,0,0.4,1,1.0,0,0.012727905195436229,0,0.16440641035290493,1,0.5,1,0.66,tested_negative,3,0.5438109474086097
13,0.1,1.0,0.2753623188405797,0.6666666666666666,0.38461538461538464,0.24529676565182656,0.24529676565182656,0.46399999999999997,0.7673611111111112,0.0,0.3950366276300128,0.9664179104477612,0.58925572654983,0.0,0.996268656716418,0.875,0.6108374384236452,0.7952938706624438,0.9753191489361701,1,0.8,0,0.0,1,0.999995446016057,0,0.45918333925283866,1,0.5232164036067185,1,0.59,tested_positive,2,0.43793413518739766
14,0.3,0.9230769230769231,0.6842105263157895,0.6666666666666666,0.5384615384615384,0.36918820347926096,0.36918820347926096,0.46399999999999997,0.7673611111111112,1.0,0.5838651473418863,0.996268656716418,0.8756007280116718,0.002,1.0,1.0,0.7448015122873346,0.8494219943102259,0.9526184538653368,0,0.4,1,1.0,1,0.7523047173103986,1,0.6594406132185211,1,0.6609194901176915,1,0.7,tested_positive,1,0.3045558632255648
15,0.7,0.9923076923076923,0.6011560693641618,1.0,0.7692307692307693,0.6178045401919612,0.6178045401919612,0.46399999999999997,0.7673611111111112,1.0,0.7475817255965944,0.996268656716418,0.9624499088817665,0.006,1.0,1.0,0.6666666666666666,0.8090098531434236,0.9924433249370277,0,0.4,0,0.0,1,0.5735327052443289,0,0.4616209870160076,0,0.39103307802863924,0,0.25,tested_positive,5,0.6539688716185041
16,0.6,0.9461538461538461,0.6011560693641618,1.0,0.6153846153846154,0.4373419697290448,0.4373419697290448,0.46399999999999997,0.7673611111111112,0.0,0.4856727721065969,0.9888059701492538,0.881972699267544,0.002,0.996268656716418,1.0,0.6666666666666666,0.7898142562193182,0.9099307159353348,0,0.4,0,0.0,1,0.5150603619032036,0,0.36171668675224977,0,0.35313854162483116,1,0.55,tested_positive,4,0.6366807349532859
17,0.6,0.9538461538461538,0.6011560693641618,1.0,0.9230769230769231,0.8338314862223,0.8338314862223,0.46399999999999997,0.7673611111111112,0.3333333333333333,0.5127089502461633,0.996268656716418,0.9117185309239269,0.002,0.9925373134328358,1.0,0.6666666666666666,0.8227257506558137,0.9836909871244636,1,0.6,0,0.0,0,0.10807730371029965,0,0.21380410629992477,0,0.2110548734145499,0,0.29,tested_positive,5,0.7628439527625376
18,0.1,0.9384615384615385,0.3988439306358381,1.0,0.6153846153846154,0.25259106856472324,0.25259106856472324,0.0,0.5659722222222222,0.5,0.5178126523434506,0.998,0.8013681892879578,0.0037313432835820895,1.0,1.0,0.6860554109903565,0.7963319833605513,0.977667493796526,1,0.8,1,1.0,1,0.7462526755453807,1,0.6256923370966359,1,0.5208464389250178,1,0.7,tested_negative,0,0.2678680914054943
19,0.8,0.9461538461538461,0.6011560693641618,1.0,0.6153846153846154,0.8217214773793619,0.8217214773793619,0.46399999999999997,0.7673611111111112,0.5,0.5373686841676891,0.996268656716418,0.8872678392566007,0.016,0.9925373134328358,1.0,0.7027027027027026,0.8387165130785595,1.0,0,0.2,0,0.0,0,0.10471163823775181,0,0.22143369721363632,0,0.23946299320026232,0,0.34,tested_positive,6,0.8157319452247249
20,0.6,0.9,0.08487084870848705,0.6666666666666666,0.6153846153846154,0.5524901739595721,0.5524901739595721,0.0,0.5659722222222222,0.6666666666666666,0.5257177750579877,0.998,0.8575716948368106,0.007462686567164179,0.998,1.0,0.725925925925926,0.8158242956644595,0.8775055679287306,0,0.4,1,1.0,0,0.45920431547434465,1,0.5980564792001112,1,0.5729837804431884,1,0.59,tested_negative,2,0.39662590414705934
