,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,algo_knn,proba_knn,algo_tree,proba_tree,algo_nb,proba_nb,algo_logreg,proba_logreg,algo_svm_rbf,proba_svm_rbf,algo_rf,proba_rf,class,n_wrong,ih
0,0.4,0.5925925925925926,0.5,,0.5818181818181818,0.49392313340687277,0.49392313340687277,0.0,0.6666666666666666,0.5,0.5357768692514954,0.9983498349834984,0.9999806918459495,0.0049504950495049506,0.995049504950495,1.0,0.6667894429524834,0.6668131406973135,0.6668334057366696,0,0.4,1,1.0,1,0.9967162170097623,1,0.5066407043872996,1,0.5,1,0.5,0,1,0.34944051310048974
1,0.4,0.6296296296296297,0.5,,0.9454545454545454,0.5060775097953522,0.5060775097953522,0.0,0.6666666666666666,0.6,0.5404951258860999,0.9983498349834984,0.9999991008486698,0.0033003300330033004,0.9966996699669967,1.0,0.6666693158303091,0.6666701364166582,0.6666711118810904,1,0.6,1,1.0,1,0.99837534967284,0,0.49667268722991204,0,0.5133725103308221,1,0.87,1,2,0.25359657546107106
2,0.3,0.2962962962962963,0.5,,0.18181818181818182,0.48853510604450323,0.48853510604450323,0.0,0.6666666666666666,0.0,0.4746870382412539,0.995049504950495,0.9423001969824145,0.0016501650165016502,0.995049504950495,1.0,0.7387992321455039,0.8625748447903302,0.9542502855856916,0,0.4,1,1.0,0,4.5860687706927317e-48,1,0.9889092064288274,1,0.4916723853184321,1,0.61,1,2,0.4182364013754568
3,0.6,0.6666666666666667,0.5,,0.2,0.5114648938012764,0.5114648938012764,0.0,0.6666666666666666,0.0,0.4762597840138185,0.9966996699669967,0.947546955264056,0.0,1.0,1.0,0.7849207339003711,0.8942590201688196,0.9739293703557727,0,0.2,1,1.0,0,1.134807280348503e-16,1,0.9415093567119792,0,0.4659200070453726,0,0.47,0,4,0.4870951060404414
4,0.5,0.7037037037037037,0.5,,0.9636363636363636,0.4939225579445725,0.4939225579445725,0.0,0.6666666666666666,0.0,0.47706721778132954,0.9966996699669967,0.9999969975082172,0.0,1.0,1.0,0.6666776776074127,0.6666848296551179,0.6666884036758634,0,0.2,0,0.0,1,0.9994195045947996,1,0.5070870583091223,1,0.4947178867723017,0,0.41,0,3,0.5647959250539627
5,0.4,0.4444444444444444,0.5,,0.9454545454545454,0.49392251857115665,0.49392251857115665,0.0,0.6666666666666666,0.25,0.558061610564478,0.9983498349834984,0.9999988219750647,0.0033003300330033004,0.9933993399339934,1.0,0.666674487189536,0.6666764488818012,0.6666778181416159,0,0.4,0,0.0,1,0.9994196214488867,1,0.5070487903778178,1,0.4947172775575581,1,0.71,0,2,0.48146905176928956
6,0.5,0.5925925925925926,0.5,,0.6727272727272727,0.49392286629837046,0.49392286629837046,0.0,0.6666666666666666,0.0,0.4364396370550374,0.995049504950495,0.999982654989306,0.0,1.0,1.0,0.6667114593442232,0.6667544570579759,0.6667700255486189,0,0.4,0,0.0,1,0.9987328843039371,1,0.5121822612975154,1,0.5213835231353326,1,0.55,0,2,0.5029502218772024
7,0.6,1.0,0.5,,0.10909090909090909,0.4939548478873844,0.4939548478873844,0.0,0.6666666666666666,1.0,0.5117702259145418,0.9983498349834984,0.9990848162733882,0.0,1.0,1.0,0.6709490081026803,0.6725406983845665,0.673293427418715,0,0.2,0,0.0,1,0.9960326269644797,1,0.5173184943444669,1,0.5,0,0.25,0,3,0.5894414797818424
8,0.6,0.8148148148148149,0.5,,0.6363636363636364,0.5060770730056683,0.5060770730056683,0.0,0.6666666666666666,0.3333333333333333,0.46990481704758835,0.995049504950495,0.9999881928553457,0.0033003300330033004,0.9966996699669967,1.0,0.6667573576977175,0.6667675530483628,0.6667827933004986,1,0.6,0,0.0,0,0.001268107842643195,0,0.48826186269335536,0,0.4786546847328029,0,0.49,1,5,0.6569692241218663
9,0.4,0.5925925925925926,0.5,,0.23636363636363636,0.5055180102485658,0.5055180102485658,0.0,0.6666666666666666,0.0,0.47076413619592916,0.995049504950495,0.9933602481609007,0.0,1.0,1.0,0.6928545397494963,0.6990211749555658,0.7161018573948059,1,0.6,1,1.0,0,0.015404678776106049,1,0.6457320320097099,1,0.5477654716484555,1,0.76,1,1,0.405182969594288
